标题,帖子数,日期,情感
前度牛郎今又来～,6353,6,2016-11-30 17:51:55,0.5010886833153358
一不小心把分红都跌没了,10383,33,2017-07-04 20:31:20,0.020601894704756596
比工行的市盈率低,3120,6,2017-06-15 14:43:55,0.405352828826297
光大银行不涨原因是股权摊薄，几百亿可转债再几,20198,33,2017-05-28 08:22:38,0.15551571620368376
抢权抢钱抢钱，难得机遇,2807,73,2017-06-16 09:26:18,0.6738791528885686
601818光大银行的唐老鸭琴棋书画诗词歌赋样样精,5856,76,2017-03-21 15:39:54,0.9982905860492828
国外经济大环境，,4521,14,2016-07-12 10:20:32,0.5757638249339909
光大银行港股3.56港元，跟农行同价,6773,12,2017-05-02 15:41:20,0.7729834943856149
市值管理 不懂 要向白酒 学习 不要尸位素餐,4716,11,2017-06-17 22:20:22,0.5200818452152506
股东权益贬值 如此严重 高管必须承担责任 这可,5611,13,2017-06-17 22:02:13,0.20921222409053075
技术上看,2651,10,2017-06-08 06:33:52,0.5018518388657516
601818:光大银行关于2016年度A股分红派息实施暨,46170,12,2017-06-21 18:24:15,0.4100138403228344
白酒赚钱能力有银行强吗 还炒作白酒 糙,2701,13,2017-06-07 15:20:15,0.006608056501779869
万红丛中一点绿，你好意思吗？求表现，红红烈烈,2057,5,2015-10-22 14:03:14,0.8481163697028103
整个大盘沸腾 光大银行涨了0.25% 呵呵 人家的股,3316,17,2017-06-07 15:09:34,0.34916239701491036
601818:光大银行第一期优先股2017年股息发放实,22297,8,2017-06-15 18:43:08,0.03288584094161684
中央汇金投资增持光大银行3694万港币,12978,67,2017-06-07 10:14:27,0.830849819850885
唐双宁这老乌龟在601818光大银行，绝难有大行情,5865,6,2017-03-31 10:35:48,0.9433140363447475
烂股有烂股的道理,8600,62,2017-06-09 11:12:05,0.02080083857850845
601818:光大银行第七届董事会第十次会议决议公,15507,10,2017-06-06 18:23:15,0.0349068390920263
价值投资信奉者 会大笔买入 光大银行,2980,0,2017-06-05 13:47:04,0.8988870712052953
601818:光大银行2016年度股东大会、2017年第二,22816,12,2017-05-31 18:31:40,0.44490668274340406
601818:光大银行第七届监事会第七次会议决议公,15251,3,2017-06-02 18:29:26,0.008961318243490002
符合辩证法的观点,5740,32,2017-05-23 17:49:27,0.6139811837367043
宁波港601018重大事项复牌联手浙江民光大银行,99294,101,2016-03-16 10:52:14,0.5252236612989846
601818:光大银行关于2016年度现金分红投资者说,50237,10,2017-05-09 18:16:21,0.46367756382748315
601818:光大银行关联交易公告,19594,12,2017-05-02 18:37:07,0.13334608152481886
在这里说一下国贸，给能看得见的人看。它不会一,114285,519,2017-02-22 14:04:31,0.6439203723961822
我们同样还有一颗争胜的心，他将会驱使我们，不,15595,30,2017-04-26 17:16:27,0.9776448017610732
光大银行及唐双宁圈钱箭三连发，箭箭夺命：定增,11078,16,2016-06-20 16:12:02,0.9825559348170785
我仿佛看见了QFII弯腰捡黄金的笑脸,5850,4,2017-04-14 14:25:34,0.9977634484464106
保护投资权益，不要分红，回购A股注销,3149,0,2017-04-24 17:31:40,0.4467719478539395
601818:光大银行公开发行A股可转换公司债券网上,37666,11,2017-03-21 20:39:25,0.018393006410091672
601818:光大银行公开发行A股可转换公司债券网上,35904,16,2017-03-22 18:18:36,0.018393006410091672
绩优+超跌 这些股你放进自选股了没？,13979,28,2016-02-24 13:42:00,0.26246284116101004
光大遭遇黑天鹅,23807,58,2017-03-31 09:44:36,0.5328335166228542
行情尾声，注意风险！经济每况愈下，牛市没基础,22729,27,2015-11-18 14:15:41,0.9972142685143891
分红有个鸟用，一除权反倒亏了，不是吗?,11386,44,2017-04-02 17:18:00,0.18186948531120772
转债是有息,有分红,有净资产増值,比正股好多了,20866,22,2017-03-17 16:45:19,0.6956913439712423
和大家说说光大可转债，该怎么办呢？看下去就明,21635,22,2017-03-16 20:41:11,0.5255687671605157
空头在短期内以几乎最快的速度撒欢,4305,24,2017-04-04 16:08:37,0.9223654073551257
转债又分食九成股东,5035,13,2017-04-03 09:29:16,0.42017369663942183
分红6年后净资产10元,转股价3元.330股值4000元,15106,20,2017-03-17 16:41:09,0.10357189759103436
601818:光大银行2016年年度报告摘要,20070,14,2017-03-30 22:48:40,0.6830640267907588
MSCI提出了一项有关将中国A股纳入全球指数的缩,11037,10,2017-03-23 18:58:34,0.9222736090383952
进入做T不丢筹码模式,21052,39,2017-02-20 16:39:51,0.9020519022965019
周五的跳水和放量阴包阳，仍属强洗盘性质,16408,30,2017-03-18 12:21:28,0.8053288100980334
中午休息，一并说说配售可转债操作中问题,18903,44,2017-03-17 11:51:03,0.5246987043021072
光大转债上市, 申购与配售收益分析,37664,14,2017-03-17 11:24:26,0.7423671187795762
不要买转债,21615,27,2017-03-15 10:04:18,0.5552227896882499
601818:光大银行公开发行A股可转换公司债券发行,68440,11,2017-03-16 19:11:45,0.01865043046352366
友情提示：白送的利润记得要拿,19842,18,2017-03-16 08:50:09,0.5782734113070327
光大股东配售流程,32043,34,2017-03-16 00:08:18,0.5480592866646854
可转债发行：尊敬的客户，您持有的光大转债，认,18770,13,2017-03-15 08:24:23,0.11275558942592157
我长期持有银行股非常爽歪歪！,25191,27,2017-02-08 07:59:34,0.051848583717017394
601818:光大银行公开发行A股可转换公司债券发行,34909,12,2017-03-14 20:23:32,0.01865043046352366
可转债以后会低价转股份的债?大利空啊!还涨?没,8410,25,2017-03-13 16:07:37,0.9109520507118151
成本数据告诉你: 只买不卖，卧底待涨,10001,8,2017-02-26 17:10:04,0.2228268604056206
继续打压涨不了,4638,6,2017-03-06 11:36:45,0.4352710994099822
400亿二线资本不可转债债券补充资本金，以钱才,15344,29,2017-02-09 08:09:11,0.7579309025131993
基金为了拿奖金，将做市值拉升蓝筹银行股股价,18749,26,2016-12-30 11:05:57,0.9555722992281349
光大集团今年拟启动整体上市,27700,11,2017-01-18 14:05:19,0.14114014929966867
光大银行AH比价差为何这么大？同股同权，是比谁,15769,27,2015-09-06 23:01:48,0.053186465563498264
若中国估值最低的银行股不上涨，股市就没有希望,19822,12,2017-01-04 16:19:03,0.20589548905272914
致我的几十万粉丝---代新年贺词,11958,23,2017-01-01 11:20:35,0.5574818243299327
601818:光大银行境内非公开发行优先股预案的公,26255,9,2016-12-20 19:49:41,0.04015099823116686
光大银行(601818)大宗交易数据一览(12-23),13563,7,2016-12-23 18:10:19,0.12132264386434322
银行股大涨在即,17933,30,2016-07-26 22:33:19,0.22909683055571795
我价值投资，去年买入两市市盈率、市净率最低的,15502,19,2016-12-17 17:31:33,0.8930567276127527
1200美元上涨到1370美元。,3083,1,2016-07-12 16:31:41,0.14107322118793164
社保资金入市，银行股春天来了,10088,14,2016-12-09 10:37:29,0.9371861693642985
奇葩的中国银行股    压盘压出了世界纪录,7637,11,2016-12-07 13:38:52,0.4373862437054239
不炒蓝筹非人类！,4720,13,2016-12-09 13:31:44,0.9504861679043224
谁更有投资价值？,22937,46,2016-10-29 18:27:23,0.9340739842715937
将会拉出一根又一根超级阳线,9021,13,2016-12-01 17:24:50,0.38555990815960794
有谁持有光大，请报名。,11867,37,2016-11-29 18:53:28,0.22798296147903885
要急涨至6元,抢入,戓坚定持有,31311,50,2016-11-08 17:01:37,0.2321575358282647
蓝筹已是稀缺资产,22357,43,2016-11-13 13:40:25,0.9275635451730655
捂好低位筹码,14235,25,2016-11-17 00:21:29,0.2749892686681671
短线注意高抛低吸,12876,30,2016-11-28 11:34:36,0.7027546652698853
光大光大你不要涨,13602,50,2016-11-19 13:12:20,0.6481518741789626
光大银行(601818)大宗交易数据一览(11-08),13701,6,2016-11-08 18:09:43,0.12132264386434322
蓝筹上涨已经在路上,20318,45,2016-11-05 18:24:43,0.5833137795613995
我买入光大银行，就是想价值投资，想不到所谓的,17858,42,2016-04-06 18:31:04,0.8405801221168447
601818光大银行卖盘比买盘多30万手，三倍多空方,8146,24,2016-11-18 14:20:43,0.011216349320807728
FBI完成重查希拉莉依然无罪，全球股市将大涨！,19552,43,2016-11-07 08:40:49,0.9305596535997789
三季度证金减持最多的第一是光大银行，第二就是,12236,25,2016-11-18 08:10:47,0.23506811962625196
银行将启动坐稳了，别下车,9684,15,2016-11-15 17:41:54,0.6514117102445753
王弱狗想喝猫血,9325,11,2016-09-18 13:12:50,0.6570100568762789
601818:光大银行H股公告(董事名单与其角色和职,15815,5,2016-11-18 16:45:23,0.08994956027406953
601818:光大银行董事辞任公告,13650,1,2016-11-18 16:44:44,0.21859807786270302
王弱狗就是股吧里的不祥之物,9166,12,2016-09-21 09:55:36,0.6733670286167908
减持银行股消息满天飞，基金第三季度合计减持光,14754,15,2016-11-01 12:10:17,0.05726806284135244
如何看待债转股？,13225,27,2016-11-04 06:20:55,0.7329258291256506
银行股在底部已经盘整了一年半了，我想说买银行,4309,3,2016-11-03 13:48:58,0.004168218059873996
拉指数快点拉 ,5141,21,2016-07-28 09:37:28,0.7701023933269686
超过预期！2016年10月中国制造业PMI为51.2%,4253,4,2016-11-01 11:26:59,0.3676196333695665
光大银行h股发行股3.98港元，现在是3.59港元，,17640,24,2016-10-11 16:58:45,0.19682097901641293
