标题,阅读,评论,字数,影响力,时间
中国银行董事长田国立辞职 陈四清接任,13847,4,1011,0.0,2017-08-18 11:20:58
中国银行(601988)融资融券信息(08-17),6276,3,536,0.0,2017-08-18 07:50:13
田国立辞任中国银行董事长及执行董事等职务,7171,9,200,0.0,2017-08-17 19:50:14
中国银行(601988)融资融券信息(07-12),8404,6,536,0.0,2017-07-13 07:48:57
不到净资产坚决不出,5825,15,128,3.0,2017-07-17 18:14:53
市场很明显，下周挑战3300点，(做多类涨价有色,3393,13,97,0.5,2017-07-27 19:38:38
中国银行(601988)融资融券信息(08-11),6493,3,540,0.0,2017-08-12 07:49:47
祝福：中国银行未来路，不断向前发展！,47592,94,142,3.5,2017-01-25 21:51:38
小摩：升中行目标价至5元 维持“增持”评级,20413,6,280,0.0,2017-08-09 16:59:16
银行股的涨幅还远远不够！,19890,10,309,2.5,2017-07-30 11:56:21
农业银行将超过中国银行股价，中国银行股票将沦,11818,14,127,2.0,2017-07-27 10:33:42
震金，毁金连续100万股打压中淫，操盘手罪该万,11279,17,141,3.0,2017-01-06 10:50:16
谢百三说不买四大行”的观点是错误的,8854,9,275,3.5,2016-11-11 19:05:52
601988:中国银行2016年度A股派息实施公告,99668,12,1635,0.0,2017-07-06 18:38:22
海外业务优势突出，抗风险能力强,24850,6,956,0.0,2017-08-04 16:45:15
中行年报不错，不要纠结于分红高低，我持有中行,20574,24,199,3.0,2017-03-31 20:50:17
热烈  庆祝数千亿养老金入市买股增值，大型券商,9787,11,229,4.0,2017-07-28 13:30:18
前路虽漫漫，九转回肠，但青山遮不住，毕竟东流,823036,3130,660,3.0,2016-12-30 15:03:28
狠狠批评证金公司减持国有三大行A股的行为,11961,19,194,3.5,2017-04-28 21:44:35
又以3.85减仓卖出一笔中国银行我不知道它到底还,13761,33,205,3.5,2017-07-25 10:28:52
记住中行2007年7月上市日。 记住中行2007年11月,19959,16,505,0.0,2017-06-17 06:15:07
看中国银行,23822,23,325,3.0,2016-11-22 17:58:26
行情尾声，注意风险！经济每况愈下，牛市没基础,21298,36,208,4.5,2015-11-18 14:17:23
中国银行(601988)融资融券信息(07-28),7346,6,540,0.0,2017-07-29 07:48:25
国际原油7连涨，超跌央企龙头股泰山石油000554,4561,13,178,3.0,2017-07-04 05:57:21
本人从去年底到现在始终1/3仓位短线操作，看起,10506,23,155,0.0,2017-07-08 06:39:18
五大行接下来是五年长牛，不要问为什么，自己慢,16762,17,180,3.5,2017-07-26 11:20:42
逃雄安弃保险        主力只买券商，广发证券白,6796,13,171,4.0,2017-06-21 11:44:53
基金抱团炒个股是中国式庞氏骗局，隐患危害大98,28362,33,333,4.0,2016-07-22 08:55:39
摩通减持中国银行2.57亿股 每股3.771元,28680,11,214,0.0,2017-07-20 19:44:36
听说好多地方退休人员工资不能按期发放，请问中,13368,23,197,3.5,2017-06-28 09:27:34
业绩爆增而涨幅小的600688正是出了银行股的中新,6990,10,503,4.0,2017-05-03 14:34:18
中国银行7月14日发放A股股息每股0.168元,24281,6,212,0.0,2017-07-06 19:22:07
几回殢娇半醉,4920,14,122,0.0,2017-07-14 10:43:00
我站在山岗上 ,6780,1,139,2.5,2017-07-14 09:11:36
分红前一天多买入一些，领取分红后卖掉，这样成,29176,16,172,3.5,2017-07-08 13:52:37
洗成倒挂呵呵,3118,8,122,2.5,2016-05-25 14:12:39
中行5亿就能拉涨停100亿就能封板,2203,1,197,3.0,2017-07-05 11:13:59
入市12年 ，也算一个小轮回，些许感悟,5563,16,441,1.0,2017-07-04 11:27:29
盘点沪深300指数5,4921,15,142,0.0,2017-07-07 14:22:57
询管理暂行办法,2914,46,142,0.0,2017-07-02 21:13:20
相对于工商银行，这票挂单为什么这么大？,4377,16,148,1.0,2017-07-04 16:18:35
中国银行陕西分行承兑汇票业务违规 吃银监罚单,8703,2,445,0.0,2017-06-23 11:15:00
中国银行(601988)融资融券信息(06-19),4703,4,532,0.0,2017-06-20 07:47:24
中国银行在银行股表现最差，至少落后版块20个点,6587,8,97,3.5,2017-06-09 14:08:00
中国银行:调整仍在继续，防范短线风险！等待这,9009,62,107,0.0,2017-06-05 16:24:49
你妈的，难怪会不停发生股灾！,8005,61,209,0.5,2017-06-05 15:33:14
你妈逼,6226,66,116,0.0,2017-06-01 15:16:52
北上资金“开抢”万科A 深圳地铁账面浮盈超110,4846,1,221,3.5,2017-06-24 11:54:06
中国银行要大力改革，否则会破产!,7174,7,83,3.0,2017-06-15 09:33:45
601988:中国银行关于副行长辞任的公告,14453,6,433,0.0,2017-06-16 17:18:29
601988:中国银行2017年第一季度报告,25045,5,962,0.0,2017-04-28 23:01:57
中国银行已到无人关心景地，看作僵尸股了，静等,4638,6,119,3.0,2017-06-15 01:44:36
别的吧！可热闹了，这咋没人啊？,4539,7,140,0.0,2017-06-23 20:47:24
中国银行(601988)融资融券信息(05-26),11561,4,542,0.0,2017-05-27 07:52:56
今天啥事都没干 一直在买入 巴菲特眼里最值的股,7417,10,155,3.5,2017-06-05 11:17:24
601988:中国银行关于2016年年度股东大会增加临,26770,5,1436,0.0,2017-06-14 18:02:58
中国银行，跟跌不跟涨。,18195,138,76,0.0,2017-06-05 14:06:56
分红的真正意义，很多人都说分红是没意义的，甚,719426,1245,302,3.0,2016-06-25 09:22:22
中国银行：[中国字号] 稀缺资源 盘大也涨！,19121,15,291,4.0,2016-11-29 11:58:09
央行发布《全国银行间债券市场柜台业务管理办法,294945,328,4764,5.0,2016-02-14 17:15:32
601988:中国银行关于拟议将中银航空租赁私人有,56129,12,2046,0.0,2016-03-04 17:26:55
中国银行今日超大单流入排名第7名(03-04),12372,10,343,0.0,2016-03-04 16:09:22
2月22日早盘内参：刘士余出任证监会主席,238400,175,3121,0.0,2016-02-22 00:16:06
[极度震撼]财富号上线啦！上海银行十大流通股东,17389,22,803,4.0,2017-04-30 10:25:55
2017年 工行涨百分之16.5 建行涨百分之13 农行,14278,4,531,3.5,2017-06-05 18:30:51
崩得越惨越漂亮！,2046546,11707,62,3.5,2015-08-06 19:03:05
中国银行看高至15元，应该没有问题。,16473,19,146,3.0,2017-05-26 08:47:47
老王蹲在粪堆上打苍蝇，手法很是精湛，周围的人,12951,5,268,3.5,2017-05-30 20:57:29
中国欲批准一万亿元债转股 知情人士：最快4月正,72619,448,3114,0.0,2016-04-05 11:19:13
不良资产证券化卷土重来 中行招行抢头筹,34869,145,2756,0.0,2016-05-20 00:48:27
中国银行已突破B0LL线上轨，后市必将加速上升，,15488,9,131,3.0,2017-05-25 17:16:13
假想：如果把机构操盘手的姐妹送给我搞三天，我,15735,27,208,3.0,2015-08-19 14:50:45
业绩增长乏力，不良率持续上升,18361,10,1015,0.0,2016-04-27 17:46:56
601988：买进，成本3.652元。,55026,199,184,3.5,2017-04-07 23:15:28
大方向已经明朗上善若水，利益国家，利益人民为,17673,29,203,3.5,2015-08-17 14:30:39
农行股价必将超过光大银行和中国银行,12834,16,294,4.0,2017-04-17 08:07:58
恶意打压四大行的主力应该被灭绝,10261,12,198,3.5,2017-03-10 17:02:30
不前那么将来你回忆起来,7122,15,132,0.0,2017-05-04 19:51:08
业绩增长平稳，资产质量改善,38671,10,1159,0.0,2016-10-28 16:44:46
一定会忍不住自我嘲讽,5171,10,130,0.0,2017-05-04 19:50:25
中行：筹备成立雄安新区分行,18193,14,658,0.0,2017-04-13 20:47:48
中国银行：筹备成立雄安新区分行 全力支持雄安,17112,8,644,0.0,2017-04-13 19:12:59
妈的中国银行把优质的东盟业务都卖给中银香港！,8620,25,218,3.0,2017-02-28 22:58:59
大摩118页报告：看好三只中国股票 一年内或涨超,151867,209,1458,0.0,2017-02-18 12:11:52
601988:中国银行2016年年度报告摘要,30169,9,1067,0.0,2017-03-31 20:38:52
中国银行首季税后利润增3.48%至503.27亿元不良,16424,8,715,0.0,2017-04-28 18:02:51
中国银行股市值占比太低，被严重低估。,16362,13,565,3.5,2016-11-01 21:09:25
紧急通告：立即抢购处于历史低价的金钼股份6019,33847,64,263,3.0,2015-12-17 10:23:28
4.0工业革命凸起黑科技受惠的上市公司（转发）,10939,19,3115,3.5,2017-04-03 12:26:50
高速成长的南京银行,14049,22,132,3.5,2016-04-03 19:11:49
中国银行这次连续暴跌，大家认为是证金公司在疯,26635,30,249,2.0,2016-01-28 13:45:12
601988:中国银行关于拟议资产重组的进展公告,45767,16,1080,0.0,2017-02-28 18:47:55
哀股市赋（文责自负，请放行）,15643,41,2380,3.5,2017-03-20 14:11:10
大揭秘：A股 久盘必涨 还是 盘久必跌 ？,13877,21,1210,3.5,2016-05-30 13:50:12
中国银行拟10派1.68元,40491,14,243,0.0,2017-03-31 21:46:54
目前股息率超过5%的银行股只剩下农行,5805,5,320,3.5,2017-03-07 22:08:24
经营稳健，四季度主动大幅计提拨备,30767,6,1488,0.0,2017-04-05 13:48:14
警惕主力一些常态化动作及应对策略,18516,33,518,3.5,2016-02-22 18:18:22
汇丰：削中行目标价至4.4港元 评级维持“买入”,14338,6,327,0.0,2017-04-05 11:24:46
12家银行资产质量如何？三张图看明白,30217,16,1105,0.0,2017-04-02 11:21:45
上市公司股价长期处在每股净资产之下，还有没有,5902,18,201,0.0,2017-03-31 07:40:28
以前一直压着不怎么涨，一旦大盘危机就成中流砥,6079,16,272,4.0,2017-03-30 19:55:03
89.42%是汇金公司的，户均30多万股，难道进点打,17287,15,213,0.0,2017-03-06 20:39:40
不给老娘上4元，老娘一个筹码就不卖,11813,29,138,0.0,2017-03-26 17:19:18
再收中阴线，短线怎么看？       继昨日失守生,9476,23,740,4.0,2017-03-30 16:39:42
石墨烯、量子通信两大黑科技领域先得实惠上市公,8742,8,1380,3.5,2017-03-15 17:26:00
国际化战略深入推进；资产质量好于同业,17623,6,1233,0.0,2017-03-08 09:23:34
趁现在还来得及，埋伏银行股 ,57584,22,1982,4.0,2017-02-10 15:20:19
中国银行派发每股5.5元优先股股息,30613,11,227,0.0,2017-03-03 18:07:05
[哭]瞧着中国银行的月K线，牛爷我真的哭晕在厕,595423,94,858,3.5,2017-02-04 17:44:09
加仓买进,9321,24,118,4.0,2017-03-01 10:30:51
为促进在东盟地区发展 中国银行拟议资产重组,13211,8,642,0.0,2017-02-28 18:17:40
601988:中国银行H股公告(股份发行人的证券变动,20438,4,911,0.0,2017-03-01 18:16:02
狂人日记：“预测黄金坑”,31209,41,1405,3.5,2017-01-22 13:54:33
大摩：中国银行60日内股价将上升 评级“增持”,26107,8,286,0.0,2017-02-15 10:54:49
中国银行有一宗大手成交  涉资7，510万元,12478,5,176,0.0,2017-02-10 09:58:59
601988:中国银行董事会决议公告,36688,4,802,0.0,2017-01-23 19:32:37
[鼓掌][拜神顶格打新满仓中签601229:上海银行],11596,7,463,4.0,2017-01-22 07:30:22
《大腕》中国银行版,25432,29,740,3.5,2017-01-10 10:40:48
昨日尾盘净流入资金个股深度分析，决定今天走势,7159,62,337,0.0,2016-12-13 13:58:49
中国银行有没有投资价值？五年后他的净资产会是,23797,29,384,4.0,2016-10-13 11:46:06
中行在新加坡成立全球大宗商品业务中心,46631,361,662,3.0,2015-11-06 23:57:12
中国银行“一带一路”布局新加坡,50783,347,873,3.0,2015-11-08 00:27:38
601988:中国银行关于转让中国银行(泰国)股份有,32293,6,591,0.0,2017-01-06 16:55:46
回答中油兄、goodwill826 、cdh2768 股友,63140,294,222,3.0,2016-11-18 15:19:25
601988:中国银行董事会决议公告,26356,5,1058,0.0,2016-12-21 18:55:56
中国银行：{中字]品牌   高看一线 (附股),13583,14,1180,4.0,2016-12-04 20:39:04
目前 还能 建仓不？,3079,23,130,0.0,2015-08-03 11:12:56
银行那么多利好，干妈还要继续跌[滴汗],10104,42,144,3.0,2016-12-16 21:55:10
上涨根本不带量，主力惯用的诱多手法[哭][哭][,3350,17,174,3.0,2016-12-16 13:43:50
中行全面铺开投贷联动 为科技创新提供金融支持,9305,6,616,0.0,2016-12-16 21:16:37
优质银行股建行、中行债转股项目加速落地 未来,7858,15,340,4.0,2016-12-14 20:40:37
也不知道谁比谁傻，不知道同股同权的差价为何这,4599,19,718,2.5,2015-09-06 20:39:04
银行股直线拉升 中国银行涨近4%,20286,10,186,0.0,2016-12-12 10:33:01
【讨论】四大行这是要上天？能追吗？ ,18392,16,4405,4.0,2016-12-12 10:13:43
拓展主业务风光独好 冲刺黑科技金光灿烂（转）,19405,36,3628,3.5,2016-11-01 16:19:59
高位急拉升是大跌前诱多！出货是一价格区域并不,5124,8,234,4.5,2015-11-18 14:32:53
我买中国银行就没想着赚钱。,11492,19,178,2.0,2016-11-21 07:33:18
银行股价廉物美，具备长期投资价值,11761,1,339,4.5,2016-11-28 20:48:45
中国银行将连续13根阳线，每次买入都是正确，每,16077,15,151,3.5,2016-10-23 09:36:06
