标题,帖子数,日期,情感
《炒股日记》（8月3日，周四）,7644,11,2017-08-03 15:46:46,0.0309668902045942
方正证券(601901)大宗交易数据一览(08-03),23669,9,2017-08-03 18:18:14,0.2673511208609324
笑笑笑，业绩去年翻倍股0.99，今再翻倍超2元，,13932,28,2017-04-28 12:51:09,0.5901333970583047
天量限售股解禁，明天大幅跳空低开，然后一路走,11048,17,2017-08-02 20:43:57,0.008312129104187882
《炒股日记》（8月2日，周三）,11202,30,2017-08-02 15:59:19,0.009876363486999717
601901:方正证券关于有限售条件流通股上市流通,42088,24,2017-08-02 19:00:51,0.19290986091007634
8月8号天量限售股解禁，将连续暴跌，回到五元左,19376,24,2017-07-20 16:20:54,0.16751930492931322
《炒股日记》（8月1日，周二）,8697,24,2017-08-01 16:02:37,0.0028226343166940504
不要被昨天的小阳线迷惑了，典型的下跌中继，今,12720,18,2017-07-28 09:42:06,0.8621779304947448
再议方正：之前我说过多次按港资的套路,31885,19,2017-07-25 18:52:55,0.2730883997557749
《炒股日记》（7月20日，周四）,19531,44,2017-07-20 18:07:23,0.02897448250642498
庄家出货很明显，快逃逃逃,12910,21,2017-07-25 08:26:50,0.9124504867577891
昨天港资 没动，那一波拉升是谁？,17117,22,2017-07-18 06:21:34,0.27640040485573614
601901处罚落地，征集2015.7.15前买入股民索赔,15013,43,2017-05-06 00:36:51,0.8214935574600173
601901:方正证券关于公司涉及诉讼的进展公告(20,21621,10,2017-04-18 19:01:48,0.9735337433119682
601901:方正证券关于股东股份冻结的公告,71842,41,2015-08-31 19:36:02,0.3073607949892534
601901:方正证券关于股东股份被司法轮候冻结的,10007,26,2015-09-11 19:21:36,0.8385440604694258
601901:方正证券关于股东股份被司法轮候冻结的,94212,33,2016-01-08 19:17:07,0.8385440604694258
《炒股日记》（7月17日，周一）,10489,16,2017-07-17 16:49:24,0.020423773200725193
券商仍具确定性机会，唯独不看好此股！,18100,14,2017-07-10 15:07:40,0.11736220086596305
重磅来袭，方正证券2015.7.15前买入股民索赔征,18222,42,2017-06-05 10:52:13,0.457697137791222
港资持股25%之前只买不卖，好戏在后头。,40195,33,2017-06-17 09:57:49,0.24146467959104956
好兆头,9126,13,2017-07-28 07:22:40,0.6317853705682674
在股市中有良好的心态加必备的技术是获利的根本,6212,11,2017-07-05 00:42:15,0.9936205257685652
方正证券索赔案两地法院开打,38862,70,2017-06-07 06:36:44,0.03501261980614334
抢！咯咯咯！抢盘了，黄金砸头！晨鸣投资价值第,21920,41,2017-03-01 20:16:19,0.999568774023493
对方正证券的分析，不喜勿喷,38186,37,2017-07-16 09:01:12,0.37833452150680014
《炒股日记》（7月26日，周三）,7893,5,2017-07-26 16:35:42,0.011411706506524233
方正证券这个月，股价由10元跌到8元，还股权之,14541,15,2017-07-26 10:59:43,0.04919161114534787
26名小股东抱团向方正集团索赔 大股东成本次唯,33921,56,2017-06-06 09:12:35,0.10240279088967319
突然砸盘的休息了！,8229,11,2017-07-26 10:51:40,0.35882876482348924
新的一天的下跌马上开始了，今天或许不是阴跌那,13419,25,2017-07-25 08:01:42,0.7325539233824803
方正证券走势个人分析．从年初到今天，上证指数,117385,88,2017-06-07 23:08:05,0.961305725175478
拨开乌云见天日，黎明前的黑暗意味着光明就在眼,14039,11,2017-07-24 12:43:29,0.9943067749504974
要调整，大跌的节奏。看k线,2037,25,2017-07-06 14:39:56,0.6502396267959578
和海通证券比价，海通证券价值凸显,1561,23,2017-07-12 10:03:42,0.8797221546981158
上证50到头了，没有永远上涨的股票,3473,26,2017-07-18 09:43:42,0.46301005532605943
方正一点量就能绿盘，说明盘子很轻？,8495,21,2017-07-12 09:40:58,0.11986608103982066
目前方正证券港资没有减持，看看港交所披露易20,18901,26,2017-07-19 09:33:39,0.9089747928910865
10逃顶的举手,老夫做空大发了,8523,28,2017-07-07 19:20:57,0.6381931255068485
存量资金博弈下，涨了就要跌。,3684,21,2017-07-06 14:54:00,0.7887133153178684
哥已满仓，请求起飞。,7790,17,2017-07-12 10:26:58,0.19420542919946981
和其他券商股对比呈高估状态,1934,19,2017-07-11 09:42:55,0.33013084956805283
《炒股日记》（7月18日，周二）,6937,14,2017-07-18 20:12:00,0.006890772446277227
《炒股日记》（7月19日，周三）,6993,7,2017-07-19 16:49:10,0.01022967492364335
不要急于上攻，刚生完病要休养两天，五日线下缩,17250,15,2017-07-05 11:16:17,0.8391499911986973
雾大的帖子又失联了吗？,242599,1349,2017-05-16 07:30:40,0.9790848777871503
港资减持,18259,23,2017-07-15 00:28:08,0.4737672181921908
券商板块目前股价站上年线的票，跌到30天线下越,6127,8,2017-07-04 13:34:24,0.03368387573576137
黑马中的野驴,22786,69,2017-05-23 23:31:55,0.9657502579532747
最赚钱!最安全!最简单的炒股方法！      首先要,55610,51,2017-02-11 17:58:41,0.344050254824226
《炒股日记》（7月10日，周五）,8100,6,2017-07-10 20:18:30,0.030735040539244363
连续4根阴线，推测方正证券要启动拉升了！整体,25728,36,2017-07-04 20:27:05,0.3245263478835224
昨日港资增加买入方证放心持股没问题。,9991,5,2017-07-13 10:32:21,0.4534712710030889
支持东方集团,坚决做空方正,14800,35,2017-06-28 23:33:56,0.508487692918011
10逃顶的举手,可以做空大发了,16650,39,2017-06-21 09:57:20,0.6381931255068485
方正证券走势越来越弱,4191,18,2017-07-07 13:11:13,0.5682155172938438
昨天券商板块跌0.6％，你跌五个点，今天板块涨,7392,4,2017-07-13 15:45:25,0.31635735897414274
