标题,帖子数,日期,情感
预测下午券商悉数封板:广发中信三板三天上23元!,6001,11,2017-07-12 11:55:06,0.7760799653486741
601688:华泰证券2016年年度权益分派实施公告,94062,8,2017-07-31 18:54:21,0.39498272330667106
证监会通报操纵股价的4种方式：关联账户，自买,29190,45,2016-09-26 09:11:34,0.883739315502804
价高没戏了下来全转买*一路一带丝路龙头600307,25901,89,2017-05-06 20:40:26,0.421543734183225
华宜华生活（600978）红木资源第一股，红木资源,2136,5,2017-07-19 10:22:02,0.9750814807289833
我对证券周期判断还没有明确，总体向上，目前证,24666,41,2017-07-20 12:38:10,0.8809702707327453
股道教你盘中如何做T+0操作：      我们说的T+0,31774,54,2017-02-21 10:33:37,0.4630203610959218
券商板块仅凭一点就足以成为下一场牛市领头羊,12776,13,2017-06-08 15:05:55,0.7490562601196376
华泰证券(601688)融资融券信息(07-13),5128,4,2017-07-14 07:47:57,0.6473208510743051
华泰是在底部横盘，但要冲上18元上方，必须放大,6611,37,2017-06-15 20:34:50,0.08816556039705592
高位急拉升是大跌前诱多！机构出货是一个价格区,8955,22,2015-11-17 11:07:18,0.528397017295335
不想在国安发言了，国安自作聪明的人太多，以后,11949,33,2017-07-19 11:32:08,0.1201901555432412
参考劵商板快五重底。,85993,169,2017-04-17 21:07:38,0.8530501766602281
券商护盘,5028,21,2017-07-11 10:49:07,0.4516147496552959
601688:华泰证券2017年6月份经营情况主要财务数,72120,18,2017-07-10 16:30:41,0.33724943760707604
大牛来了[想一下],4685,1,2017-07-13 13:44:52,0.5237661590441648
国家的每次经济改革都将被华泰这样的无良无耻券,18211,42,2017-03-22 10:55:40,0.7937390738029856
基金抱团炒个股是中国式庞氏骗局，危害大688,25465,37,2016-07-21 14:25:05,0.948949627315205
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,49198,95,2016-03-22 13:34:31,0.9616263649280308
有机构故意捞低单打压为吸收筹码享受10分5元,3050,12,2017-07-07 10:46:59,0.11684079128400404
601688:华泰证券2017年第一季度报告,27100,11,2017-04-26 20:18:02,0.6040688708717984
下星期趁反弹全部清仓，要休息了。,8938,9,2017-07-07 20:16:24,0.19113084981080264
紧急公告：立即抢购7.02元历史最低位附近的金钼,4580,5,2017-05-10 14:29:06,0.9179398754119068
尾盘跳水比赛,8588,62,2017-06-26 10:07:11,0.42305958538499244
买点,3547,19,2017-04-13 07:08:55,0.5833333333333336
看样子是真飞,2574,5,2017-06-02 08:04:27,0.5209840908103103
好了，落袋为安了，拜拜了华泰,1468,11,2017-06-01 13:27:47,0.9433480800890209
每天都有资金进，就是不涨。,2929,14,2017-04-28 10:37:24,0.8517922865812018
券商还不如银行股坚强,4023,3,2017-03-10 15:36:24,0.6958501424612952
7日年化收益达3-25%,2761,33,2016-07-07 00:33:25,0.8247589288466809
601688:华泰证券第四届董事会第七次会议决议公,22505,6,2017-06-26 16:37:48,0.023717445833983386
不要盲目《华泰证券 601688》；要明白一點,9308,0,2017-06-22 18:38:12,0.3374155923320734
亏你先人！就这还定增！,7657,20,2017-06-07 17:14:19,0.9774106297537449
今天算是给出个信号吗？,4137,11,2017-06-22 12:51:42,0.5245619593032584
今天的股评肯定又是说证金公司为了什么会议或者,6558,46,2017-05-12 14:35:07,0.04058127880170015
华泰定增是巨大利空,11207,23,2017-06-09 07:29:47,0.7474925035411509
你诱 我就揭发 本人现在无业游民一枚,4066,8,2017-06-02 10:48:42,0.6075244813471
华泰证券：拟募资260亿元加码主业,12507,4,2017-05-26 22:33:39,0.5083322432181304
华泰证券(601688)融资融券信息(06-09),6164,5,2017-06-10 07:41:24,0.6473208510743051
券商股熊市砸得越狠牛市涨得越凶是铁律,4025,3,2017-06-02 14:46:55,0.06615078403403796
券商板块受益新股发行快速化，决战改革牛！2017,4963,5,2017-02-10 08:56:04,0.9920684626979147
华泰证券(601688)融资融券信息(06-13),5095,4,2017-06-14 07:44:58,0.6473208510743051
资金倾巢入券商,六月入摩铁定了!大利券商国际化,8260,29,2017-05-26 09:55:17,0.9831588256586965
601688:华泰证券2015年第三期次级债券2017年本,12856,6,2017-06-18 14:07:43,0.10345688229316952
好样：刚上市3周不到，就有13家机构扎堆调研！,6832,6,2017-05-04 19:57:28,0.03468763808387476
华泰证券定增260亿获批 成近两年最大券商定增,27625,16,2017-06-08 14:45:08,0.845125940012565
601688:华泰证券关于非公开发行A股股票有关事项,27664,11,2017-06-06 16:47:16,0.2456037461329975
华泰日K线参考。,9042,6,2017-05-31 18:39:58,0.6863938743153539
华泰证券非公开发行事宜获省国资委批复,17042,6,2017-06-06 19:22:11,0.42210912826753755
华泰证券非公开发行不超10.89亿股A股获江苏国资,19479,13,2017-06-06 20:48:43,0.3185781585627241
260亿定增 助力公司三大转型,44074,18,2017-06-12 10:15:01,0.8595015119448646
买入上海石化(600688),110161,197,2016-06-14 10:52:19,0.3141388674957901
真不给力，再跌的话就清仓，我们的钱不是捡来的,16589,127,2017-05-22 13:55:38,0.014041407105239379
百大券商2017年首份成绩单：沪市成交华泰证券领,98594,285,2017-02-10 10:22:22,0.22687064360589948
证券商只有一种情况是利好，那就是营业部人头攒,5077,14,2017-05-28 17:28:49,0.4355993410136605
华泰融资融券违规诉讼未了，就迫不急待巨额圈钱,7973,19,2017-05-27 16:17:20,0.9540244052234883
华泰证券拟定增募资260亿元“补血”,21319,17,2017-05-26 17:34:32,0.8611759491427073
下午暴跌，拉高出货,3964,9,2017-05-25 11:19:11,0.7149807138640322
倒数第三,4781,18,2017-06-01 09:37:01,0.06762239145043292
等了哪么久才看到点希望，为什么就急着卖呢？都,3502,29,2017-05-26 10:42:31,0.6716272354398044
601688:华泰证券非公开发行A股股票募集资金使用,19169,9,2017-05-26 17:16:18,0.6121408162132427
华泰证券(601688)融资融券信息(05-24),3940,5,2017-05-25 08:27:44,0.6473208510743051
601688:华泰证券2017年4月份经营情况主要财务信,35239,4,2017-05-05 16:34:13,0.22882577901086465
关于华泰定增的问题我想把我自己的看法跟大家一,13466,10,2017-05-27 10:22:38,0.8555222574066574
何时分红？,5834,4,2017-05-08 15:10:50,0.4679374573201529
601688:华泰证券第四届董事会第六次会议决议公,15932,4,2017-05-26 17:14:42,0.06600746967001825
华泰证券拟定增募资260亿元,49413,11,2017-05-27 09:44:20,0.9018367108668891
华泰证券拟定增募资260亿 为何此时会有这一大动,30592,25,2017-05-26 22:52:43,0.9357533311552799
601688:华泰证券非公开发行A股股票预案,32725,17,2017-05-26 17:10:36,0.14915581408558332
恒大暴涨近23%今年涨超200% 特色小镇概念暴涨 5,5472,8,2017-05-29 21:02:47,0.9904149871123386
『真理』大券商有钱有实力，各项业务资源都垄断,211741,779,2015-12-24 21:31:36,0.9960515587524884
华泰证券拟非公开增发 募资不超过260亿元,21754,7,2017-05-27 05:16:05,0.10769329128658378
601688:华泰证券关于本次非公开发行A股股票摊薄,9268,3,2017-05-26 17:12:28,0.06463941024476738
华泰证券：拟定增260亿元补充资本金和营运资金,36744,45,2017-05-26 17:25:33,0.8580996601916445
601688:华泰证券2013年公司债券2017年付息公告,11002,5,2017-05-23 17:53:16,0.189622256128693
华泰太丢江苏人脸了。,8428,15,2017-05-12 14:27:31,0.1508284817085338
360即将宣布借壳，最大受益券商华泰证券启航！,100902,236,2017-02-08 15:04:42,0.34193741445091497
江苏加快国企改革 推进国有资产证券化,276810,866,2016-07-29 08:52:52,0.9594006552171168
三十年大国投行梦出鞘？近期关注券商投行战略规,69276,188,2016-12-13 09:18:33,0.9999761329840794
∩～白菜价：含金量超高华泰证券极具投资价值5,499186,1605,2016-01-28 21:29:56,0.9878041758855695
乀乀国泰君安辞职跳槽跑路7个栋梁大将灵魂核心,138347,412,2016-10-06 18:10:48,0.9987950117037931
经纪业务霸主，资管崛起猛如虎,30979,12,2017-05-02 09:14:08,0.9155553966106744
601688:华泰证券关于张海波先生辞任公司副总裁,14082,8,2017-05-22 16:43:01,0.06405548521528315
2017年2月21日，建仓华泰，18.83买入1600股，很,30765,62,2017-02-21 13:13:02,0.09935863776744647
券商全面松绑融资融券业务 目前总体水平“健康,59401,186,2016-04-04 05:22:45,0.8280444092625849
601688:华泰证券非公开发行2017年公司债券(第二,19854,11,2017-05-16 16:26:29,0.07744676394176542
华泰证券即将涨停，大家赶紧买入,14036,25,2017-04-27 07:47:04,0.7010518504390723
江苏银行今公告2016年业绩稳增长，华泰证券作为,57826,193,2017-03-19 22:12:58,0.9294188376355422
新闻，腾讯,55122,139,2017-01-16 07:54:18,0.6735426020305773
远东宏信（03360.HK）向资产管理公司售两基础资,62099,167,2016-12-19 18:13:25,0.6780349483075929
主力资金净流入的应该是沪股通资金,4280,7,2017-05-09 14:17:19,0.989822125340143
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,18871,34,2015-12-23 15:11:56,0.9616263649280308
华泰证券资管携手腾讯理财通 券商资管计划首度,58327,159,2017-01-12 20:01:11,0.4187498815691635
华泰证券4月份实现非合并净利约3.67亿元,20249,4,2017-05-05 18:29:32,0.3541163236574367
下跌途中的尾盘拉升预示：连续暴跌随时来临,13320,12,2016-07-14 13:46:28,0.8901972359554945
领跑券商APP 华泰证券涨乐财富通升级提速200%,7411,12,2015-11-20 17:03:50,0.24246040079143716
一季报速递：华泰证券2017年一季度盈利13.30亿,15033,8,2017-04-27 07:27:12,0.3235688489574494
经纪业务优势不断巩固，战略转型更上一层楼,15168,4,2017-04-04 11:52:27,0.9939377974727286
华泰证券(601688)大宗交易数据一览(04-25),12434,5,2017-04-25 18:13:37,0.1256798666749258
走不动了吗，25号会不会千股齐跌呢,3365,5,2017-04-24 13:55:40,0.10817997598855178
券商股是a股唯一希望了,2909,0,2017-04-24 13:26:19,0.05248751512184491
玩华泰这难度大哥我小升初你搞英语六级的卷子？,2466,2,2017-04-24 20:13:08,0.16244998768224184
下周华泰第一目标价18.11元。,24156,65,2017-04-09 23:43:51,0.7250836652410475
1号通告：立即抢购处于历史低价的金钼股份60195,29309,43,2015-12-29 11:50:32,0.9839404936607473
证监会：请依法常态化监管！查处操纵股价的不法,17328,30,2016-08-18 09:52:34,0.9548178220331341
华泰证券3月净利润为24.54亿元,24853,15,2017-04-11 22:10:39,0.10202687972924274
601688:华泰证券2017年3月份经营情况主要财务信,45059,20,2017-04-11 16:48:15,0.21389069579398046
行情尾声，注意风险！经济每况赿下，牛市没基础,13737,30,2015-11-17 12:18:09,0.9899350303098671
2016年年报点评：经纪业务龙头 投行业绩靓丽,11355,5,2017-03-31 17:36:54,0.8796270224017849
16.8将是未来3年的历史大底 立帖为证,11202,14,2017-03-29 18:25:07,0.9538768193500421
通达股份(002560)传统主业稳健军工腾飞在即坚定,56357,101,2016-08-31 10:47:31,0.9681013440449668
华泰证券2016年盈利62.7亿元 拟10派5元,38473,16,2017-03-31 00:15:31,0.08002809234832342
互联网券商龙头优势逐步扩散，投行、资管崛起,12783,7,2017-04-01 00:47:43,0.9661762461167039
2017年3月21日，自从入手华泰已经一个月了，股,25084,29,2017-03-21 21:17:35,0.035886584532014876
水调歌头，华泰,7214,7,2017-03-25 11:54:24,0.28526025869428506
华泰可以跌，但操盘手必须死全家，支持点赞,7221,11,2017-03-24 14:27:00,0.6256860618908039
华泰证券，走出了乐视网的走势无语，短期已经无,8270,24,2017-03-21 10:39:09,0.34322154241143055
“3月份深度理性分析华泰证券”（23/2）,11884,10,2017-03-21 21:04:51,0.9746962439109956
经纪业务龙头 布局智能投顾,23932,8,2017-03-03 17:06:44,0.15918064142205968
华泰证券母公司2月净利润环比增长3成,18002,10,2017-03-06 22:16:11,0.1494778180070554
601688:华泰证券关于首席风险官任职的公告,22725,6,2017-03-17 17:04:41,0.18542409657759007
华泰证券这么多的公积金，这么多的未分配利润，,13824,25,2017-03-17 20:27:27,0.04568156686186908
华泰联合证券投行员工违规炒股 8年亏14万被罚10,16860,18,2017-03-20 01:38:20,0.83046162045931
华泰证券有什么权利私自开通我的融资融券业务导,22098,59,2017-02-22 15:10:07,0.38429882843521856
<砸盘就对了>,11841,14,2015-12-24 12:04:28,0.5
股市大涨，券商拖后腿！！,4347,2,2017-01-25 10:55:31,0.2957234799400438
华泰证券,你给我一份信任，我还你股市一片辉煌,21483,15,2016-08-16 16:47:50,0.307147518067983
601688:华泰证券非公开发行2017年公司债券(第一,22273,12,2017-03-07 19:54:59,0.1255331403832517
601688:华泰证券2017年2月份经营情况主要财务信,34629,15,2017-03-06 18:59:19,0.1735763532079012
华泰证券2月净利润3.21亿元,15089,8,2017-03-06 20:12:08,0.08063406316942157
601688:华泰证券关于控股子公司利润分配的公告,43899,17,2017-03-05 14:37:25,0.03619619186529388
601688:华泰证券第四届董事会第二次会议决议公,27322,8,2017-03-01 16:21:06,0.06502996314820908
华鑫证券借壳华鑫股份 将成为最小盘的券商！！,9642,29,2017-02-02 17:30:27,0.5025202586797103
温州帮新晋隐秘暴力手法（上）,30729,10,2017-02-18 16:12:16,0.8812599769845828
中融信托致函发难 华泰证券回应：严格清理外接,26224,1043,2015-09-10 21:20:37,0.43953494455769815
大胆潜伏: 怎么跌的就会怎么涨上去（荐股）,11063,10,2017-01-16 17:44:03,0.9020354867406418
华泰证券1月净利润2.39亿元,17075,6,2017-02-07 21:41:53,0.0794131583164992
601688:华泰证券2017年1月份经营情况主要财务信,46865,18,2017-02-07 16:39:44,0.1712102513163195
华泰证券：收到证监会行政处罚决定书,27326,44,2016-11-28 17:18:27,0.04305959647862756
华泰证券收到证监会行政监管措施决定书,13092,7,2017-01-19 18:14:12,0.5888750581890724
华泰证券及子公司均收到中证监行政监管措施决定,11971,4,2017-01-19 22:34:13,0.7381573653155945
601688:华泰证券关于公司及控股子公司收到中国,42104,14,2017-01-19 16:44:22,0.20835356950114625
601688:华泰证券2016年12月份经营情况主要财务,53785,13,2017-01-10 18:11:35,0.1820799297802842
2016年最后一贴,155343,305,2016-08-08 22:37:17,0.49690502664280356
抛！机构拉升诱多不是解放军,高位放量离场是笑,11280,19,2015-09-07 11:27:02,0.30395695723223015
美国加息华泰证券收购的美国资产升值20%,19050,59,2016-12-15 08:53:06,0.9985924011718247
39亿收购远东宏信  为什么不给发帖？,14613,45,2016-12-16 09:36:35,0.6720694779319315
华泰三大特好;持苏银重仓，收购美国金融科企，,114284,421,2016-08-26 15:03:30,0.9997524120577901
→扔国泰君安到华泰证券是对的...,66708,236,2016-08-29 08:20:32,0.06109844257260133
经纪之王，转型进行时,145025,304,2016-07-22 08:44:27,0.9083633780759943
＜＞360从美国私有化退市成功，千亿借壳大戏上,94332,315,2016-07-17 05:56:52,0.7291256661571857
-->外媒：奇虎360已签下贷款用于支持私有化交易,124538,333,2016-07-08 04:52:21,0.018805659924787332
=奇虎360已经借壳了，华泰瑞联并购你最牛！,62337,137,2016-09-23 09:46:03,0.36168190714939286
~华泰加入mscl的时间10月1日sdr机构配置,84631,125,2016-09-22 08:32:03,0.12630673180215557
≥华泰证券+美国金融科技企业颠覆“金融系统”,135314,669,2016-05-07 05:44:41,0.9999687895317774
≡华泰证券+美国金融科技企业AssetMark=进入无,127161,643,2016-05-02 21:35:26,0.9774532754596299
=记住~券商一砸啥鱼皮虾蟹狗屁题材就都翻白死了,84785,178,2016-09-01 15:50:54,0.01092176129152267
长时间看华泰必是第一,77713,256,2016-08-15 09:37:17,0.558987910820737
｛｝现在股市低位捡金子，没什么好犹豫的！,114833,364,2016-07-12 22:22:56,0.8098308793741896
剑走偏锋核心焦点：创新型趋动科技升级型的大券,113962,597,2016-05-26 07:18:53,0.9999348077630467
1，互联网理财2.0土豪想出海 谁带土豪飞？华泰,114828,670,2016-05-18 21:19:05,0.8869004510307807
≈华泰持有江苏银行6.4亿股，上市开盘华泰100亿,172424,459,2016-06-19 06:35:16,0.042384271148825925
半年报点评：经纪业务稳坐第一 投行、资管共同,89878,134,2016-08-28 13:51:53,0.9259056996583774
2015年报点评：互联网证券最强王者，大步迈向一,186314,770,2016-03-30 14:57:17,0.9649221916799
