标题,帖子数,日期,情感
期盼大盘6月阳,21192,38,2017-05-27 09:34:30,0.3276430208005383
什么时候重组？,8060,102,2015-10-22 13:22:57,0.5
主力再次曝光,12019,18,2017-01-19 13:48:25,0.6423566947137421
已经是底部了，今天出现利好消息，搞了5000股,6178,18,2017-05-08 13:13:24,0.06330009274188197
中国交建(601800)融资融券信息(06-16),7322,6,2017-06-17 07:45:46,0.8823755923720058
601800:中国交建关于子公司发行契约型基金并认,9457,5,2017-06-16 19:01:23,0.7160397455542448
601800:中国交建2016年年度报告,18066,6,2017-03-28 21:17:44,0.7724852109147239
创业板有大量优秀的公司,3186,58,2017-05-08 11:20:39,0.9147722835579877
这样的维稳实际是自杀！请外国教练吧！,2507,50,2017-05-25 10:47:44,0.9711830045524423
2:30分没反应，远离此股,4853,10,2017-06-26 14:38:19,0.07101690936167226
601800:中国交建2016年年度实施A股分红派息公告,54151,8,2017-06-25 16:15:23,0.618617818878358
以创业板2012年价及分红比较，创业板是名符其实,2212,1,2017-06-19 07:45:30,0.49029236097987017
目前策略是撤出 上证50及白马股 重点布局广东科,3437,2,2017-06-16 11:20:44,0.8590093055417245
機構拋售中交建量大且密，中交建跌幅比其他大型,4108,44,2017-06-12 10:47:34,0.5259449247353228
601800:中国交建重大合同公告,41888,12,2017-06-13 16:58:18,0.2484253513490552
中国交建：728亿元马来西亚铁路项目将于近日开,22094,4,2017-06-13 17:18:41,0.8347078475899282
早晚有 跌停出现,2860,3,2017-05-14 16:24:41,0.05012445971730306
中国交建马来西亚铁路项目一期合同正式履行涉资,15372,5,2017-06-13 20:27:37,0.8974400488573189
儿啊，短期跌幅已达20%，其幅度已超垃圾股了！ ,6051,8,2017-05-19 10:03:26,0.12515299410242564
中国铁建今天涨停板中国交建跟风,6103,9,2017-05-26 06:38:27,0.9620215701630815
股市是市场，而不是赌场，光凭所谓的运气，并不,5059,16,2017-06-04 17:29:33,0.7329668345512084
混改即将，抓紧干。。。,5780,12,2017-06-05 08:54:32,0.6902694737313533
