标题,阅读,评论,字数,影响力,时间
兴业银行(601166)融资融券信息(09-08),10233,33,562,0.0,2017-09-09 07:46:01
实盘交易，今天这样挂单。行吗？,7280,22,139,2.0,2017-09-08 08:02:02
兴业银行(601166)融资融券信息(09-05),8256,3,554,0.0,2017-09-06 07:55:39
未来几年兴业银行2009年的15涨到43的过程大概率,44706,44,362,3.5,2017-06-09 13:07:19
神奈川777，股友FtdyLz，股市无底裤，纳尼斯托克，,15195,31,193,1.5,2016-07-09 08:49:02
兴     业     抄     底     价    位     ： ,29523,82,174,0.0,2017-08-08 07:59:18
25之前卖兴业我不敢说你错但肯定不对。,33305,45,133,2.0,2017-07-12 22:50:07
兴业银行携手中升集团加快布局“汽车消费金融”,18410,18,938,0.0,2017-09-01 15:04:37
比较创业板与纳斯达克市场的投资价值,7764,111,141,0.0,2017-08-07 20:55:31
周期股涨完，来个530股灾然后才是银行表现时候,15793,120,153,3.5,2017-08-07 16:03:52
最新统计数据显示，上半年社会融资规模“表外转,13664,126,169,0.0,2017-08-07 12:31:52
坚决满仓兴业银行，并持股不动摇，每股30元之前,203150,500,322,0.0,2017-06-28 19:49:57
这么便宜的兴业银行，你们还要卖，我一直喊30元,173211,433,338,0.0,2017-07-06 16:01:11
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,15572,29,365,4.5,2015-09-14 14:08:06
兴业银行：上半年净利润增长7.34%,11575,5,846,0.0,2017-08-30 10:34:27
底部拐点确认，重申强烈推荐、组合首选,37309,9,2181,0.0,2017-08-30 09:58:28
对兴业2017年半年报的合理预测,39209,24,318,0.0,2017-08-28 16:05:42
中报速递：兴业银行2017年上半年盈利316.01亿元,52714,35,234,0.0,2017-08-29 20:19:33
兴业和招商半年报比较差别不大,23400,25,295,3.0,2017-08-29 20:20:58
上半年兴业银行净利316亿 同比增长7.34%,18777,5,830,0.0,2017-08-30 00:43:57
兴业银行：上半年净利316亿元 同比增长7.34%,40994,13,330,0.0,2017-08-29 20:33:43
月K线三连阳，估计要在18元下方横盘一阵了，充,21134,20,209,4.0,2017-08-01 00:02:01
601166:兴业银行2017年半年度报告摘要,60882,7,1031,0.0,2017-08-29 19:36:42
当下价值投资中兴业银行与贵州茅台谁更有投资价,15528,7,340,3.0,2017-06-30 22:58:43
兴业银行上市以来6条周均线均向上只有4次！,8152,8,221,3.0,2017-08-29 11:08:04
三泰开阳，月阳线稳固，8月起飞（追 招行）,15550,23,135,2.0,2017-07-31 17:16:58
兴业银行杂谈—2017-转帖。当作安慰吧,15566,12,2258,0.0,2017-08-09 22:18:15
兴业与招行比为什么差这么多？,18702,27,354,3.5,2017-05-24 11:35:36
不出意外本波段预计到23.15左右,14600,16,144,2.0,2017-08-25 19:14:14
兴业银行(601166)融资融券信息(08-25),9455,16,554,0.0,2017-08-26 10:05:41
兴业银行和京东做了一个两年前大家就不玩了的业,47783,10,2229,0.0,2017-08-24 14:32:47
兴业银行(601166)融资融券信息(08-24),6446,4,550,0.0,2017-08-25 07:46:36
兴业银行与京东合作，大家都去办兴业银行卡，那,12591,15,113,1.5,2017-08-23 13:59:33
