标题,帖子数,日期,情感
当无锡银行价格超过上海银行时，你们就明白啥叫,27135,93,2017-02-28 13:30:33,0.5505371693805043
4.37元发行价的张家港行股价都要超过你啦！,12734,74,2017-03-03 20:11:10,0.6033872106037105
上海银行：位占中国金融中心 板块业绩第一名！,62040,175,2017-02-18 09:57:45,0.9539613798539761
上海佬这会真是把他们祖宗的脸给丢尽了，都让张,4861,11,2017-03-07 19:47:51,0.06052846558462932
上周三四连续两天少量跟风韭菜来袭，调整三天，,6603,4,2017-03-07 20:13:59,0.2981322799885475
我媳妇儿说: 再等10天你不涨上去她就和我离婚了,3007,12,2017-03-07 13:05:05,0.5848290911786354
珍惜上海银行廉价筹码，迎接涨停！,7957,40,2017-03-03 10:17:00,0.6967301603843733
上周二大量跟风韭菜来袭，上周震荡三天，本周两,4561,7,2017-03-06 12:13:58,0.2284880670253333
大量韭菜割肉盘来袭，买呗。,3289,4,2017-03-06 13:41:58,0.14130436375408406
一对公婆想对儿媳说的话：,19630,18,2017-02-11 07:56:35,0.6175672301056248
2016年度上海银行业绩是杭州银行的两倍！上海银,22332,23,2017-02-10 21:12:18,0.4949543081524297
好在一早全仓抛光了上海银行，全仓17。98元进入,7330,18,2017-03-02 14:24:30,0.01461245198023986
上海银行2周内会有一次大的爆发,9214,7,2017-03-03 18:45:26,0.11096052156982106
上海银行年报10股派10元，公积金10股转2股！重,14641,11,2017-03-02 11:21:35,0.0002526178965488457
调研简报：资产质量压力大幅缓解，业绩成长有提,41032,5,2017-03-03 09:05:42,0.9992926154019475
吴江 江阴 张家港 无锡等诸多银行股价逼近20元,9890,25,2017-03-01 11:29:24,0.9410070754255502
无跟风韭菜来袭，纯属洗盘，继续持有。,5587,5,2017-03-01 13:58:23,0.03735228647649724
明天张家港可能还要爆涨，而对应上银可能还要阴,5860,16,2017-03-01 17:59:35,0.5820479056471599
被江阴超过了，怎么城市干不过农村呢,6837,24,2017-02-28 11:39:14,0.05238761599972985
长期持有。必有厚报。,2351,2,2017-02-28 20:01:31,0.32110055770371404
张家港行与上海银行比拼,4740,3,2017-03-01 14:31:25,0.162629653525301
上海银行就和上海人一样的小气！,4611,8,2017-02-28 15:20:02,0.13055881400408043
