标题,帖子数,日期,情感
举目望去只有保利地产最具投资价值,3763,16,2017-08-02 15:23:46,0.7470356738957981
三马加恒大新劵商牌未获批，许加印欲购广发证券,8394,12,2016-10-27 11:02:08,0.44540603896107034
不觉得怪怪的吗？,6171,7,2016-11-29 15:16:42,0.13265604048563728
涨幅为什么一直是万科的一半？,15904,80,2017-06-26 14:06:26,0.4616765060368727
保利地产正在筹划重大事项 股票停牌一天,29806,9,2016-11-29 13:58:07,0.7338181062774585
买了9万股是福是祸？,9796,16,2016-11-29 11:47:01,0.16663142061344338
上周因为要做手术所以不敢在进医院前买入强势个,2284,26,2017-08-02 16:11:10,0.9071510480001143
希望保利地产再现龙头光芒，开盘后大涨引领地产,5722,6,2016-11-29 17:54:54,0.6763580000607854
停久一点吧，停一天有什么意思？,5390,13,2016-11-29 18:15:51,0.19788875045157317
保利地产(600048)融资融券信息(08-04),7559,3,2017-08-05 07:38:16,0.7884728735409863
600048:保利地产2016-11-29全天停牌,96399,34,2016-11-29 09:02:19,0.3716516246167235
保绿主力又要边打边撒了，他的一贯作风是慢慢的,9504,13,2016-11-28 16:37:39,0.9449186778015777
保利地产(600048)融资融券信息(08-03),6564,6,2017-08-04 07:36:15,0.7884728735409863
操盘日记： （002661克明面业）进入攻击形态,7461,17,2016-11-28 12:51:19,0.9824292882053557
周一大盘将冲高回落，全天振幅5%以上，午盘千股,12692,23,2016-11-27 08:48:00,0.10539894809883166
保利地产这样的趋势，我们是耐心持有，还是速逃,1733,13,2017-08-02 13:53:39,0.3580942242965607
10.88全部清仓保利！,24255,71,2017-07-14 15:00:07,0.7642709336536191
下星期一涨停,15538,12,2017-07-14 12:40:01,0.7288465072864513
进场: “双重改革”受益股,社保养老金标的股,326,1,2017-07-30 09:16:03,0.9893200488469195
保利地产(600048)融资融券信息(07-19),5694,7,2017-07-20 07:36:02,0.7884728735409863
保利明天应该低开要不要抄底？,5257,8,2016-11-28 15:21:28,0.19568415384106141
《万向帝国》：7月19号起保利地产加速上涨。后,27573,27,2017-07-18 16:29:39,0.03247643547763879
高抛低吸波段操作,2136,9,2017-07-26 08:43:34,0.3590295578883772
！！！保利地产 大利好来了！重要利好刚刚公布,14504,6,2017-07-23 15:33:54,0.10300967072422662
价高出了下来全转买*一路一带丝路龙头600307酒,31895,99,2017-05-07 17:00:15,0.5782088919705451
保利地产(600048)融资融券信息(07-28),1835,4,2017-07-29 07:37:20,0.7884728735409863
必须涨到15，证金加仓一亿股左右,18970,32,2017-07-11 11:26:50,0.1588052027217277
保利2017.6.20日解禁股80多亿,36932,122,2017-05-17 13:38:39,0.4616257945389304
一加仓就死！没有一次强的！宋萄菊！,4353,13,2016-11-28 10:51:30,0.30012250776246885
上海传来了两个大消息。这个国际化最前沿的大都,15046,44,2017-07-09 13:45:59,0.06559752014181319
抢！抢盘了，黄金砸头！晨鸣投资价值第一股。,23425,37,2017-03-09 21:51:56,0.9979422771137797
保利地产今天不涨原来是这个原因,9704,9,2016-11-28 15:42:30,0.4063483042221272
保利地产因重要事项未公告29日开市起停牌,28555,6,2016-11-29 10:26:58,0.05468443686624558
保利明天开盘补跌，下探9.9,9069,15,2016-11-29 16:03:09,0.9094990500430593
保利地产停牌 待披露重大事项,55250,25,2016-11-29 09:51:29,0.8299429941226578
基金抱团炒个股是中国式庞氏骗局，隐患危害大04,38654,40,2016-07-22 08:38:56,0.9669821303006012
15元抄底冀东,还有东风汽车的人呢?,4469,15,2017-07-17 14:29:47,0.302875845720608
保利地产头肩底形态成立，回调不破劲线位大胆买,17699,25,2017-06-27 17:26:11,0.8901523813259327
补仓,12252,31,2017-07-13 09:12:50,0.3485697598175398
600048:保利地产关于调整第二期股票期权激励计,18463,8,2017-06-22 18:44:23,0.8214233973171133
还以为这辈子不涨了呢,12536,37,2017-06-22 12:50:21,0.6475903008956363
为什么买入保利地产,16697,11,2017-06-24 11:47:13,0.7085923308003625
感谢管理层长期以来对股市的支持，你们的辛勤付,6001,10,2017-05-31 14:09:10,0.9869311644476724
立个帖子！保利必上15元！,21959,40,2017-06-19 18:42:43,0.3850112917401092
保利地产  最新内幕  先知道了,24684,88,2017-06-08 11:19:04,0.767272155520879
10.14清是否明智？,5007,14,2017-07-03 14:32:47,0.7638681016303341
高位急拉升是大跌前诱多！出货是一个价格区域并,22818,34,2015-12-01 13:54:08,0.5072168082113251
《万向帝国》：保利地产14号再创新高，突破10.8,32530,34,2017-07-13 22:55:01,0.8604848224308486
保利地产6月实现签约金额381.04亿元 同比增长41,20941,5,2017-07-07 16:00:23,0.1917173666151618
下星期三涨停,14081,24,2017-07-07 21:55:19,0.28480216777308787
保利地产应更名为短命地产。,5223,21,2017-06-12 15:16:08,0.05260100429676262
保利地产(600048)融资融券信息(06-20),8031,19,2017-06-21 07:34:33,0.7884728735409863
抢盘！[想一下][想一下][想一下][想一下][想一,4642,15,2017-06-20 20:08:07,0.45899589734267976
保利地产(600048)融资融券信息(07-13),6986,6,2017-07-14 07:35:52,0.7884728735409863
写在保利涨停突破前,21780,68,2017-06-26 17:41:35,0.9865280930890248
保利地产规模增长提速价值将重估,20645,14,2017-07-13 01:43:21,0.756177328687359
王石被挤出万科了，保利去把他招来吧！你们的管,6740,20,2017-06-21 08:38:06,0.7297314143110316
短线争取2个月赚6万，保利我来了！ 预判我会每,34272,58,2017-06-22 18:30:16,0.7560704583710299
等于一天要抽走60亿的资金（以每个新股融资6.5,7658,47,2017-07-13 18:27:55,0.889347478601284
央企中的垃圾！,4768,30,2017-06-15 10:12:52,0.13777925242201194
我赌一万块，保利十天之内上13元，有接招的吗,26526,42,2017-06-27 09:38:42,0.34580403890715916
保利地产(600048)融资融券信息(07-14),9013,6,2017-07-15 07:36:29,0.7884728735409863
盈利质量改善 期待国改加速,39520,5,2017-07-14 16:11:33,0.45644402923863925
600048:保利地产关于归还临时补充流动资金的募,11581,16,2017-06-22 18:44:19,0.13381936229221314
600048:保利地产关于使用闲置募集资金临时补充,7358,18,2017-06-22 18:42:05,0.26496803985376516
保利地产市值与万科比千差万别万科在天保利在地,5675,17,2017-06-22 14:06:38,0.9078171918257658
保利集团公司委举行第二次中心组（扩大）2017.0,6557,16,2017-06-21 15:15:09,0.4058857401164926
600048:保利地产主体与相关债项2017年度跟踪评,16324,21,2017-06-20 15:25:20,0.4589876503181338
600048:保利地产2017年半年度业绩快报公告,69765,7,2017-07-11 15:38:32,0.4288125998213711
600048:保利地产第五届监事会第十二次会议决议,7096,5,2017-06-22 18:42:05,0.1688489816269455
买房抗通胀成为全民共识，保利地产将走出主升浪,5714,12,2017-07-10 15:02:11,0.8214251368621474
中长期看，保利地产看空的趋势不变,15270,34,2017-06-23 11:11:54,0.4554962774885557
《万向帝国》：600048保利地产 6月26号强势突破,24377,18,2017-06-23 21:40:18,0.6361074279835922
保利地产:2017年6月份销售情况简报,33611,5,2017-07-07 15:54:46,0.18860597654679445
乖乖保利六月销售365亿。上半年1450亿。看来今,20728,21,2017-06-30 20:48:57,0.469596453718391
11元什么时候见,7826,21,2017-07-06 15:09:00,0.10099167298218803
七月份爆发房地产危机，房价大幅暴跌,9630,12,2017-06-17 02:37:15,0.9305612946201839
600048:保利地产关于2017年累计新增借款的公告,25348,9,2017-07-06 19:05:38,0.06988510440946105
达则兼济天下，穷则独善其身。,18013,46,2017-04-18 20:26:39,0.9954522027785973
没有王石的万科注定平庸，这次万科动荡是保利超,3531,15,2017-06-21 22:17:19,0.981460119387542
不用怀疑，保利地产现价就是10年大底，已经100%,6286,18,2017-06-22 08:54:06,0.048927366841332365
又到一年一度上市公司高送转信息披露的时候,3686,15,2017-06-21 17:59:57,0.8211060296888631
保利地产(600048)融资融券信息(06-19),6279,8,2017-06-20 07:36:05,0.7884728735409863
保利地产(600048)融资融券信息(06-21),5750,5,2017-06-22 07:36:22,0.7884728735409863
最后吞噬底，买入信号。,6380,11,2017-07-04 22:17:14,0.577745674466221
本来买这货想下跌不会跌多少，没想到涨不咋地跌,14485,101,2017-06-28 18:43:44,0.08575586275517699
600048:保利地产:北京德恒律师事务所关于保利房,10274,8,2017-06-22 18:42:04,0.8868562450999606
比毒蛇还毒的保利地产。,8762,17,2017-06-15 10:10:26,0.7400496844523425
本人帖子只是盘后评论，无意论别人长短，所涉及,19374,66,2017-06-09 09:16:27,0.6938088486775053
抛压狂大，不宜持有,2427,37,2016-04-13 20:21:27,0.10386656296639729
我在坚朗吧里叫人过来买保利,2285,30,2016-04-13 10:48:18,0.9619390222034278
保利地产今晚发布一季度快报每股0.32元。同比增,15900,53,2016-04-07 00:37:09,0.4073732280869192
今日保利地产的涨幅多大取决于今晚保利地产的送,3412,18,2016-04-14 06:51:53,0.8817747248323886
明天掀地产涨停潮了！,5669,24,2016-04-13 20:33:58,0.4229040357029611
保利年底过15 绝对没问题！ 耐心持有！,6911,13,2017-07-02 00:52:29,0.3827744816236405
保利地产真丅MD庄，活的象快断气似的抽搐，死了,1920,33,2016-04-14 11:06:11,0.5324959163689212
砸，我937不给吗？,1989,36,2016-04-14 11:12:16,0.09543899921760735
看保利地产的走势分析估计送配方案在10派2.3到3,2730,21,2016-04-14 12:20:16,0.6546653179033842
保利地产(600048)融资融券信息(04-13),6295,35,2016-04-14 07:37:30,0.7884728735409863
只谈最近三个K线组合,3671,34,2016-04-13 23:02:34,0.46363208030997183
内部消息保利十送5股派5元,2635,21,2016-04-14 09:27:34,0.2587142199352994
保利4月14日晚上公布年报，业绩好！,7909,42,2016-04-13 14:53:11,0.1434543906675333
中国A股机会又来了,3455,41,2016-03-24 11:18:48,0.756342379448625
如果没有耐心持有一只股票五年，那就不要持有五,8968,11,2017-06-28 19:29:34,0.5838436306259778
没亏的去买601225,2012,16,2016-04-14 10:59:19,0.44333549911932724
富力地产回归A股之路，是否预示着保利置业也会,2643,20,2016-04-14 08:30:08,0.8738678446258425
国家又开始宽松了！利好不断！！政策牛市开启！,2252,17,2016-04-14 08:15:49,0.8769457302245024
没行情，在横盘，今在9.44附近，等时机,2043,17,2016-04-14 14:04:12,0.8364669892680097
一分钱？太凶了,2132,18,2016-04-14 13:13:57,0.0075283959184089255
600048,1589,18,2016-04-14 10:38:51,0.5
恶鬼投胎的庄今天顺势洗盘，昨天装傻,1959,20,2016-04-14 10:45:02,0.8898486565474089
三月收入增长190%，股价应涨一倍到20元！估计今,8874,28,2016-04-06 22:47:27,0.974374559368782
一大早人家就知道要降社保等了.大盘才会高开高,3316,37,2016-04-13 21:41:09,0.09022814609589402
jt今天收盘能上10.20吗,5972,15,2017-06-30 11:10:10,0.6029303488341335
保利地产(600048)融资融券信息(06-28),7419,7,2017-06-29 07:34:41,0.7884728735409863
一个点位将决定 保利地产 600048 能否站上15！,13730,6,2017-06-22 16:14:21,0.4162190170499128
随波逐流,2186,11,2017-06-28 09:44:45,0.8
庄家消息多，估计分配方案一般，庄家不肯拉升，,2531,20,2016-04-14 14:10:20,0.05791312920800329
准备买入浦东金桥这个低估的房地产,4369,55,2017-06-26 13:52:17,0.9768700918428012
震惊：楼市崩盘进行时！,5882,13,2017-06-19 12:55:31,0.13299536037063886
这点差价不够  9.8我就买了,3240,9,2017-06-27 11:12:37,0.10480260098864758
半价足矣。,2243,0,2017-06-25 20:23:54,0.19207684663257674
恶心的保利机构们，一定要让保利收在60线下,3733,65,2017-05-26 16:38:07,0.040690253878326255
三大因素 暗示600048~保利地产洗盘预谋！！,13816,3,2017-06-14 19:10:32,0.5818400284441622
股友们团结起来从今起告诉身边的亲朋好友，不买,10933,59,2017-06-15 09:55:06,0.8090799742600833
保利地产(600048)融资融券信息(06-08),8592,6,2017-06-09 07:36:18,0.7884728735409863
保利地产(600048)融资融券信息(06-15),5709,5,2017-06-16 07:43:29,0.7884728735409863
！！！保利地产 天涯地角有穷时, 只有相思无尽,17851,14,2017-05-31 15:32:41,0.35959180467206675
尔康制药磺苄西林钠工艺造假证据,2322,0,2017-04-11 10:01:07,0.5430711956827392
为了尽快销售额站上5千亿。保利今年前5月拿地52,11251,9,2017-06-09 14:44:39,0.4563481070328915
保利地产(600048)融资融券信息(06-09),7791,5,2017-06-10 07:36:03,0.7884728735409863
马上就要解禁了，赶紧走人。,4085,11,2017-06-13 09:25:23,0.38272130664078474
600048:保利地产非公开发行限售股上市流通公告,34776,12,2017-06-14 18:53:13,0.10687302631050655
保利地产：1-5月签约金额1085亿元 同比增29.72%,25451,11,2017-06-07 15:51:24,0.14157265536826236
下周深深房和万科双双复牌引爆保利直上18.5元带,15062,22,2017-06-09 13:08:57,0.6909312321589055
保利地产：近段时间停牌？有木有？停牌运作5000,8732,11,2017-05-31 12:02:52,0.9476995208134089
保利我重仓守你两年多了，从来没见你雄起过！真,9152,23,2017-06-13 14:06:19,0.18489317456059307
不拉高就想出货啊，谁接盘啊,4067,12,2017-06-19 11:05:57,0.356033965268194
保利地产(600048)解禁股信息(06-20),14565,7,2017-06-19 00:00:54,0.16514065494326313
下周解禁 保利地产近10亿定增股上市,74694,8,2017-06-18 03:03:04,0.33097768830885066
昨晚酒店一个50多男人带了个20岁女孩开房。女孩,14452,10,2017-04-29 05:23:27,0.11356402996737636
保利地产5月实现签约金额248.93亿元 同比增逾三,20188,5,2017-06-07 17:40:29,0.024073667729685666
祝贺保利地产六月股票开市红大吉大吉。,5583,11,2017-06-01 10:13:38,0.23949080966724645
菊花是哥的偶像，做大事情的人。三年内企业上5,8961,15,2017-05-17 10:38:07,0.9100133122732975
股市是为统治阶级和上市集团谋利益的。,9892,111,2017-06-09 10:36:08,0.9568631973736902
600048:保利地产关于公司首期股票期权激励计划,40554,7,2017-06-07 18:46:27,0.6705656759949736
感谢管理层此时刻意安排恒大借壳上市直上35以上,5200,21,2017-05-01 16:16:47,0.7280004605162822
入摩前后券商翻倍?MSCI将于6月20日公布是否纳入,13395,16,2017-05-23 12:11:43,0.048946470957692556
铁路基建将是未来中国经济的支柱！随着国家加大,4420,7,2017-06-05 07:54:44,0.969612385229301
保利地产(600048)大宗交易数据一览(06-05),28543,6,2017-06-05 18:28:28,0.22596319962749012
600048:保利地产2016年年度权益分派实施公告,86953,11,2017-06-04 14:09:51,0.5700478561712923
600048:保利地产关于本公司获得房地产项目的公,23813,6,2017-06-07 15:44:03,0.851686402951587
600048:保利地产2017年5月份销售情况简报,26617,11,2017-06-07 15:42:25,0.21751278685595365
保利属于投资股不属于投机股，多元化战略，养老,18050,65,2017-05-22 09:00:26,0.9966129512914634
用数字和事实说话：一只仍趴在地下室消耗散户的,8395,26,2017-05-07 18:50:43,0.33649963563231966
分红求教。如我原先有10000股，已经购入三年，,12048,12,2017-06-04 22:48:40,0.8414147006644136
保利地产，不在沉默中爆发，就在沉默中消亡！,16912,50,2017-06-01 17:53:50,0.9991701020309947
保利地产这样洗玩法不是又要冲击涨停了吗？,25937,111,2017-05-24 23:19:17,0.16340304295028152
保利地产(600048)融资融券信息(06-01),5764,4,2017-06-02 07:40:32,0.7884728735409863
恒大今天又大涨15个点！,9162,20,2017-05-29 10:41:00,0.7398638517101468
仔细研究季报，发现保利的价值密码,6212,34,2017-04-30 11:07:46,0.969578187931094
2000亿之后保利地产价值重估：城市群战略与地产,25712,10,2017-04-19 07:00:40,0.869864798721054
证监会：请依法常态化监管！查处操纵股价的不法,31877,38,2016-08-17 11:39:33,0.9548178220331341
全年销售破两千亿，营收YOY 25.5%，净利润YOY 0,26390,5,2017-01-18 00:00:00,0.0006871365905044557
不怕不识货又怕货比货，保利地产奋起追万科。,10194,21,2017-05-25 10:36:17,0.027589134862770925
我预测一下，持股今天收盘价9.35，折腾一天就涨,4410,11,2017-05-24 14:16:17,0.42288636430708015
保利地产你既是上证50又是质优蓝筹地产龙头基本,7052,13,2017-05-24 10:13:22,0.9304420411974283
保利合理估值：18.88元！,5398,14,2017-05-01 22:23:51,0.6300961119543371
上面刻意安排下月初恒大借壳深深房上市。其目的,6373,9,2017-04-28 21:42:59,0.9379458449343957
房地产板块最窝囊的股就是保利，一直没有突破。,7541,15,2017-04-28 17:59:37,0.9181882357193383
保利地产是粤港澳大湾区概念吗？,6217,13,2017-05-03 23:06:03,0.8872188578556428
保利PK光明地产,11918,26,2017-04-23 22:27:36,0.7323685734859412
12月目标价格20元-22元,21354,24,2016-12-01 17:48:40,0.14392378207608703
对比招商蛇口与保利地产，扭曲了的A股估值。,9114,18,2017-04-29 18:43:00,0.4372245341748717
保利地产(600048)融资融券信息(05-05),2953,7,2017-05-06 07:37:37,0.7884728735409863
最近股市震荡厉害，都来保利大蓝筹避避险吧,3908,9,2017-05-08 14:54:00,0.9892532051265326
保利地产，什么时候会是底？该涨了吧？散户都给,43464,62,2016-12-27 17:31:41,0.9281587998652109
