标题,阅读,评论,字数,影响力,时间
这次的880亿团风县的PPP项目只要中标了  它们是,16782,17,238,3.5,2017-09-14 14:02:27
华夏幸福新模式和战略性投资花蕾含苞欲放,40936,69,616,3.5,2017-08-29 21:02:05
600340:华夏幸福2017年第十一次临时股东大会会,29353,9,1773,0.0,2017-09-14 16:48:40
靓票：华夏幸福 西水股份 华资实业 佳讯飞鸿 中,18613,32,165,4.0,2017-06-14 09:21:16
中报每股收益不低于2.22元！,15810,10,1768,0.0,2017-07-18 19:46:12
华夏幸福下半年利好不断,31697,19,442,0.0,2017-07-30 09:33:28
揭穿价值投资的鬼话，如果真要价值投资，招商银,50915,61,637,3.0,2017-07-02 16:03:35
600340:华夏幸福关于下属公司九通投资、长葛鼎,27598,6,1767,0.0,2017-09-12 18:41:33
真不知道你们怎么想的，放眼两市还有几个千亿市,2915,19,409,3.5,2017-09-11 15:01:33
我又回来了华夏幸福是我的长期根据地,11091,13,207,3.5,2017-09-06 09:46:33
自选股展望之四：华夏幸福的发展空间实难估量,7241,7,329,3.0,2017-09-08 12:48:13
不猜测，等待公告，这个大单要是有，那么华夏未,13286,14,482,3.5,2017-09-12 17:25:58
600340:华夏幸福关于控股股东进行股份质押的公,1665,16,1039,0.0,2017-09-11 16:07:18
600340:华夏幸福关于下属公司取得土地使用权的,1468,34,1272,0.0,2017-09-08 16:22:18
想买房，到华夏的大本营--固安,6788,9,527,0.0,2017-07-14 10:35:43
华夏前景分析,11407,10,749,0.0,2017-07-18 15:11:14
华夏中报每股收益不低于2.22元,42550,32,1769,0.0,2017-07-18 19:47:42
华夏市盈率只有8--9倍？,27349,16,996,0.0,2017-07-17 12:27:23
华夏就要迎来幸福了,11485,14,1002,0.0,2017-07-26 15:22:34
华夏前进的号角已经吹响！,24896,20,1237,0.0,2017-08-30 10:38:28
华夏幸福股份变动没有公告？,17622,25,223,0.0,2017-09-01 22:21:55
雄安概念真正龙头股华夏幸福100元并不高估 雄安,713,12,1992,2.0,2017-09-11 14:53:01
不持有华夏幸福就别炒股了！ 华夏幸福7月园区结,7680,10,2623,4.0,2017-08-22 09:58:13
雄安概念真正龙头股华夏幸福100元并不高估,44347,59,2011,3.0,2017-04-22 11:16:23
此股是雄安龙头股目标100元,3440,13,138,3.5,2017-09-07 19:40:36
持有华夏的不需要担心，也无需唱高，目前来看就,432,11,205,0.0,2017-09-11 09:20:22
中国‘雄安新区’建设的龙头公司,2899,9,439,3.5,2017-09-09 19:04:23
华夏幸福：股东户数从5万暴增至14.7万，被套户,7478,14,250,4.0,2017-09-04 09:15:27
华夏就是洗盘。还在的别泄气,6891,11,193,0.0,2017-08-31 14:42:27
看我口型华夏雄起，今天的公告加下个星期可能还,1799,9,193,3.5,2017-09-08 20:19:39
600340:华夏幸福关于下属公司取得土地使用权的,453,8,1272,0.0,2017-09-08 16:22:18
600340:华夏幸福关于设立下属企业的公告,1220,11,1477,0.0,2017-09-08 16:21:08
地产领涨大牛市此股会快速翻倍,7091,11,128,4.0,2017-09-07 10:43:59
河钢股价远远赶不上后市业绩增长。,5073,12,142,0.0,2017-09-02 19:08:00
黑庄快扛不住了，加仓！,7600,28,149,1.5,2017-09-05 09:52:54
华夏幸福业绩“蜕变”：产业发展服务收入首过半,34952,9,2522,0.0,2017-08-22 06:10:04
华夏幸福：三家下属公司分别获约15亿元增资,49198,50,321,0.0,2017-09-05 16:49:27
做T成功的举手！,7740,25,126,2.5,2017-09-06 10:44:47
三季报利润会达到63-66亿左右，EPS，2.15-2.25,25914,9,387,3.5,2017-09-01 20:12:04
600340:华夏幸福关于拟签订南京经济技术开发区,77662,29,1896,0.0,2017-08-04 16:39:58
‘’董明珠再度大手笔增持珠海银隆：变身第二大,9268,21,1327,2.5,2017-04-06 21:44:05
你下降，我加仓，大家别学我,11692,12,128,0.0,2017-09-01 19:12:53
600340:华夏幸福2017年半年度报告,100047,68,2054,0.0,2017-08-17 16:55:16
华夏幸福(600340)大宗交易数据一览(08-30),44594,14,477,0.0,2017-08-30 18:26:03
接下来2天大跌大买，跳进黄金坑,9296,26,134,3.5,2017-08-23 16:50:20
静候变盘，潜伏第二波！,12664,20,132,3.5,2017-08-17 11:40:30
