标题,帖子数,日期,情感
无耻没有底线，拉吧，拉倒你麻痹里去吧,3462,9,2017-07-24 17:57:32,0.25735826091326175
看多就害人;估值水平已经升至历史高位,3114,7,2017-07-30 18:32:25,0.9095424959631034
凡人：俺收到料乐山电力的庄联合数庄要砸盘，赶,7337,22,2017-06-23 14:07:04,0.9035388204008615
一笔损失6000亿美元，呜呼工商银行,4831,7,2017-08-03 13:14:02,0.09752199374531467
工行员工贪污银监局工资被抓 5年贪污300多万获,15196,10,2017-08-05 20:13:46,0.17776600388082398
工商银行(601398)融资融券信息(10-11),6242,7,2016-10-12 07:42:26,0.30591935459087405
工商银行(601398)融资融券信息(08-07),5096,5,2017-08-08 07:45:53,0.30591935459087405
工商银行(601398)融资融券信息(10-12),4804,5,2016-10-13 09:20:09,0.30591935459087405
买工商银行就是买国运,7436,12,2017-03-13 10:22:06,0.061745363090909944
工行现金分红完毕 豪掷逾830亿元真金白银回报股,12075,3,2017-08-04 03:11:57,0.13799958836318393
呵呵 瞎子也狂笑 业绩翻倍 季报再增长300%翻倍,13236,35,2017-05-07 18:49:56,0.889187827323133
牛市归来,看好券商石化钢铁核电股!,2827,5,2017-07-26 09:04:11,0.890142453148024
发改委谈重污染行业产业发展与环保监管：对于重,2915,7,2017-08-04 09:28:43,0.6611659757753775
今天市场出现了疲态,5356,16,2017-08-03 10:27:36,0.6755293728532236
中美罕见的房子与股票剪刀差——,12600,10,2016-10-09 02:49:44,0.9906445066799328
有直销经营的好当家，只卖4.07元的价格[赚大了],29473,92,2016-07-29 21:50:56,0.3856279485052708
为什么工行涨了，大多数人却在骂？,8745,14,2017-06-02 10:40:51,0.8899381635846539
狂笑狂笑 咯咯咯！抢盘了，抢盘了，黄金砸头！,10132,27,2017-04-25 10:18:29,0.6384458821475687
咯咯咯，业绩去年翻倍股0.99，今再翻倍超2元，,11435,25,2017-04-28 09:27:48,0.19397436434068438
热烈  庆祝数千亿养老金入市买股增值，大型券商,6060,15,2017-07-28 13:26:00,0.21644451768930628
券商喊你求拥抱？券商救市所持中字头股票5000亿,11181,20,2016-12-01 12:33:15,0.9932972580397369
小建议,12622,55,2017-07-17 14:10:33,0.36974528516106786
工商银行值7元以上！,6444,3,2017-08-02 13:26:44,0.04891754571660445
依然看好 银行 工商银行 高速 现代投资  能源 ,1961,2,2017-07-17 11:05:31,0.023373894443641685
工商银行幕后金主出彩！603000人民网逆势涨停,4332,12,2017-05-11 11:15:44,0.9178895532310861
最能套住人的几句话: 1、目前价位接近主力成本,28587,35,2017-02-02 15:47:27,0.6896960605352923
《大腕》工商银行版,16758,34,2017-01-10 10:31:40,0.09957870165379024
价高出不如全转买*惊天一路一带龙头600307酒钢,15414,50,2017-06-04 18:14:32,0.92531908040984
什么价值，是的，无耻不要脸的骗人，O七年十年,10678,5,2017-07-14 12:48:50,0.012601496725587413
工商银行现大宗交易 遭机构卖出近3亿元,39105,21,2017-07-26 18:26:01,0.013581371219230198
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,18022,42,2017-03-01 10:23:39,0.9996580281845514
早盘点评,2466,2,2017-07-27 09:51:11,0.3050840509229512
银行股持续走强 工商银行涨逾2%,14420,4,2017-07-26 10:11:21,0.004202522685533228
工行、建行可能复制中国中铁走势！,26258,36,2017-05-26 16:44:30,0.9680286093011331
“谢百三说不买四大行”的观点是错误的,10481,9,2016-11-11 19:04:33,0.12603010611904109
6124套牢者即将解放 换岗后 新的站岗者是否站岗,3495,11,2017-07-26 09:36:09,0.9843990084283157
四大行未来怎么下台,8564,10,2017-07-25 10:41:30,0.8182729030234641
工商银行(601398)大宗交易数据一览(07-24),15481,10,2017-07-24 18:27:41,0.03336676948437822
601398:工商银行A股2016年度分红派息实施公告,114416,13,2017-07-03 18:22:05,0.053464040708690375
现在50泡沫大吗，茅台泡沫太大呀，工商银行呢[,5912,10,2017-07-13 00:05:14,0.022882586306691932
超级短线如何玩才能赚到钱？     所谓超级短线,22890,26,2017-01-29 16:51:48,0.4251982713748341
价值投资说白了就是扯蛋。有价值同样跌成死狗一,4927,13,2017-07-16 12:24:54,0.8606332514092027
XD工商银 盘中两主出现异状，顶住压力，伺机而,9765,28,2017-07-11 20:46:43,0.08246861824272067
工商银行一定能走强！,19279,33,2017-06-15 21:21:24,0.20092785443424754
揭穿价值投资的鬼话，为何A股这么贵，分析师却,10102,20,2017-06-27 22:23:05,0.9531049242342238
见好就收了，哼哼哈嘿,5787,11,2017-07-17 22:57:07,0.19659077543174885
出生正在制造股灾5.0，请问哪个国家这么胡闹？,7440,16,2017-05-24 11:04:40,0.30859411921422464
银行股是来拉大盘的？别开玩笑了，告诉你银行股,31470,20,2017-07-17 11:05:17,0.009672944762287528
业绩爆增而涨幅小的600688正是出了银行股的中新,4436,10,2017-05-03 14:29:53,0.7020758892870407
谁知道工行什么时候分红呀[微笑],5809,12,2017-06-28 22:09:10,0.8710409922889277
[兴奋]漂亮50中国股市的心脏；沪深300中国股市,3283,4,2017-07-15 14:41:58,0.9999974141551875
基金抱团炒个股是中国式庞氏骗局，隐患危害大39,26719,34,2016-07-21 14:52:02,0.8932491686515202
工商银行,13753,16,2016-11-22 18:29:08,0.09621215401199212
庄家砸出 黄金坑！跟庄买广发证券！即将暴发…,6386,12,2016-08-12 10:57:16,0.03860699658258082
不是一般的不要脸啊！,4053,6,2017-06-30 09:47:51,0.2341392142280958
国土空间立体开发第一示范区怎么做？ 雄安新区,2752,3,2017-06-27 10:11:44,0.983313738842031
今日关注无线充电龙头欣旺达,3352,15,2017-06-20 10:45:18,0.7786766092991737
鼓吹价值投资是忽悠人的人就是一种忽悠行为,8263,8,2017-07-02 22:06:50,0.007612463534600766
特别通告：601958 金钼股份正创历史新低，青菜,5373,11,2017-05-24 13:52:15,0.997635911159177
老外的银行股15PE我们的6倍PE简直TMD瞎扯淡,4541,4,2017-06-29 14:07:47,0.00013336908104411016
银行股解套秘笈完整版——抓住银行ETF发行黄金,12469,31,2017-06-05 10:37:34,0.8212290519472787
心情不错 股吧有个傻子号称1年19倍,3206,0,2017-07-08 08:32:15,0.057232794020290245
正经比划,305217,4332,2015-09-19 14:55:48,0.8190006897532237
工商银行携手东方财富开启资产托管业务全面合作,17605,2,2017-07-04 13:46:03,0.3709139124294314
散户为何不买高位蓝筹?,7042,10,2017-06-23 13:54:02,0.908466867442902
从股价角度谈估值：低价股高市盈率,8100,10,2017-06-04 13:47:34,0.4813698644639238
券商加速整合重组战略是当前资本市场稳定前提，,6606,11,2017-03-16 11:51:11,0.9955225049559487
不要在拉工商银行了，会死人的,8207,9,2017-06-30 09:42:05,0.03747603487065987
工行业绩这么好能跌到哪去。茅台一年赚的还不如,5088,18,2017-06-08 14:52:05,0.4896641220209973
伪价值投资，找不到接盘的，天天媒体轰炸，佩服,7287,53,2017-06-05 11:27:21,0.6199911815822484
2017年:高手的盛宴： 理性投资贯穿一年的主基调,16624,25,2017-01-03 10:50:10,0.9997729923431075
工行有些基层员工工资和保洁员差不多，凭啥长？,7340,6,2017-06-15 18:11:03,0.6519034438793831
要连续暴跌了,6084,6,2017-06-15 13:16:40,0.8844271006979019
厦门银监局开九罚单：工行因个人房贷收入证明单,9244,8,2017-06-06 15:31:36,0.9710630056832777
工商银行(601398)融资融券信息(05-31),5988,4,2017-06-01 07:48:03,0.30591935459087405
5元以下又拣回来,4021,2,2017-06-15 10:41:42,0.07237900879900805
不知不觉工商银行填权啦！,54841,455,2016-08-10 17:37:08,0.43711734081054066
看来汇金又可以减持了！套你八年！,6745,11,2017-05-25 23:10:21,0.6876317972036873
工商银行，事实上你已经破产了，假装什么基友股,15185,40,2017-06-02 13:13:52,0.00129740369357767
你就拉，会查你的，扰乱股票市场,5780,71,2017-06-07 10:12:21,0.6030569765240392
石化机械涨停的，这样的一个节奏总是很奇怪,3078,19,2017-05-31 17:42:16,0.02637058340054743
不要听什么漂亮50之谣，美国没有大盘股漂亮50,5887,13,2017-06-05 11:49:37,0.9731857737349069
工商银行即将蹦盘！,7361,9,2017-06-02 09:52:12,0.27719079926346724
证监会：请依法常态化监管！查处庄操纵股价的不,28646,42,2016-08-17 10:05:56,0.982370558417218
新股减少,没必要配市值了! 50指数股都散了吧!,3142,17,2017-06-03 16:36:35,0.38856830896371974
6000点时，工行股价没记错的话，约6元,6225,26,2017-05-26 10:11:38,0.34657895067680256
看来股票供不应求啊！看来明天可以发20只新股了,2871,24,2017-05-25 23:00:22,0.14284699125497757
有人在出货了！,1319,23,2017-05-25 14:37:27,0.4058033786398979
[满仓抄底]截止2017-03-31上海银行601229十大流,7644,10,2017-04-30 10:20:56,0.17219399510076017
5.34成功抄底二万股[胜利][胜利][胜利][大笑][,13393,11,2017-06-05 15:11:30,0.7373679973902527
工行市值干掉富国银行 重夺宇宙市值第一大行差,119889,101,2017-05-30 23:11:06,0.6953245550834173
指数跌跌不休 为什么工行可以“跌”出新高？,48887,343,2017-05-10 17:21:39,0.2033494396797929
工商银行(601398)融资融券信息(06-01),7087,5,2017-06-02 07:51:18,0.30591935459087405
买好股票别忘了放把盐,36362,41,2016-04-02 00:10:55,0.6679076252037647
工商银行(601398)融资融券信息(05-24),5811,6,2017-05-25 08:27:24,0.30591935459087405
看某些人总说工行护盘，太愚蠢了！,14039,24,2017-05-22 20:40:59,0.3912395780038873
工商银行 格力电器，贵州茅台 美的集团  福耀玻,5133,5,2017-05-12 05:20:45,0.26400333318097857
工行3.90元股价低于帐面净资产4.92元,20%的年收,113305,102,2016-02-29 15:07:01,0.1418994586321336
[图片],4322,14,2017-05-22 20:23:33,0.5826086956521737
历史总结：2015年中国股市粗暴去杠杆，中国是唯,11160,27,2017-05-14 20:00:42,0.9983510137925367
爽歪歪啊爽歪歪！,11638,16,2017-05-12 10:19:51,0.33928534436714575
淡马锡：减持工商银行是投资组合再平衡操作的一,15390,5,2017-05-19 21:20:50,0.5986674199111132
与财政部合伙开银行,年收益19.5%左右,92329,108,2016-02-22 10:27:38,0.16495552560443028
1注意到600256广汇能源有庄，我们到其他吧吸引,21709,42,2016-01-28 14:18:12,0.06362902141051308
淡马锡减持工商银行6亿股 每股5.023元,22621,15,2017-05-19 18:20:33,0.021921906854021955
吃进五万股，持股,4536,11,2017-05-17 14:01:14,0.06152832200781588
工行：全力支持雄安新区建设 尽快组建雄安新区,11719,11,2017-04-11 15:25:24,0.9738849104816281
工行每股净资产：5.46元！工行股价若涨到5.46元,15026,12,2017-05-11 13:01:16,0.7813282757967732
明天大盘深v 走势,11139,15,2017-05-10 16:07:16,0.4605577569385312
