标题,帖子数,回帖数,时间,情感
中国崛起，大盘底部，永远是好股票买入机会：）,104911,280,2017-05-24 13:59:24,0.9978345109256873
中车比垃圾股还差，无升幅无波幅，连续阴跌4天,28353,72,2017-07-26 20:43:40,0.0017699662002763628
凡是垄断经营的行业，就是值钱！,5986,43,2017-06-30 22:07:09,0.5679506439899338
17年上半年做了国航和中铝，下半年坚定不移看好,151742,243,2017-07-29 08:23:25,0.9947778290133038
中车--全球顶级抗癌药，中国拥有自主研发产权,10144,14,2017-06-24 12:36:20,0.9997878165850281
总理的中车 国家的名片 起飞吧,51057,89,2017-01-10 02:46:17,0.5463727330487278
》》》买买买（献给有缘人！中国中车是GJD重仓,15402,19,2017-08-28 08:07:04,0.9299591817582655
老萨进中车,166516,178,2017-02-11 05:59:29,0.3024796925096507
散户必看炒股格言和现金策略！ 孙子云：先立于,51273,98,2017-04-22 08:24:29,0.08329665475196413
中国中车中标巴西城轨车辆供货合同,56749,50,2017-09-02 15:12:39,0.7307780998768133
大笑大笑 咯咯咯咯，晨鸣三年利润之和超现公司,18605,53,2017-06-27 10:11:50,0.9949797111528718
2015年30多的时候各种各样的研报利好，一个个充,13672,18,2017-08-28 00:15:12,0.5791178459694085
中国中车今年翻倍是肯定的，不要倒在黎明前,18260,9,2017-08-30 09:12:36,0.7689430863720574
空调我们选择格力，手机我们选择华为,10767,19,2017-07-09 14:08:10,0.5030444651405629
“一带一路”主题催化，百亿海外订单签署,47136,19,2017-04-17 13:15:14,0.810537175017836
国际高端制造的中国名片，2017年PPP “一带一路,29052,29,2017-03-23 14:19:25,0.9023355220351286
合并完成，招标后将稳定增长,6443,54,2015-09-01 13:23:26,0.90108768004091
中国中车(601766)融资融券信息(09-01),5283,12,2017-09-02 07:58:32,0.911794487144466
高位急拉升是大跌前诱多！出货是一价格区域并不,10144,25,2015-11-18 11:43:31,0.3716835789043048
宁波港祝贺中国中车,14321,41,2017-06-09 10:48:21,0.43153807315047954
中国中车中报营收净利润双降：经营形势“异常艰,356977,444,2017-08-27 05:49:52,0.9426704355975198
铁路投资规模维持高位，公司下半年业绩有望回暖,24455,6,2017-08-30 11:04:18,0.9947881940489188
核心内参: 地产称霸南京，医美雄冠亚洲,4693,7,2017-08-12 14:14:16,0.9315669100106516
大和：降中国中车评级至“持有” 目标价下调至7,21957,15,2017-08-29 17:02:04,0.4531219817079033
今天留一帖，本周五验证，本人预测国家队2季度,17927,28,2017-08-21 15:34:08,0.6123520833042545
动车组业务复苏明确，业绩拐点已至,26316,10,2017-08-29 14:26:06,0.8728873734800378
明天暴涨。。。。。。,8966,14,2017-08-28 19:28:56,0.25052595876306116
