标题,帖子数,回帖数,时间,情感
众人拾柴火焰高 弟兄们对目前形势下的大秦要做,10419,22,2017-07-05 15:49:26,0.9979441734706463
使命的召唤：华夏之矛 —《大秦帝国》,10131,21,2017-07-14 12:26:37,0.9389436758843533
如果明知大秦铁路大跌，但你还买 那十足证明你,10303,22,2017-06-13 12:49:42,0.5749484433550333
金甲圣衣重彼肩，大秦十年磨一剑，中国绩优龙抬,24587,91,2017-05-11 18:41:10,0.02977274627159343
龙潜深渊刘皇叔隐伏新野 — 大秦铁路 ，俺看行,7819,20,2017-06-13 12:44:21,0.9999495624897892
三论“战略上藐视敌人，战术上重视敌人”之古为,9653,23,2017-07-10 15:58:55,0.9963980338382729
《出师表》－中华大秦,8077,18,2017-07-19 13:37:37,0.17925756330105136
大秦一响，黄金万两，铁路一滚，钞票一捆！,5607,15,2017-07-05 14:43:11,0.07907439794648274
放眼未来，现今15元以下的大秦铁路，都是可以不,30798,36,2017-05-15 16:35:36,0.9848527712594985
主力加油！不能下跌，否则就跌破5天线了！,13448,44,2017-07-18 10:04:48,0.06381161224462639
外媒：大秦铁路两市独一无二，年年都是拿出50%,22875,18,2017-08-02 07:24:52,0.24496826746029143
大秦铁路要大忙了,中国停止进口朝鲜物资.,8459,13,2017-08-14 23:01:38,0.7085923308003625
大秦铁路上半年业绩同比预增90% 或因煤炭需求回,22048,7,2017-07-06 16:46:18,0.35310283472420867
港股与A股五大方面存差异,11618,15,2017-05-23 15:15:30,0.35810728504362954
601006:大秦铁路2017年7月大秦线生产经营数据简,47554,27,2017-08-09 16:04:50,0.40915591715855393
再次对大秦的老朋友做点表示,24892,54,2017-08-01 21:18:54,0.780316865814283
睡了一觉,少了一毛啊,我就是傻啊,5980,11,2016-10-24 15:03:23,0.35992209488079485
上证没跌，漂亮50没跌，铁路没跌，就你绩优股大,10415,15,2017-07-25 13:31:26,0.7956649450008572
黑哥发力：下午收盘6.4元见！,9434,18,2016-10-20 09:54:54,0.5609659106958649
维持满载运营预期 进口煤减少添新增量,31921,10,2017-07-10 12:25:22,0.3290860806257404
十九大前，出台铁路混改方案！,10985,10,2017-07-21 15:23:10,0.1117490389023098
百年铁运。哪里有抛弃的理由呢？,8551,11,2017-08-07 12:18:08,0.7067409325200988
不跑，反正也不是第一次坐电梯了。,6201,8,2017-07-17 14:35:44,0.06667899836130387
业绩这么好的股票比不上业绩差一大截的铁龙物流,7404,8,2017-08-07 11:17:05,0.667978509915385
还有那些人在？从16年到现在的兄弟还有那些人在,5025,18,2017-08-07 10:52:49,0.23267076471760906
早上6.76买的，7.03卖的，漂亮的t+0,净赚两万块,8923,12,2016-10-24 13:44:08,0.6599225182445186
哈哈哈咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣,15947,29,2017-04-11 15:33:23,0.9989421696668829
狂笑咯咯咯，业绩去年翻倍股0.99，今再翻倍超2,19805,29,2017-04-28 10:32:33,0.2919758660017877
大秦铁路(601006)融资融券信息(08-03),4386,1,2017-08-04 07:43:02,0.7884728735409863
周五沪港通,港资净买入大秦铁路8314.4万元,13969,14,2017-07-29 02:29:45,0.5068178411775941
破位价8.56元（后除权价）,79482,140,2017-05-10 15:28:09,0.8418906524929198
大秦铁路各年分红,52602,79,2017-03-11 17:34:53,0.42187459753097767
蓝筹股在未放量之前积极锁仓，坐享傻子来抬轿。,4200,5,2017-07-14 06:57:16,0.08923159445459272
上海国企改革即将成为大盘的领涨龙头 市北高新6,6032,28,2017-07-24 15:56:46,0.7070500111295003
