标题,帖子数,回帖数,时间,情感
中国石油完成发行20亿元公司债券票面利率4.30%,6723,5,2017-08-21 17:32:12,0.06216725477173679
中国石油川庆钻探高性能水基钻井液首试成功,16529,5,2017-08-21 13:29:38,0.9365259586009916
中石油大连石化公司燃料泵着火 无人员伤亡,19130,24,2017-08-17 21:48:37,0.02349386604249637
中国石油一季度净利56.99亿元 遭证金公司减持,18630,15,2017-04-28 09:51:59,0.2654483790091341
中国石油(601857)融资融券信息(08-18),6235,32,2017-08-19 08:38:56,0.5962429800784687
中国石油(601857)融资融券信息(08-10),4733,3,2017-08-11 07:49:44,0.5962429800784687
核心内参: 地产称霸南京，医美雄冠亚洲,4078,11,2017-08-12 16:10:45,0.9315669100106516
施罗德投资减持中石化1528万股 每股5.864元,15862,7,2017-08-17 19:59:21,0.300253842854743
中国石油(601857)融资融券信息(08-16),2686,10,2017-08-17 07:46:25,0.5962429800784687
以后到处发这个！有补充的吗？ 一个超跌的MSCI,10030,35,2017-08-11 23:00:01,0.08473118918500344
中石油集团11月底前将全面完成公司制改制,25647,9,2017-08-15 03:21:50,0.04371177506942958
中石油召开公司制改制工作视频会 11月底前完成,22418,3,2017-08-14 09:42:53,0.12101882153471721
“MSCI222”行情上演 融资客首重“性价比” ,8841,99,2017-07-26 14:35:04,0.997925543354872
中石油只能跌不能涨吗？什么逻辑？,10861,89,2017-07-26 11:11:46,0.04320675606449176
上半年业绩同比大幅增长,27261,14,2017-07-27 17:23:00,0.7028326957238802
业绩真的是,9572,93,2017-07-26 17:15:04,0.8093156925875876
中国石油(601857)融资融券信息(08-11),5181,8,2017-08-12 07:49:18,0.5962429800784687
中国石油(601857)融资融券信息(08-07),4763,4,2017-08-08 07:46:08,0.5962429800784687
社保加仓: 怎么跌的就会怎么涨上去（荐股）,7444,12,2017-07-27 08:47:10,0.33216934332789494
难道是偶然吗-除A股外几乎所有市场都在年内获得,11780,202,2017-01-01 21:36:45,0.41074722417552767
