标题,帖子数,日期,情感
[牛赚大了]女士们先生们朋友们！战胜内心的恐惧,4931,2017-07-23,0.9935378908333002
四大机构集体减持贵州茅台！国家队资金二季度去,420516,2017-07-30,0.957556139104578
贵州茅台(600519)融资融券信息(08-25),4366,2017-08-26,0.6910257465555865
贵州茅台限价的逻辑,17592,2017-08-25,0.4201876450904882
一年内，茅台跌破300元，概率极大。,4939,2017-08-05,0.015754122265009607
博奕•聋中对 伦市：我们有帝亚吉欧（Diageo）,12831,2017-05-23,0.03893646839286591
坚决定投买在史诗级大水牛的初期！2017年撸起袖,14041,2017-05-29,0.37631362192134377
贵州公务活动全面禁酒,23727,2017-08-21,0.6902373508716971
600519:贵州茅台2017年半年度报告,85857,2017-07-27,0.32506994357024144
贵州茅台涨了三年多~市盈率27倍~今世缘市盈率15,8985,2017-08-23,0.040453091892901694
茅台集团总经理：要大胆治理倒酒的“黄牛党”,20394,2017-08-22,0.3590148127578082
进场: “双重改革”受益股,社保养老金标的股,3870,2017-07-31,0.9893200488469195
茅台在构筑历史大顶！,5760,2017-07-03,0.8341831219808137
放弃更低估的蓝筹股却在高位死抱估值已高之茅台,6351,2017-06-12,0.9781032236412965
疯狂的茅台：股票贵但能买到 又贵又买不到的是,269833,2017-08-20,0.1845485911457152
贵州茅台(600519)大宗交易数据一览(08-24),16600,2017-08-24,0.14904983040982756
茅台酒“囤积”盛况一瓶难求 茅台公司临“大考,220395,2017-08-20,0.608466496146924
但宾的错误！（有理有据的对茅台的分析）,237180,2017-06-10,0.722398058786823
茅台刚飞天 又遇“反腐风暴”！四年前的大调整,304155,2017-08-18,0.7967388877296941
贵州茅台(600519)融资融券信息(08-23),3980,2017-08-24,0.6910257465555865
董宝珍：茅台酒价大涨藏高风险 最后管控时机不,18887,2017-08-22,0.547439644822763
最严禁酒令出台 茅台故乡贵州酒类消费结构知多,20724,2017-08-23,0.0563133461213815
预计明日开始60分钟破位，进入空头掌控。,3323,2017-08-22,0.04101273159212904
当所有人都叫好的时候，悄悄的走，轻轻松松的离,13989,2017-07-24,0.9732138574568797
我认识一个高手持有45万股贵州茅台！,9391,2017-06-30,0.1471443594337074
告茅台投资书，茅台酒受资金囤积居奇是一个过度,8327,2017-08-20,0.9424427891345044
500元/股！茅台今天创造A股历史 而这似乎并不是,16667,2017-08-15,0.2347846459685593
500元！茅台股价再度突破天际！买不起“股王” ,38548,2017-08-15,0.781489797272599
贵州茅台(600519)大宗交易数据一览(07-27),17430,2017-07-27,0.14904983040982756
茅台将死，万科重生！！[傲][傲][傲][傲][傲],17761,2017-05-28,0.9966830833092024
我们要走了。我们不想要最后一个铜板。漂亮五0,19168,2017-07-20,0.16301403303931217
茅台再罚54家经销商：称供不应求成常态 要大胆,17693,2017-08-22,0.2950753155461089
茅台酒首现批价回落 已有“炒家”开始出货,22950,2017-08-22,0.049587990037170626
贵州茅台集团总经理：要大胆治理倒酒的“黄牛党,10907,2017-08-22,0.23227744182355425
贵州茅台(600519)大宗交易数据一览(08-22),16855,2017-08-22,0.14904983040982756
茅台酒为啥又贵又买不到,15135,2017-08-22,0.002200124821262306
茅台筹建金控 千亿目标金融占两成,13337,2017-08-22,0.9853315823748765
最贵A股贵州茅台“过招”上市银行：派息率逾40%,37993,2017-08-22,0.021034787628586682
修复洞琅急需大量茅台？快买600519,2396,2017-08-15,0.7221946450111516
茅台集团总经理：坚定不移铁腕稳价 不让老百姓,182967,2017-08-14,0.9665838650947766
茅台集团与贵州日报报业集团战略合作 提升品牌,16971,2017-08-21,0.8739804246841569
禁酒令多地重现！快跑！,3574,2017-08-21,0.7941271650033904
茅台酒有农药 乐果的 味道 喝了就怕,5241,2017-08-01,0.21627849394433762
人民币不知不觉升值一个月，，，洼地，，地板价,12365,2017-08-13,0.9376565188903824
人民币连续升值一个月，人民币有加速升值，，美,12273,2017-08-13,0.9770292711271078
限价、督察都没用 茅台越来越贵有钱还买不到！,12872,2017-08-16,0.08474763071886748
贵州茅台(600519)大宗交易数据一览(08-15),20933,2017-08-15,0.14904983040982756
腐败不扒倒～茅台就猖狂,12584,2017-07-28,0.8949516670040113
贵州茅台(600519)融资融券信息(06-01),5175,2017-06-02,0.6910257465555865
贵州茅台(600519)大宗交易数据一览(06-02),31393,2017-06-02,0.14904983040982756
贵州茅台(600519)融资融券信息(06-02),7451,2017-06-03,0.6910257465555865
贵州茅台(600519)大宗交易数据一览(06-06),23541,2017-06-06,0.14904983040982756
贵州茅台(600519)大宗交易数据一览(06-08),21431,2017-06-08,0.14904983040982756
贵州茅台(600519)融资融券信息(06-08),5088,2017-06-09,0.6910257465555865
贵州茅台(600519)大宗交易数据一览(06-13),25625,2017-06-13,0.14904983040982756
贵州茅台(600519)融资融券信息(06-09),7353,2017-06-10,0.6910257465555865
贵州茅台(600519)大宗交易数据一览(06-14),16354,2017-06-14,0.14904983040982756
贵州茅台(600519)融资融券信息(07-07),6647,2017-07-08,0.6910257465555865
贵州茅台(600519)融资融券信息(07-04),5741,2017-07-05,0.6910257465555865
贵州茅台(600519)大宗交易数据一览(07-17),16695,2017-07-17,0.14904983040982756
贵州茅台(600519)融资融券信息(07-24),2822,2017-07-25,0.6910257465555865
贵州茅台(600519)融资融券信息(07-25),3575,2017-07-26,0.6910257465555865
贵州茅台(600519)大宗交易数据一览(07-31),19309,2017-07-31,0.14904983040982756
贵州茅台(600519)融资融券信息(08-09),3541,2017-08-10,0.6910257465555865
贵州茅台(600519)融资融券信息(08-10),2321,2017-08-11,0.6910257465555865
贵州茅台(600519)融资融券信息(08-16),3771,2017-08-17,0.6910257465555865
贵州茅台(600519)融资融券信息(08-15),2404,2017-08-16,0.6910257465555865
贵州茅台(600519)大宗交易数据一览(08-18),21324,2017-08-18,0.14904983040982756
贵州茅台(600519)融资融券信息(08-18),5375,2017-08-19,0.6910257465555865
贵州茅台(600519)大宗交易数据一览(07-01),28786,2016-07-01,0.14904983040982756
喝的买不到买的不为喝 茅台挡不住“飞天”,92806,2017-08-17,0.003683936688405276
探访茅台实体店：最严限价令下的失衡供需,13859,2017-08-17,0.4112545996750667
季报再超预期 多重举措保证市场良性增长 维持买,19033,2017-04-26,0.8879910980756744
乐观开放显自信，国酒文化妙生花,32380,2017-05-24,0.9998497212832205
2017Q1纯利增25%，业绩释放加速,16297,2017-04-26,0.8172858964011874
业绩超预期，未来有望保持高增长,14954,2017-07-28,0.9960360986878244
如何定价，疯狂的茅台？,75895,2017-06-02,0.27848429556306287
估值切换比以往时候来的更早一些,21130,2017-07-28,0.7951106026679085
需求强劲，业绩释放水到渠成,16508,2017-07-28,0.9291880693102811
Q2维持高速增长，龙头向上趋势不变,11000,2017-07-28,0.6379783730953531
不断超越，奋勇前行,11326,2017-07-28,0.8603371587349448
2017H1纯利增28%，预收款依然保持在高水平,12855,2017-07-31,0.41571068440787773
淡季不淡，系列酒贡献新增长极,13941,2017-07-28,0.8805301782529867
增长点清晰，稳健投资的首选,32193,2017-08-14,0.9988696092696774
增量控价备战旺季，促行业慢牛长牛,28815,2017-08-07,0.7023201336529645
上半年无量业绩优异，下半年放量 低基数业绩加,35410,2017-08-04,0.929823758359415
Increasing ex-factory supply; sales growth t,19386,2017-08-16,0.37165162461671686
贵州茅台公开承认违规：正清理标注“国宴”“特,20178,2017-01-13,0.33195459401150873
战狼2票房上50亿是大概率事件。,7119,2017-08-11,0.849495108432698
美少女的葡萄干 嘎嘎嘎！茅台连续涨停！加油,8485,2017-08-11,0.9904642954613079
贵州茅台的“后500元时代”,23507,2017-08-18,0.4058937853233707
恶炒茅台殃及白酒行业 多地查处违规公款购买高,140507,2017-08-16,0.20287949157505003
据预测：2019年茅台可以涨至2000元左右。,77835,2017-06-26,0.9184765569247622
茅台在军工面前，算个屁。。。,13131,2017-08-11,0.5202291398756049
牛股的基因,21677,2016-11-16,0.5576042581707906
为什么？,5731,2017-08-14,0.5262327818078083
1299元/瓶的坚守价不变 茅台称45天内投放4500吨,114664,2017-08-16,0.3273075576867608
茅台公司供货量、分配方式受质疑,21889,2017-08-16,0.25872693774354594
送你96只价值投资股：,36496,2017-06-23,0.636651388372359
贵州茅台控制最高售价涉嫌价格垄断？,31758,2017-08-17,0.8425865638027908
铁打的茅台 流水的股王！600元是不是梦？,26309,2017-08-11,0.3121373403948029
股价一度突破500元 茅台进入新发展周期,16547,2017-08-15,0.9944933081588038
贵州茅台上半年净利增长28%,8257,2017-07-28,0.6804403086207852
“黄牛”雇人排队狂买茅台堪比春运抢票大片,57485,2017-08-14,0.061520733947115214
A股20年来终于有了一只股价破500元的股票 500元,50202,2017-08-14,0.06738994869027504
白酒股攻势再起 贵州茅台再度冲击500元大关,12240,2017-08-14,0.01134781946669794
贵州茅台2018年底上600元？但斌：愿赌1000万 一,333531,2017-05-22,0.6737986507887087
贵州茅台拉升涨破500元大关 机构：预计最高可达,38221,2017-08-14,0.004964116699975429
