标题,帖子数,回帖数,时间,情感
十大利好：20元以下全是地价，毋需看盘,68536,81,2017-02-08 22:58:55,0.638666550471781
从K线看，银河必是大牛股,10206,13,2017-06-22 10:29:16,0.3824491257530157
601881:中国银河第三届董事会第二十八次会议决,27533,10,2017-06-28 16:14:16,0.07218627492149887
中国银河下午如不跌停，我敢挥刀自尽！,11025,20,2017-06-27 10:44:09,0.5995606327542551
中国银河，未来的大摩,10940,31,2017-06-22 08:14:10,0.9795596004389496
中国银河开启“漂亮50”走势,32922,45,2017-06-02 12:16:02,0.9079705603228799
601881:中国银河2016年年度股东大会决议公告,25745,4,2017-06-22 19:01:33,0.8491198619886947
寻找昨天10.65附近一起进场的小伙伴，有没有？,18701,33,2017-02-09 08:25:05,0.9261206993202242
涨久必跌、跌久必涨。银河这丫的，表面看归类为,11643,9,2017-06-16 18:19:36,0.11302995581409792
雨后鱼趣(三首）,4823,16,2017-06-13 12:46:34,0.79699471341148
该股近段时间一旦放量就要出现连续攻击，第一目,9722,7,2017-06-14 08:59:56,0.8443167884431706
银河流通市值决定其股价高低,炒新股炒的是流通,39022,59,2017-01-19 16:12:56,0.3560362048992892
601881:中国银河2017年5月财务数据简报,39858,8,2017-06-07 16:16:31,0.5148087551995925
601881:中国银河关于签署证券和金融产品交易框,17252,4,2017-06-06 18:28:37,0.3502555042336265
因为过早抄底我现在还浅套在里面呢，虽然补仓了,14865,11,2017-06-02 11:35:37,0.8878455255335784
601881:中国银河公开发行2016年公司债券2017年,28924,7,2017-05-18 15:44:48,0.34618726689787227
抄银河的老底,25267,179,2017-05-22 12:42:24,0.2883928661326973
提前暴炒，机构出货接近尾声，后市重回十二元以,32583,117,2017-03-03 13:07:35,0.14424089732717293
银河战舰启航，自营、信用发力,38132,17,2017-05-04 21:38:07,0.03963584198815573
中国银河的总市值超过国泰君安必死无疑,31593,43,2017-02-17 15:11:39,0.6753964659065065
特大利好：中国银河并购联昌集团,28774,19,2017-05-15 14:47:12,0.5373572828155092
300576容大感光，苹果三星概念股，飚升在即！！,11292,30,2017-02-09 02:08:55,0.3518292570432916
今天让你们感觉一下从涨停到跌停的快感，逃命吧,30631,48,2017-02-17 12:21:51,0.24006516590891003
601881:中国银河关于签署证券和金融产品交易框,30696,5,2017-05-17 18:35:26,0.3502555042336265
601881:中国银河第三届董事会第二十六次会议决,30026,3,2017-05-17 18:35:26,0.07218627492149887
601881大家互相转告不割肉等创新高锁仓,16151,53,2017-05-10 07:31:09,0.2055735710853993
中国银河，第一目标13元已经实现，吧中帖子大家,23247,14,2017-02-14 20:29:11,0.6755461578776295
下周冲高减仓是上策,8415,8,2017-05-12 18:41:14,0.19177062010729107
沪指大盘在3050-3000区间可参与短线反弹,13156,27,2017-04-24 20:58:47,0.9675024429071134
601881:中国银河非公开发行2017年公司债券(第三,25460,7,2017-05-10 20:35:43,0.24201119200865429
再次跌破十二可以满仓操作,11141,20,2017-04-28 14:14:19,0.03939364466582829
两点三十分准时启动[买入][牛][微笑],19026,45,2017-03-03 11:28:42,0.23847213741734263
下一步中国银河去何方？,12984,15,2017-04-21 13:19:01,0.854074123700881
AH上市资本雄厚，经纪业务保持领先,45203,9,2017-05-07 13:16:34,0.9819133067686746
601881:中国银河2017年4月财务数据简报,23739,4,2017-05-08 20:44:06,0.4657425927181743
601881:中国银河当年累计新增借款超过上年末净,20573,9,2017-05-08 15:56:27,0.23636934111040564
郑重宣布：从4月5日起，银河是龙头。,43352,54,2017-04-05 10:14:56,0.04697926511935502
上下折腾寓意还有破位的可能性，至于大盘可能跌,10018,12,2017-05-05 11:13:36,0.539046385286216
你自己不懂操作 只能是赔钱 你没有专业实力 只,8968,22,2017-03-10 21:56:09,0.2827180072356109
研报一出，还有一段下跌！不喜绕道别乱喷！[俏,5454,13,2017-05-05 18:12:49,0.23031751251712373
601881:中国银河2016年度股东大会会议资料,19436,4,2017-05-04 16:54:25,0.714824119271195
涨停卖出-大盘见顶讯号！减仓或空仓！,12596,15,2017-02-17 11:09:03,0.12062246916211239
601881:中国银河第三届董事会第二十五次会议决,22122,5,2017-04-29 01:36:05,0.07218627492149887
十四块补到现在十三块多 每次补的时候都在安慰,11507,12,2017-04-24 20:14:06,0.863364210583261
该股已经到价值投资区域！,9741,9,2017-04-28 09:21:18,0.572838190448508
14.5的本还有谁，割了吗？,15413,33,2017-04-20 11:17:35,0.35072516527654074
今明两天再不跑的将在高位长期站岗,30072,45,2017-04-11 14:27:53,0.43697775948083173
明日大盘可能向上回补第二个缺口,13157,27,2017-04-20 17:07:39,0.8714272890754632
杰夫极品：你累死也白搭，一个男人活成这样真可,11696,41,2017-03-05 16:11:33,0.48338171442958944
T+0放行确有必要,9063,16,2017-02-24 12:56:30,0.18057332242238044
成功的秘诀有时就是在忍无可忍的时候再忍一忍,15975,21,2017-04-14 13:37:46,0.04184955143320479
还有14块本没有走的吗？吱一声,12817,52,2017-04-17 21:30:17,0.23158654508267118
不要幻想能涨 中国银河 谁买谁上套！,6307,13,2017-02-06 09:43:26,0.993973539863383
次新券商行情才刚刚开始,54133,44,2017-03-19 14:05:59,0.8888488570670872
中国银河是沪深两市十分罕见的一股独大的杰出代,39991,47,2017-01-21 16:34:24,0.9915895815134145
中国银河是“国字头”的全牌照一线券商流通市值,37594,56,2017-01-19 16:16:23,0.767791647594073
沪深两市找不到第二家持有A股超过百分之八十的,16554,15,2017-01-21 16:38:09,0.012802507634598448
中国银河A股一股独大，混合所有制改革呼之欲出,23965,34,2017-01-21 18:44:49,0.9866883088875845
601881:中国银河:中信证券股份有限公司、中信建,44305,14,2017-04-10 16:29:31,0.9952861909108648
601881:中国银河2017年3月财务数据简报,50629,10,2017-04-11 17:12:03,0.4442522454264405
持有银河莫恐慌 跌破十三就加仓,7466,15,2017-04-11 10:47:37,0.012969602039695438
彩莲对科森主力的心理剖析！,29111,99,2017-03-02 08:44:03,0.7461475197989544
彩莲的推荐的股票只有在大盘股灾式的暴跌之时，,6370,29,2017-03-02 07:19:23,0.787884294777782
601881:中国银河2016年年度报告摘要,27159,10,2017-03-30 23:21:10,0.9154796324826184
——死都不卖,7974,9,2017-03-20 23:16:50,0.22131457215670125
这个孽障！,9398,19,2017-01-26 10:09:57,0.5
今天13.01介入该股后就大涨了，次新券商或将紧,13059,4,2017-04-05 18:56:33,0.7473302167435819
年报点评：推进“一体两翼”战略，两翼均保持正,23406,6,2017-04-05 16:54:06,0.9842392773179165
可以小仓位买进中国银河和中原证券！！！,12240,34,2017-04-05 14:49:24,0.24954150269650377
活在十三与十五之间,9554,12,2017-03-31 09:14:43,0.7895616187857519
60-120日线可入场,9978,14,2017-03-30 11:03:52,0.44767845850986676
谢谢所有反对与攻击彩莲的朋友，你们成就了彩莲,6773,18,2017-03-02 07:59:28,0.9990948732885808
彩莲最后一次告诉大家：科森不是55元以下的股票,29820,172,2017-03-01 12:01:38,0.2653379767448252
彩莲现在很开心，如果万家文化是利好，不知道有,16817,84,2017-02-28 13:13:32,0.8789032729116745
清源股份，彩莲没看错，果然是妖股,6015,22,2017-03-01 09:19:13,0.8872094850100523
彩莲认为炒股更多的是一门艺术，而不仅仅是赌博,7805,22,2017-02-28 19:59:38,0.965641296182788
13.23重仓抄底！！,13912,18,2017-03-30 09:33:51,0.1467817483451498
顶级券商中国银河股价最少和广发证券相当！,21401,18,2017-03-29 15:10:00,0.9750444188296488
该股今天借机大幅度杀跌，如果明天继续杀跌可以,17820,11,2017-03-29 19:32:39,0.002816493305953016
601881:中国银河:2016年度财务报表及审计报告,24850,4,2017-03-30 23:25:58,0.7477222942824857
银河巨舰扬帆起航，综合实力行业前列,63399,27,2017-03-03 18:51:06,0.7770607940796784
又贪心了，高位没卖,6577,16,2017-03-23 11:14:22,0.44767845850986676
留一半清醒留一半醉！接连不断的利好发布，而股,28014,56,2017-03-25 21:45:04,0.5580745603675362
601881:中国银河2015年第三期次级债券2017年付,42734,11,2017-03-28 18:29:03,0.31372633378491643
娃哈哈 月月中签 拜神求好运 月月中签 拜神求好,7662,15,2017-03-25 16:49:43,0.8454425628476234
张家港行次新股发行4.37超上海银行发行17.77！,9140,25,2017-03-10 07:50:02,0.05595040981600086
西部股神财经论坛.评论：中国银河参股马来西亚,21341,3,2017-03-26 23:36:52,0.9674050191548158
中原银河争当头羊  价没翻倍决不离场,16001,33,2017-02-16 09:18:34,0.34200545523388115
601881:中国银河第三届董事会第二十四次会议决,82856,57,2017-03-24 19:32:06,0.07218627492149887
架子已搭好，下周一15元高开15分钟封板15.95，,16706,9,2017-03-24 15:20:51,0.021425656235143697
涨……升,6162,15,2017-03-16 09:59:03,0.7782601467736061
601881:中国银河非公开发行2017年公司债券(第二,42018,12,2017-03-23 19:14:14,0.28838447852902915
