标题,帖子数,回帖数,时间,情感
民生银行上半年净利润280亿 证金持股增至4.99%,21101,11,2017-08-29 00:26:06,0.07444653066743001
民生银行靠回拨减值准备45亿才实现利润正增长,15002,20,2017-08-28 21:21:41,0.219564387184504
民生银行未来二年的每股收益,23285,29,2017-05-18 10:10:39,0.9805277770960824
民生银行2017年中报业绩预期,49674,70,2017-08-17 10:37:24,0.5120561452730236
民生银行中期纯利同比增长3.18%至280.88亿元每,30605,6,2017-08-28 22:45:57,0.9279049631927392
600016:民生银行2017年半年度报告摘要,46098,8,2017-08-28 20:58:23,0.7193854631982286
中报必将一塌糊涂,13888,15,2017-08-26 22:40:09,0.09530448690730686
民生银行中报，大超预期！,29523,25,2017-08-28 17:53:30,0.5589264377274729
专家警示:此时买大盘权重股或将被套30年!,12144,27,2017-08-26 10:51:33,0.9361678573734097
奉劝攻击我的人应该销股票帐户去存银行,31154,101,2017-05-28 13:46:53,0.047674403834540025
[财力满仓]女士们先生们朋友们！战胜内心的恐惧,5227,13,2017-07-23 18:56:47,0.9714881443121417
民生银行(600016)融资融券信息(08-17),5935,4,2017-08-18 07:36:43,0.8150732906712007
民生银行早晚会出问题。民生银行经常向信用卡客,273692,126,2015-11-20 22:29:04,0.03012956126492472
600016:民生银行公告,64684,12,2017-08-22 19:34:11,0.46318947303986735
民生银行，我们分析他的价值，每股净资产9.12，,22569,14,2017-04-20 17:52:08,0.883274946612308
这让外资抄底的节奏就是这样。金融板块挺不容易,5502,6,2017-08-03 18:18:59,0.8995404882393757
股海无涯0295个骗子害人家在11元买套二年后跌到,25502,81,2017-06-09 23:53:29,0.001725988603125339
三次抄底民生套三次,11281,11,2017-08-23 16:00:27,0.7348719873451284
银监会纪检组：民生银行首席信息官林晓轩接受组,92003,28,2017-08-22 17:54:31,0.9527933523732308
目前大A股估值最低的股票-民生银行,15610,24,2017-08-16 13:18:01,0.438943773608119
民生银行成为垃圾银行的原因分析,11810,32,2017-08-17 07:19:24,0.2240161894174869
中国民生银行首席信息官林晓轩接受组织审查,20533,17,2017-08-22 18:41:02,0.9682046927979553
嘎嘎嘎，嘎嘎嘎，民生小散活王八,20456,24,2016-09-21 13:18:54,0.9978964141707204
民生银行要拉了。广东财经台空头李可能全仓民生,7456,22,2017-08-22 10:56:56,0.817860305836359
忍不住！！,73438,150,2015-10-21 11:21:15,0.3800975240267781
民生银行今明年发行债转股要不要买？ 16年民生,27520,51,2017-05-27 21:30:06,0.46512751670438
我的好友780人你冀G64445只25人说明群众的眼晴,7212,33,2017-08-07 09:36:09,0.6707500807659772
证据之一 保留,4714,17,2017-06-13 09:22:44,0.39767010978676987
韭菜菲特 进来看,669,17,2017-07-31 11:39:28,0.738761159206093
股海无涯0295 这个最可恶最卑鄙无耻的小人的卑,36814,224,2017-05-31 20:03:47,0.4670405777098168
以你冀G64445的智商和心态抄股亏钱很正常,8692,32,2017-08-05 21:09:38,0.4006899441032926
伪巴们最近有点烦，哈哈，有点烦！,14463,66,2017-08-03 14:26:35,0.09071696093511605
股海无涯0295 这个最卑鄙无耻小人的可恶行径,26868,139,2017-05-31 21:35:15,0.0688080483707969
我与钻石之王观点相反--具有长线投资价值,15791,29,2017-07-05 09:13:22,0.8925089456579639
唱空民生银行的都是搞屎棍，有种去融券做空,10015,41,2017-08-04 14:33:13,0.5885876160866866
7.9元一次性干到位，拿到现在了，还是觉得低廉,10435,23,2017-08-04 11:08:00,0.10509805782432258
其实，股价跌是好事！,12212,11,2017-03-20 15:59:53,0.36914442986017004
今年民生银行股价逆势下跌，希望中报多分点红。,11517,20,2017-08-10 12:55:35,0.8452295648257199
抛！经济恶化,拉股价，用人性贪婪，忽悠股民在,34196,44,2016-01-29 14:14:48,0.8250483988915179
民生银行根本没资金愿意做，跟风小涨一点而已,7381,21,2017-07-25 13:58:12,0.8604698457461731
除民生银行外的银行股今年牛气冲天，涨势如虹！,8038,23,2017-07-28 10:19:00,0.2810962816279079
王大娘废话少说拿点真本领给大家看看,3221,15,2017-07-27 21:32:06,0.030240770054959065
特别告示：立即抢购7.25元历史最低位附近的金钼,6379,24,2017-04-27 16:54:22,0.9484067327313287
8月4日融资净卖2.3亿元，收盘才跌2分钱,9039,27,2017-08-05 08:03:19,0.12241325636714873
估计还会要跌，3元也还不是底,3775,5,2017-03-21 18:07:18,0.4417325936551736
股海无涯0295在高位连续唱多低位唱空不断攻击唱,3554,7,2017-08-02 09:40:28,0.999932729288665
建议民营老板们买点年收益17.37%的银行股,2883,6,2017-05-02 09:58:22,0.2547501154596813
瞎子在狂笑 业绩翻倍 季报再增长300%翻倍搖新股,18547,40,2017-05-07 18:57:12,0.7762752563615433
民生银行(600016)融资融券信息(07-28),1415,6,2017-07-29 07:36:50,0.8150732906712007
已经出货几十个亿，还没出完，，勿动继续观观察,5758,12,2017-03-16 12:21:14,0.8848596448636924
今天买的全部是带血筹码、肥肉 主力开始回补了,5907,10,2017-03-15 11:54:23,0.860367162839337
明天大跌,14090,32,2016-11-30 21:58:24,0.10692162495584323
进场: “双重改革”受益股,社保养老金标的股,2429,5,2017-07-31 07:58:19,0.9893200488469195
改变弊屈规范成长错杀低沽整理2年券商蓄势待发,4960,17,2017-04-11 09:21:57,0.9316426926391277
平安银行今天收盘价创新高，很多股友被赶来民生,9318,24,2017-08-04 20:11:36,0.2228258675388337
民生银行上海分行员工私售内控严重违规,20842,17,2017-03-20 11:32:45,0.2655748674598498
巴菲特1991和工行小股是同一个笨蛋 一直在造谣,2614,33,2017-08-02 09:08:08,0.9704670453287122
沃伦巴菲特这马甲人品有问题，只顶吹牛皮最低价,18359,69,2017-05-30 08:28:28,0.9855631146479646
明天开始爆拉,7900,12,2017-03-14 17:29:16,0.2845935741427815
高位唱要向上突破,低位唱空的人有什么资谈人品,19862,111,2017-06-01 07:30:37,0.9942562828857674
[大笑][大笑][大笑]找机会上车,2945,17,2017-06-19 21:48:10,0.8994835474533477
中国商业银行排名,13476,22,2017-06-20 11:02:01,0.29969767587291996
实战炒股口决： 十四工作线，不破不走人。短线,37338,27,2017-01-29 18:13:35,0.9596611393517058
民生银行值10元以上！,4396,7,2017-08-02 13:28:14,0.2534308650533681
融券昨天归还177万股，还不快点归还小心爆仓,6988,12,2017-03-16 08:06:23,0.00042598416157935137
民生银行(600016)融资融券信息(03-15),6714,5,2017-03-16 07:46:19,0.8150732906712007
我只相信股息率，民生银行5%股息率的价位在这里,12156,27,2017-04-20 11:47:33,0.3428291645188628
银行股里也只有民生银行才会对股东这么不负责任,8040,15,2017-03-15 09:43:30,0.012596561658361427
民生银行，27连阴途中，下跌即将加速。融券砸！,8114,19,2017-03-15 09:02:54,0.021576602020996205
傻伪巴们吹一个破一个，太没面子了！！,4132,39,2017-07-27 18:58:00,0.006914933242592514
基金抱团炒个股是中国式庞氏骗局，隐患危害大01,45225,54,2016-07-22 11:37:45,0.9868952960342393
平心而论，工行小股东是伪巴中间水平最差的一个,12070,101,2017-07-16 23:39:42,0.9870862172036956
王大娘的裹脚又臭又长,7998,27,2017-07-06 13:32:09,0.2675543664857343
股海无涯0295是我上网15年见到的最可恶之人也是,8976,63,2017-05-30 11:42:17,0.16904240968894946
疯狂抢盘啦 咯咯咯，业绩去年翻倍股0.99，今再,11032,34,2017-05-02 17:18:35,0.5498342672885813
长线是钻石之王对价值投资恨之入骨的原因,11561,52,2017-07-16 17:36:50,0.952998000192612
证监会通报操纵股价四种方式：关联账户，自买自,42700,36,2016-09-27 11:46:17,0.9372710066314004
民生银行(600016)大宗交易数据一览(07-28),3067,18,2017-07-28 18:46:48,0.2566080576706211
这几天有几个以往一直靠谱的马甲看多民生银行,3406,13,2017-03-15 08:24:33,0.8475569612831788
没戏了不如下全转买*一路一带龙头600307酒钢宏,34467,120,2017-05-01 22:14:45,0.26671133213042253
如果真有人做空民生，那么将会被多头打爆，价值,8259,17,2017-07-13 16:16:34,0.3780355939048621
不看好就爬出本吧,3318,7,2017-07-07 13:39:03,0.10681844593536083
做股就像做人，不可走极端。,17161,74,2017-07-07 21:28:56,0.5346858007057469
鼓吹价值投资是忽悠人的人就是一种忽悠,16088,38,2017-07-02 17:04:15,0.007612463534600766
照钻石之王的说法，炒垃圾股才是正道,4831,10,2017-07-06 13:53:28,0.01321183716881491
民生10元指日可待,8317,17,2017-03-15 14:22:15,0.36677358189700915
与许多银行股比，民生银行大大低估,30655,19,2017-07-13 17:19:05,0.2686950212410065
大股东都失联了谁签字分红？,7837,13,2017-06-23 15:53:12,0.05635216164428658
疯狂抢盘了，抢盘了，黄金砸头！晨鸣投资价值第,17872,33,2017-03-02 22:05:49,0.9990297853486187
企稳迹象明显～冲关在即！,41794,73,2016-10-21 22:22:11,0.25089958399629775
最后怒涨两分，感觉跟涨停一样高兴,6415,15,2017-03-15 15:04:58,0.44781968181683973
8.38元坚决买入民生银行,84908,145,2017-03-30 11:02:22,0.5762732666099135
本周的周线收盘价格 应该是近半年最重要的,9915,56,2017-05-08 13:58:40,0.21141991392519865
哈哈,3623,14,2017-07-11 15:05:18,0.5262327818078083
大胆预言，下半年就是银行股的天下，特别是民生,15467,10,2017-07-12 11:38:00,0.8984647511328988
抓紧时间割肉，大家快跑[为什么][亏大了][为什,3557,17,2017-07-05 08:43:35,0.7203831659701061
最能套住人的几句话: 1、目前价位接近主力成本,37882,30,2017-02-02 16:59:17,0.6896960605352923
顶尖高手投资的六大不败法则：      法则一：买,15118,11,2017-01-21 13:01:28,0.9987033004793375
民行是金融股中估值最低的股票，目前买入最安全,8636,9,2017-07-04 11:26:21,0.9852900634141438
规律,11131,31,2017-06-13 12:08:47,0.7499999999999999
高盛减持民生银行658万股 每股7.78元,43210,30,2017-06-22 20:07:46,0.6323226376698148
民生的空头就在董事会，大家把它挖出来,5980,19,2017-06-23 10:53:22,0.7721070567594227
2018年人民币应该会开始加息！,13749,80,2017-07-09 17:41:50,0.5502445302081637
众机构紧急群发通知出光抛尽茅台平安万科银行!,6556,11,2017-06-28 10:58:13,0.014760958851340211
证券时报网  AH股比价 2017年6月23日 18:24,4769,15,2017-06-23 20:31:58,0.029715718057886864
石油银行保险证券 同比港股有些已经是明显贵了,,6218,19,2017-06-23 10:02:09,0.02016428855772523
投资民生银行的三点理由：第一，市盈率低。第二,7756,19,2017-06-23 07:56:30,0.16892559058662782
明显有人抛民生银行A股去买便宜10%以上的民生银,15057,44,2017-06-04 20:17:27,0.8783759125915245
被洗出去了[哭][哭][哭],12083,28,2017-06-22 11:09:15,0.6990214309625662
明天跌停板～～,4109,17,2017-06-22 14:31:33,0.1433628962964837
注意研判,6350,19,2017-06-22 14:37:21,0.5
全国股份制银行还有哪个没涨得？,11222,17,2017-07-12 20:40:37,0.11095573347537457
这支股散户太多了,3076,14,2017-07-05 02:46:52,0.20316635574948505
[财力]漂亮50中国股市的心脏;沪深300中国股市的,6315,2,2017-07-15 17:22:25,0.9999603518490517
基金抱团炒个股是中国式庞氏骗局，隐患危害大01,28609,30,2016-07-21 14:31:09,0.9868952960342393
严重低估正宗机器人概念盛通股份（002599），90,5966,48,2017-07-07 17:57:28,0.9604464326942576
建议巴菲特精们,10375,53,2017-05-04 10:36:44,0.9842944190946173
11.1元买入净资1.58倍的民生一万股放五年会是怎,21145,31,2017-06-30 11:27:00,0.806024177699617
看多看空多很正常,但不要搞人身攻击,要文明交流,11680,42,2017-05-21 14:03:22,0.753130333441857
民生涨到10倍的ＰＥ，就可挣一倍，净值差不多到,16545,50,2017-05-19 10:08:28,0.7808207849899573
民生怎么不跌了？,3728,34,2017-05-10 07:14:35,0.6923786120385603
兴业银行曾经是所有银行走得最弱的，现在强了,9398,11,2017-07-06 17:28:01,0.1138912725547272
九菲特1992,16473,72,2017-06-06 13:04:10,0.9284986234250949
实属无聊，就来张图，纯属YY,4848,7,2015-10-25 12:50:37,0.13925634737474424
民生银行(600016)融资融券信息(06-22),6113,19,2017-06-23 07:35:26,0.8150732906712007
民生银行沈阳分行承兑汇票转贴现业务严重违规,26651,10,2017-06-22 11:31:02,0.411968294086706
民生银行，持股从此开始了。相信自己的判断，主,25135,31,2017-06-10 09:36:54,0.778155591650733
买入民生的几条理由,19774,30,2017-07-04 11:51:01,0.2885223749091478
只要不追高，不会吃亏，不折腾，不割肉，坐等5,16373,23,2017-06-01 18:36:41,0.2934888940561624
民生银行的春天何时到来？？？散户的期盼,52159,60,2017-03-25 20:48:58,0.6710941495737327
现在看好民生银行是对的，不服去看看招行和兴业,11161,26,2017-07-07 05:40:09,0.040147388080942314
工商银行创1年新高，民生银行创1年新低，奇葩,15291,12,2017-03-14 18:14:59,0.16317811516706493
这股没希望了，天天资金流出，被蛀空了，随时会,2493,11,2017-06-21 09:55:02,0.7569807226239347
太苍白无力了，股指期货在玩玩股市,3877,14,2017-06-21 09:20:37,0.8566827398721437
明天可能跌停板,5133,13,2017-06-22 14:24:59,0.24012772134747595
某些银行的高管，就是一帮人渣， 承诺的分红，,6132,14,2017-07-02 14:06:02,0.49940681455773017
民生银行的三大投资价值,16314,7,2017-06-15 08:37:39,0.8675173395678961
已满仓生行，持股待涨，现在是底部坚定不卖。,6113,18,2017-05-02 11:23:56,0.18102662265452585
变盘时间点临近，大盘将再次下探，考验3100点支,11638,99,2017-05-03 03:30:20,0.7255994545791941
600016:民生银行2016年下半年A股利润分配实施公,82945,4,2017-06-29 18:27:28,0.28287198098613797
2017年5月25日大股东开始增持民生银行！,16112,20,2017-05-24 15:18:32,0.11790149596188415
"粤港澳大湾区正式上升为国家战略""一带一路""____",19391,45,2017-05-13 16:05:25,0.9989824042527311
民生银行上半年接29张罚单 3000亿市值公司风险,45714,19,2017-07-03 07:54:34,0.16988138812002684
两天白玩了，股价没动！太巧了吧，持有的另外一,4915,9,2017-06-21 22:04:46,0.0941534240810048
2016年5月25日，正式成为民生银行的一个小股东,38576,39,2017-06-01 08:14:21,0.27926141569959395
敬请关注，新能源，国企小盘股，资产重组500086,3452,27,2016-03-20 14:47:30,0.620503584060059
买银行股的都是猪,8414,28,2016-03-20 11:37:56,0.11638838282149444
中国股市，晚分红，少分红，不分红.是否合法?,3805,21,2016-03-20 17:05:33,0.8592785881139849
民生涨,5318,19,2016-03-20 20:08:32,0.8364767739023565
民生银行(600016)融资融券信息(03-17),6093,25,2016-03-18 07:35:03,0.8150732906712007
广发证券年报每股1.87元-10派8元,2749,19,2016-03-22 10:05:01,0.1087038671053645
银行股在掩护券商撤退,2985,18,2016-03-22 09:39:58,0.09385574130659802
9:30 ！,3204,24,2016-03-22 09:29:13,0.6666666666666666
（四川成渝）爆抄底大涨，4元抄到40多元太惊人,3233,17,2016-03-21 14:13:21,0.003250362071619217
（四川成渝）爆抄底大涨，4元抄到40多元太惊人,2946,26,2016-03-21 09:51:19,0.003250362071619217
民生银行(600016)融资融券信息(03-18),5995,22,2016-03-19 07:34:34,0.8150732906712007
主力只能用画图来引诱小散,5516,22,2016-03-19 10:20:01,0.14270329192444586
有魄力就买弘讯科技,3769,27,2016-03-18 19:37:04,0.707414111324716
9.50出了 周一银行股暴跌到时再捡回!,5005,24,2016-03-18 17:32:39,0.16561797811178536
浴火凤凰，静待改革焕新生,54892,30,2016-03-18 16:55:37,0.8743380151063007
民生银行今日超大单流入排名第12名(03-15),6776,48,2016-03-15 16:19:00,0.58961207127844
好样的，点个赞,5442,24,2016-01-28 15:02:07,0.8752852488520955
今天有谁买了？价位多少？[围观],3668,44,2016-03-22 10:13:29,0.9061182803660487
广东深圳很多人卖掉500多万元一套房子买入（四,2976,44,2016-03-22 10:02:48,0.6955659940395716
四川成渝集团低价（伤心流泪）地出货，外资（低,2471,38,2016-03-22 09:23:21,0.04874461001947572
民生银行(600016)融资融券信息(03-21),4192,39,2016-03-22 07:37:15,0.8150732906712007
巨阴大跌补两个缺口,银行最后一撑,3305,46,2016-03-22 00:04:05,0.03144844089063592
激动盼望大涨的人少了 才会好,3495,41,2016-03-21 15:16:39,0.9305189180749783
民生银行今天H股还涨了8分而在大盘A股还没有涨,3204,44,2016-03-21 13:59:10,0.3963787757570352
对于近期拉升过快的个股要保持谨慎的态度。,3717,42,2016-03-21 18:54:36,0.11829544877046849
这就不是卷商牌照了，耽误大行情了，买这股票的,3283,44,2016-03-21 10:44:08,0.783590698206021
下周一银行股带领大盘攻占3000点大关,5866,46,2016-03-20 15:00:23,0.10603906316683365
已过会的银行怎么发行新股？,4629,42,2016-03-20 18:49:34,0.27317529945027585
A H股联动或刺激港股上涨,4918,39,2016-03-21 08:27:47,0.040804650103745566
银行股暴涨逻辑就是国家队解套。银行股这两天调,8582,41,2016-03-20 12:36:45,0.010233696462985553
建议银行股的持有者再去买点银行的分级基金，15,4013,38,2016-03-18 20:03:56,0.16158315253446265
要开始了,3734,41,2016-03-18 14:44:08,0.5262327818078083
民生银行今日超大单流出排名第4名(03-18),7738,45,2016-03-18 16:10:21,0.3377779721685451
国家队的地盘，旁人远离。,7817,45,2016-03-18 12:06:37,0.40994184031577874
此股的股东数一次性少了21万，看来小散的失望都,4463,40,2016-03-18 14:44:40,0.010031754252766256
仅供模拟买卖。盈亏自负，图,6801,46,2016-03-17 15:13:51,0.3459904558126715
银行，仅供模拟交流，盈亏自负！,13812,54,2016-03-05 21:59:37,0.4561602223835799
【股透社】民生银行最后一分钟“护盘神功”背后,20322,46,2015-10-21 19:30:44,0.6448031196780549
银行还没张[哭][哭][哭],3208,46,2016-03-21 13:31:21,0.5179980617318787
港股月涨幅已近10% 小摩何以狂买民生银行？,19859,24,2016-03-18 16:28:36,0.3985839805305078
重大利好！,6899,26,2016-03-18 12:53:17,0.5
此股前几天涨的在这两天都全部跌没有了，垃圾的,6075,26,2016-03-18 14:40:10,0.007763519565170851
600016:民生银行关于第六届监事会增补职工监事,29001,24,2016-03-21 18:34:44,0.35763691070108916
5家上市银行“减配”柜员 国有大行态度两极分化,9174,23,2016-03-22 04:30:46,0.032684076288837405
三大概念股被主力资金抛弃,15294,18,2016-03-21 16:29:25,0.9183699192982009
600016:民生银行关于华夏人寿增持计划实施结果,65544,7,2017-06-30 19:28:54,0.3368342196851689
半夜鸡叫 明日大盘鸡飞蛋打 鸡毛一地 股灾4.0 ,4047,45,2016-03-21 21:30:41,0.6099824007080268
