标题,帖子数,回帖数,时间,情感
神华与国电合并 央企数量减至98家 专家解读重组,43675,17,2017-08-28 16:02:23,0.14394871868075465
神华国电整合火电业务设立新公司 深化国企改革,15059,11,2017-08-28 23:30:56,0.61161429034426
国电、神华合并 1.8万亿“国能投资”橫空出世！,32857,13,2017-08-29 00:04:02,0.8299374329860332
国电神华合并模式将向五大行业传导,38261,3,2017-08-29 02:44:34,0.8633164275524962
601088:中国神华A股股票停牌进展公告,98225,11,2017-08-28 19:49:18,0.8397113350110144
神华国电合并 国家能源投资集团开启“煤电联姻,12898,3,2017-08-29 05:29:10,0.05263696676916663
神华有戏了,33417,33,2017-08-06 07:46:08,0.7452861405752153
集团层面重组，不等于神华与国电合并！,11253,12,2017-08-28 16:04:09,0.45603837610847764
中国神华H股直线拉升逾4%,17084,5,2017-08-28 15:37:37,0.06897332505790499
归母净利翻倍 持续关注国改进程,15679,7,2017-08-28 14:37:59,0.7981656356687752
摩通场内减持神华192万股 另场外减持福耀玻璃66,20947,7,2017-08-26 09:14:47,0.053730877901356666
神华半年报读后感！每次读完神华的年报或者半年,13071,18,2017-08-27 08:39:21,0.9432758706504171
[满仓胜利]漂亮50中国股市的心脏；沪深300中国,4325,7,2017-07-17 15:56:38,0.999795774543432
[围观牛]女士们先生们朋友们！战胜内心的恐惧，,8466,14,2017-07-23 20:24:08,0.9989329931993117
中国神华：上半年净利243亿 同比增147%,13960,9,2017-08-26 00:45:27,0.925471935959269
作为一名老神华，喜闻新街台格庙矿区获批，忍不,34098,48,2017-08-13 10:39:09,0.5245373957819992
中国神华(601088)融资融券信息(08-24),3121,3,2017-08-25 07:46:14,0.9526245592325572
菩萨保佑，神华出来十二个一字涨停板！,15413,8,2017-08-22 18:30:19,0.6184446050546835
祈祷：中国神华与国电重组失败……,27559,36,2017-08-01 15:12:16,0.9350056156277055
神华和国电历史价格及盈利对比。,21503,17,2017-08-21 00:42:17,0.9101631088765009
中国神华前7月煤炭销量同比增长17.1%至2.55亿吨,19923,6,2017-08-15 18:14:20,0.8591904996658101
这次中国神华不公告了,22826,14,2017-08-19 06:41:08,0.7402918713373989
601088:中国神华重大事项进展及继续停牌公告,128555,46,2017-08-04 19:30:24,0.8889155061403408
中国神华(601088)融资融券信息(08-18),8076,40,2017-08-19 08:37:16,0.9526245592325572
国电公告继续停牌2个月的必要性 …,19451,13,2017-08-18 22:08:04,0.15781818206939424
中国神华(601088)融资融券信息(08-16),6091,5,2017-08-17 07:45:10,0.9526245592325572
601088:中国神华2017年7月份主要运营数据公告,43703,4,2017-08-15 18:33:19,0.9107069184720399
中国神华7月煤炭销量3440万吨 升9.6%,12483,6,2017-08-15 20:28:58,0.4980991627358101
中国神华(601088)融资融券信息(08-11),5993,5,2017-08-12 07:47:37,0.9526245592325572
中国神华内蒙古新街台格庙矿区总体规划获得国家,19627,6,2017-08-11 21:58:03,0.9491754289217541
神华由于连续停牌超过50天，可能剔除纳入MSCI指,9589,7,2017-08-10 20:07:16,0.267967877125459
神华分红的六万元钱打算全买成大秦，感觉大秦的,21993,35,2017-07-08 20:18:43,0.09888608427233081
601088:中国神华派发2016年度末期股息及公司特,159458,50,2017-07-02 14:24:34,0.93518966125362
神华两煤矿停产致煤电矛盾激化 华电能源称将依,94765,30,2017-08-07 02:08:56,0.2205765623685737
601088:中国神华关于神华包头煤制烯烃升级示范,41626,7,2017-08-07 19:03:44,0.6670102459332933
8月起煤炭减产将拖累2017年利润,37594,11,2017-08-09 17:35:42,0.037640647483976
神华减产波及下游 华电能源燃煤供应告急,28771,8,2017-08-05 03:19:58,0.05072019452078458
非常肤浅的分析一下中国神华！,19907,9,2017-03-26 17:23:35,0.9298228332745541
中国神华再投171.5亿加码煤制烯烃 所涉项目曾遭,23469,6,2017-08-09 01:09:32,0.916557063390754
不就那点屁事儿，港股可以不停牌，为啥a股要停,8363,10,2017-07-31 11:43:13,0.000682671799739909
产量下降17%，动力煤价淡季或不淡,13359,3,2017-08-04 09:34:27,0.6592557514215263
中国神华-写在开盘前（731）,33336,6,2017-07-31 20:55:42,0.8363909387942644
中国神华煤制烯烃升级项目获核准,14798,5,2017-08-08 02:12:51,0.9293919526313925
中国神华再讲中国神话,20139,16,2017-03-20 06:17:57,0.9686847461902443
601088:中国神华关于哈尔乌素、宝日希勒露天矿,50071,26,2017-08-03 18:47:16,0.7175813849478961
神华因为策略问题，导制净利减少30亿元？这不叫,10094,35,2017-08-04 08:55:50,0.6086159312016686
空头被无厘头黑天鹅打爆仓了，谁也想不到神华这,5276,6,2017-03-20 09:25:32,0.25325093036645785
因时而变，与时俱进，春雨让万物丛生。“中国神,15274,21,2017-03-19 21:26:10,0.9972004218855225
601088:中国神华2017上半年业绩预增公告,80181,22,2017-07-28 16:41:29,0.8399216942720634
神华减产刺激“煤超疯” 电企受影响的还有难捱,93173,25,2017-08-04 23:47:22,0.14915881234423
中国神华申请A股自8月7日起继续停牌至9月4日,32137,16,2017-08-04 19:50:24,0.004291144879235986
目标14,8763,19,2017-08-02 23:29:01,0.7112281244016309
“超级红包”推动神华A股涨停 H股大涨16%,18053,10,2017-03-20 10:05:25,0.24061173126209057
601088:中国神华第四届董事会第四次会议决议公,35418,18,2017-08-04 19:21:18,0.4071721012502363
中国神华旗下两煤矿暂时停产或减产,10934,4,2017-08-04 05:37:50,0.8667571636163123
中国神华：旗下两煤矿停产及减产 预计减少净利3,120897,56,2017-08-03 19:10:37,0.6890389340753871
煤炭行业供给侧结构性改革，煤价上涨助力半年报,19620,4,2017-08-04 10:47:21,0.9521623260215275
对国企混改的一个清醒认识！,6008,11,2017-08-02 19:15:20,0.5195641132084525
低估值龙头企业，业绩支撑高分红,25539,15,2017-03-20 13:35:42,0.9144193380576997
神华国电合并方案上报国务院 或命名为国家能源,32375,14,2017-08-03 02:19:42,0.06910732067623393
铁路混改突破口或在货运,4261,37,2017-07-30 13:38:56,0.6934119147819502
这就是标准的中国力拓,18061,40,2017-07-02 16:16:57,0.41218342736280444
中国神华半年报预增147% 煤价大涨助推煤企业绩,39405,11,2017-07-29 03:09:51,0.5019804544812507
神华集团董事长空缺超3个月 国电集团总经理空缺,96584,47,2017-06-28 01:11:32,0.056583275341342776
看清真相！ 贵州茅台 和 中国神华 本质的区别！,195248,481,2017-03-18 20:27:22,0.9771492209107444
持续看好公司一体化清洁能源之路,20594,8,2017-03-20 14:01:52,0.018175088691851804
中国神华上半年净利大增 “ 中国神电”渐行渐近,57454,14,2017-07-31 02:43:43,0.9987767013532617
中国神华(601088)融资融券信息(07-13),4293,5,2017-07-14 07:46:21,0.9526245592325572
601088:中国神华重大事项停牌公告,227133,77,2017-06-04 14:09:52,0.8556071380420525
601088:中国神华重大事项继续停牌公告,100433,16,2017-06-11 14:02:26,0.8556071380420525
股票投资 必须具备正确判断的能力 ,4178,22,2017-06-12 10:10:18,0.9955686230154086
明日开盘,13845,24,2017-06-17 09:43:36,0.7826653358894131
8月10日以后复牌好，少叫百分之10红利税,8296,8,2017-07-26 19:23:39,0.25498819885166113
预测下开盘涨停个数。填权两个涨停，停牌期间其,10158,10,2017-07-27 18:36:08,0.8707456133712403
雷同公告再引“中国神电”出炉猜想,54125,11,2017-07-05 10:48:36,0.9762083339966019
来考考大家，国电与神华合并、他们旗下控股上市,14184,12,2017-07-29 10:41:34,0.9762134517961067
中国神华：预计上半年净利243亿元 同比增长147%,32789,13,2017-07-28 17:09:34,0.7255145195497069
一锅端，开盘股灾5.0已经结束，后果你们想着吧,6209,20,2017-06-18 17:19:36,0.4467082018510504
中国神华半年报预计盈利243亿元增长147%,17970,9,2017-07-28 18:04:23,0.4205894048969243
中国神华预计上半年净利润243.00亿元 同比增长1,17575,8,2017-07-28 17:51:27,0.5621114030671156
601088:中国神华重大事项进展及继续停牌公告,165258,25,2017-07-03 18:45:51,0.8889155061403408
进场: “双重改革”受益股,社保养老金标的股,4093,1,2017-07-29 12:44:41,0.9893200488469195
今日神华公布业绩预增，上半年1.22元！那么全年,21344,10,2017-07-28 18:38:52,0.7488799115654289
请问：两公司何时公告复牌？,60109,19,2017-06-06 22:20:27,0.039743684107875654
笑哈哈咯咯咯，业绩去年翻倍股0.99，今再翻倍超,15674,21,2017-04-28 10:35:41,0.6839925814452342
哈哈大笑咯咯咯！抢盘了，抢盘了，黄金砸头！晨,15717,43,2017-03-24 14:09:21,0.9852395613381456
合并不是往好改革而是倒退！复牌就是一巨型垃圾,15567,29,2017-07-02 10:55:00,0.17052778585963024
无量涨停！此为本人神华发最后一贴，没有翻倍，,11335,19,2017-03-18 21:56:26,0.35075111781999935
朋友们，现在不是卖出神华的时侯。主力刻意压盘,11310,15,2017-03-15 09:14:49,0.8499304652420987
各位大神！如果真的分钱成了，周一开盘买3万股,17428,24,2017-03-18 07:01:08,0.04885902067422798
神华国电继续发布停牌公告 交易对方拟为能源大,59366,15,2017-07-04 17:42:27,0.007947303341296785
有消息说，煤归神华，火电归国电，风电归龙源。,21885,13,2017-07-13 11:17:31,0.14491382197458103
中国神华：上半年煤炭销量同比增长18.4%,21339,4,2017-07-17 17:50:20,0.6891243000769324
请大家看看深深房A的停牌时间，那也是重大无先,15951,12,2017-07-19 08:03:56,0.3576623866983166
未来十年，持有蓝筹股多的成为富豪…,15147,11,2017-07-15 14:38:19,0.886010035317662
哈哈哈，神华的小散直接吃了一个跌停板,26533,47,2017-07-04 21:08:33,0.7242297894191495
601088:中国神华2017年6月份主要运营数据公告,52342,6,2017-07-17 16:56:37,0.8877495945699843
中国神华上半年煤炭销量同比增长18.4%至约2.2亿,30015,7,2017-07-17 19:26:08,0.5188612216428631
中国神华：交易对方拟为能源行业大型国企 继续,47098,17,2017-07-03 18:13:28,0.1023406854847273
601088:中国神华关于神华财务有限公司2017年上,49464,7,2017-07-13 18:33:01,0.8645005608065572
对于一天到晚惦记着神华分红的人真心无语了.,20335,13,2017-06-30 20:36:19,0.9429206390351694
神华若吞并国电后，再在售电方面加大投入（包括,34196,28,2017-06-23 14:15:42,0.019089054582722587
真后悔,全仓困在这了,37037,49,2017-06-07 12:20:11,0.19624141412360596
今晚会出公告，明天复牌吗?,3917,19,2017-06-14 09:27:53,0.2653215703103651
天津禁汽运煤，大秦线迎来最繁忙煤炭运输！,7394,78,2017-05-01 12:09:12,0.011761717372548941
601088:中国神华沃特马克项目进展公告,48842,6,2017-07-12 19:32:40,0.9740256427016466
相亲、拆迁与股市中的“改革牛”何其相似！ 88,21620,24,2016-02-26 20:35:29,0.9999795907871193
抛！机构连拉股价，用人性贪婪，忽悠小股民在高,52420,81,2016-04-14 10:09:00,0.9467161395301114
神华国电同日公告均称重组方系能源国企,41355,9,2017-07-04 01:21:01,0.005450429905788146
总而言之，中国神华在停牌期间能把分红派息给落,3108,16,2017-06-18 21:21:33,0.9189140575104737
无先例事项？难道挖煤挖出来了美人鱼化石？[大,4397,15,2017-06-18 21:12:21,0.46690911210494657
