标题,帖子数,回帖数,时间,情感
国家队也是短线高手,8703,60,2017-08-28 19:49:45,0.6502852227746034
播种东邪西毒，期待收货的季节，浇水 施肥 锄草,67297,235,2017-06-07 09:51:13,0.7658936415465777
白富美本性难改 风高物燥，小心火烛，捂紧包包 ,44826,217,2017-07-05 06:57:20,0.001301243670856822
东兴的无耻已经到了无以复加地步---这一现象即,43110,130,2017-06-27 10:22:00,0.004677745450180071
咯咯笑 狂笑 瞎子狂笑 连续4年业绩翻倍，三年利,21952,56,2017-07-09 19:34:53,0.7457699793533019
小盘2.6亿业绩1.7元发行价14.39次新股杭州银行,53427,129,2017-03-27 13:30:39,0.7004243411165897
券商2017年5月底前筑完底，上车不要犹豫。,26880,27,2017-05-22 10:08:21,0.9446001363654061
继续拿着吧，反正macd红柱也重新放大了，我感觉,10031,28,2017-07-07 15:07:03,0.5440840546001756
->华泰证券+美国金融科技企业颠覆“金融系统”,339022,1058,2016-05-24 20:42:26,0.9999687895317774
->华泰证券+美国金融科技企业颠覆“金融系统”,38093,127,2016-11-27 22:23:47,0.9999687895317774
完了完了，这次8月份看的更高了20块也在向我招,76858,284,2017-07-31 15:19:41,0.4719650346981896
一心陪股友走完东兴证券从16到32元全程,62847,51,2017-04-27 14:46:40,0.8147733114166452
券商股值得逐步全仓买入和拼命捂住的根本原因,51894,44,2017-05-11 19:01:05,0.3936754425544208
超短王者技术贴今日重大更新,散户朋友必读。,135369,442,2017-05-10 16:01:12,0.8435049433087132
华通线缆启动IPO上市 辅导机构为东兴证券,11721,7,2017-08-25 20:14:54,0.3330202339704724
证金为什么要持续增持东兴证券至成为第一大流体,25159,14,2017-08-22 01:31:31,0.4131345742187945
>-新>华泰证券价值投资的芳香，需要时间来沉淀,271359,928,2016-05-24 06:28:00,0.7931494098165897
此庄画线历害，完全控制此股，5天以内必有一根,22122,39,2017-08-10 15:12:42,0.38480223430430727
2017半年报点评：资管主动管理提升 投行项目储,16699,4,2017-08-22 19:58:17,0.9549355544092797
证金，汇金这这些国家队大幅度增持券商股，代表,19001,8,2017-08-19 07:51:15,0.2659550847224197
东兴证券之潜力本质！——吹牛篇，不看后悔！,22483,27,2017-08-07 19:41:01,0.4164501740883966
瑞格股份披露未签字盖章年报审计报告 东兴证券,16675,9,2017-08-12 13:13:58,0.1783975380102386
东兴证券上半年净利润下降25% 证金公司成为第一,29244,10,2017-08-19 01:54:46,0.7266194444630997
说什么好呢,26302,45,2016-11-20 17:11:29,0.523560877286025
东兴证券上半年净利润5.65亿元 同比下降25.75%,24562,7,2017-08-19 04:51:11,0.33283883761113253
东兴证券上半年净赚5.65亿元,19650,9,2017-08-18 21:43:08,0.3832914876682094
东兴证券：上半年净利降26% 证金公司大幅增持成,26051,10,2017-08-18 21:02:36,0.022838521950863666
中报速递：东兴证券2017年上半年盈利5.65亿元，,13168,6,2017-08-18 20:16:05,0.27175868676034864
超短王者技术贴今日更新！重大风险提示！必读！,46209,122,2017-04-13 15:34:40,0.9310326463501125
东兴吧里现状,46121,172,2017-05-22 11:45:28,0.9457892284235856
601198:东兴证券2017年7月财务数据简报,40913,6,2017-08-04 18:18:31,0.3023443219436792
东兴重大消息东兴重大消息即将上头条,17087,9,2017-04-07 12:04:13,0.12759211327052633
东兴证券股票分析（2017年5月19日） 东兴证券是,52722,72,2017-05-19 17:14:15,0.5853893319518176
进场: “双重改革”受益股,社保养老金标的股,4033,3,2017-07-29 16:11:08,0.9893200488469195
骗子的套路,36308,179,2017-03-27 11:54:26,0.07738766574290534
基金抱团炒个股是中国式庞氏骗局，隐患危害大19,28939,35,2016-07-22 09:46:37,0.8652591288524708
近期关注东兴证券(601198),120065,140,2016-10-09 19:42:51,0.7947225695802527
赤裸裸放量拉高出货！骗散户，套的就是妄想抛在,50622,83,2016-03-23 15:11:53,0.1056462694895065
人们贪婪和恐惧成就了骗子的千年伟业。,6014,33,2017-06-12 11:26:53,0.9821669988516634
东兴,990,18,2015-10-22 13:28:26,0.5
对于白富美,13364,60,2017-06-15 17:23:42,0.8446184808062339
601198:东兴证券2016年年度权益分派实施公告,42677,8,2017-06-21 18:14:55,0.5700478561712888
今是哪个傻B庄往下打,爷请野驴日你妈和你奶奶b,12585,18,2016-12-06 13:14:51,0.7366385452376158
对于白富美守护神，我给几点建议：不浏览，不回,6484,26,2017-06-15 13:40:34,0.3424645293568297
隔空喊话大憨子，无论你是因为无知而做了坏人办,7351,14,2017-06-15 15:58:49,0.5129549448948268
好好的一个股吧变得乌烟瘴气,5358,27,2017-06-13 22:06:23,0.39111319815333234
白富美请悠着点,32860,233,2017-05-11 11:15:10,0.09545748137347787
601198:东兴证券关于全资子公司境外发行美元债,28025,4,2016-09-29 17:26:33,0.49267794632368056
唱多唱空都正常，拍点小砖也正常，但白富美的装,5240,31,2017-06-11 20:43:13,0.9455460895130835
斗争太复杂，坏人胆太大。只要良心在，强大我中,7184,41,2017-05-31 20:28:50,0.47304595714314734
寻狗启事 走失一只白色的1岁法斗(法国斗牛)公犬,10669,78,2017-05-24 15:16:32,0.7612880878088957
白富美大屁鼓,15441,106,2017-05-02 10:34:01,0.6860103176080502
唱空唱多都正常 发表自己的观点，展开讨论，包,3898,23,2017-06-11 20:13:28,0.9754134554643322
白富美守护神，以后骗人的把戏你还是不要搞了，,6429,36,2017-05-30 10:54:34,0.16395705501188507
白富美守护神你还有多少号来出来为自已的贴子顶,7064,50,2017-05-25 09:50:19,0.6906390364480393
白富美守护神你骗哦接着骗在拿多点号出来为自已,6857,56,2017-05-25 09:51:57,0.23430888587413312
股吧从来苍蝇多，嗡嗡嗡，嗡嗡嗡[大笑][大笑][,14491,82,2017-03-22 16:27:17,0.9168276256563582
白富美还在顶自已的贴子，时间是试金时，还要在,7423,51,2017-05-25 14:19:32,0.6640449677176277
白富美这骗子用小号又开始淫诗了，哈哈不改品性,7033,42,2017-05-26 15:36:18,0.6811765337473495
