行情  sz300059
广晟有色(600259)  sh600259
凯乐科技(600260)  sh600260
阳光照明(600261)  sh600261
北方股份(600262)  sh600262
路桥建设(600263)  sh600263
北京城建(600266)  sh600266
海正药业(600267)  sh600267
国电南自(600268)  sh600268
赣粤高速(600269)  sh600269
外运发展(600270)  sh600270
航天信息(600271)  sh600271
开开实业(600272)  sh600272
嘉化能源(600273)  sh600273
恒瑞医药(600276)  sh600276
亿利洁能(600277)  sh600277
东方创业(600278)  sh600278
重庆港九(600279)  sh600279
中央商场(600280)  sh600280
太化股份(600281)  sh600281
南钢股份(600282)  sh600282
钱江水利(600283)  sh600283
浦东建设(600284)  sh600284
羚锐制药(600285)  sh600285
江苏舜天(600287)  sh600287
大恒科技(600288)  sh600288
华仪电气(600290)  sh600290
西水股份(600291)  sh600291
远达环保(600292)  sh600292
三峡新材(600293)  sh600293
鄂尔多斯(600295)  sh600295
S兰铝(600296)  sh600296
广汇汽车(600297)  sh600297
安琪酵母(600298)  sh600298
安迪苏(600299)  sh600299
维维股份(600300)  sh600300
标准股份(600302)  sh600302
曙光股份(600303)  sh600303
恒顺醋业(600305)  sh600305
商业城(600306)  sh600306
酒钢宏兴(600307)  sh600307
华泰股份(600308)  sh600308
万华化学(600309)  sh600309
桂东电力(600310)  sh600310
荣华实业(600311)  sh600311
平高电气(600312)  sh600312
农发种业(600313)  sh600313
上海家化(600315)  sh600315
洪都航空(600316)  sh600316
营口港(600317)  sh600317
新力金融(600318)  sh600318
亚星化学(600319)  sh600319
振华重工(600320)  sh600320
正源股份(600321)  sh600321
天房发展(600322)  sh600322
瀚蓝环境(600323)  sh600323
华发股份(600325)  sh600325
西藏天路(600326)  sh600326
大东方(600327)  sh600327
兰太实业(600328)  sh600328
中新药业(600329)  sh600329
天通股份(600330)  sh600330
宏达股份(600331)  sh600331
白云山(600332)  sh600332
长春燃气(600333)  sh600333
国机汽车(600335)  sh600335
澳柯玛(600336)  sh600336
美克家居(600337)  sh600337
西藏珠峰(600338)  sh600338
中油工程(600339)  sh600339
华夏幸福(600340)  sh600340
航天动力(600343)  sh600343
长江通信(600345)  sh600345
恒力股份(600346)  sh600346
阳泉煤业(600348)  sh600348
富通昭和(600349)  sh600349
山东高速(600350)  sh600350
亚宝药业(600351)  sh600351
浙江龙盛(600352)  sh600352
旭光股份(600353)  sh600353
敦煌种业(600354)  sh600354
精伦电子(600355)  sh600355
恒丰纸业(600356)  sh600356
承德钒钛(600357)  sh600357
国旅联合(600358)  sh600358
新农开发(600359)  sh600359
华微电子(600360)  sh600360
华联综超(600361)  sh600361
江西铜业(600362)  sh600362
联创光电(600363)  sh600363
通葡股份(600365)  sh600365
宁波韵升(600366)  sh600366
红星发展(600367)  sh600367
五洲交通(600368)  sh600368
西南证券(600369)  sh600369
三房巷(600370)  sh600370
万向德农(600371)  sh600371
中航电子(600372)  sh600372
中文传媒(600373)  sh600373
华菱星马(600375)  sh600375
首开股份(600376)  sh600376
宁沪高速(600377)  sh600377
天科股份(600378)  sh600378
宝光股份(600379)  sh600379
健康元(600380)  sh600380
青海春天(600381)  sh600381
广东明珠(600382)  sh600382
金地集团(600383)  sh600383
山东金泰(600385)  sh600385
北巴传媒(600386)  sh600386
海越股份(600387)  sh600387
龙净环保(600388)  sh600388
江山股份(600389)  sh600389
五矿资本(600390)  sh600390
航发科技(600391)  sh600391
盛和资源(600392)  sh600392
粤泰股份(600393)  sh600393
盘江股份(600395)  sh600395
金山股份(600396)  sh600396
安源煤业(600397)  sh600397
海澜之家(600398)  sh600398
抚顺特钢(600399)  sh600399
红豆股份(600400)  sh600400
动力源(600405)  sh600405
国电南瑞(600406)  sh600406
安泰集团(600408)  sh600408
三友化工(600409)  sh600409
华胜天成(600410)  sh600410
小商品城(600415)  sh600415
湘电股份(600416)  sh600416
江淮汽车(600418)  sh600418
天润乳业(600419)  sh600419
现代制药(600420)  sh600420
