行情  sz300059
中国交建(601800)  sh601800
皖新传媒(601801)  sh601801
中海油服(601808)  sh601808
新华文轩(601811)  sh601811
光大银行(601818)  sh601818
美凯龙(601828)  sh601828
成都银行(601838)  sh601838
中国石油(601857)  sh601857
中国科传(601858)  sh601858
中远海发(601866)  sh601866
招商轮船(601872)  sh601872
正泰电器(601877)  sh601877
浙商证券(601878)  sh601878
大连港(601880)  sh601880
中国银河(601881)  sh601881
海天精工(601882)  sh601882
江河集团(601886)  sh601886
中国国旅(601888)  sh601888
亚星锚链(601890)  sh601890
中煤能源(601898)  sh601898
紫金矿业(601899)  sh601899
南方传媒(601900)  sh601900
方正证券(601901)  sh601901
京运通(601908)  sh601908
新集能源(601918)  sh601918
中远海控(601919)  sh601919
凤凰传媒(601928)  sh601928
吉视传媒(601929)  sh601929
永辉超市(601933)  sh601933
建设银行(601939)  sh601939
中国出版(601949)  sh601949
苏垦农发(601952)  sh601952
金钼股份(601958)  sh601958
中国汽研(601965)  sh601965
玲珑轮胎(601966)  sh601966
宝钢包装(601968)  sh601968
海南矿业(601969)  sh601969
中国核电(601985)  sh601985
中国银行(601988)  sh601988
中国重工(601989)  sh601989
大唐发电(601991)  sh601991
金隅集团(601992)  sh601992
丰林集团(601996)  sh601996
贵阳银行(601997)  sh601997
中信银行(601998)  sh601998
出版传媒(601999)  sh601999
人民网(603000)  sh603000
奥康国际(603001)  sh603001
宏昌电子(603002)  sh603002
龙宇燃油(603003)  sh603003
晶方科技(603005)  sh603005
联明股份(603006)  sh603006
花王股份(603007)  sh603007
喜临门(603008)  sh603008
北特科技(603009)  sh603009
万盛股份(603010)  sh603010
合锻智能(603011)  sh603011
创力集团(603012)  sh603012
弘讯科技(603015)  sh603015
新宏泰(603016)  sh603016
中衡设计(603017)  sh603017
中设集团(603018)  sh603018
中科曙光(603019)  sh603019
爱普股份(603020)  sh603020
山东华鹏(603021)  sh603021
新通联(603022)  sh603022
威帝股份(603023)  sh603023
大豪科技(603025)  sh603025
石大胜华(603026)  sh603026
千禾味业(603027)  sh603027
赛福天(603028)  sh603028
天鹅股份(603029)  sh603029
全筑股份(603030)  sh603030
安德利(603031)  sh603031
德新交运(603032)  sh603032
三维股份(603033)  sh603033
常熟汽饰(603035)  sh603035
如通股份(603036)  sh603036
凯众股份(603037)  sh603037
华立股份(603038)  sh603038
泛微网络(603039)  sh603039
新坐标(603040)  sh603040
美思德(603041)  sh603041
华脉科技(603042)  sh603042
广州酒家(603043)  sh603043
科林电气(603050)  sh603050
台华新材(603055)  sh603055
德邦股份(603056)  sh603056
永吉股份(603058)  sh603058
倍加洁(603059)  sh603059
国检集团(603060)  sh603060
禾望电气(603063)  sh603063
音飞储存(603066)  sh603066
振华股份(603067)  sh603067
海汽集团(603069)  sh603069
乐惠国际(603076)  sh603076
和邦生物(603077)  sh603077
江化微(603078)  sh603078
圣达生物(603079)  sh603079
新疆火炬(603080)  sh603080
大丰实业(603081)  sh603081
剑桥科技(603083)  sh603083
天成自控(603085)  sh603085
先达股份(603086)  sh603086
宁波精达(603088)  sh603088
正裕工业(603089)  sh603089
宏盛股份(603090)  sh603090
新经典(603096)  sh603096
森特股份(603098)  sh603098
长白山(603099)  sh603099
川仪股份(603100)  sh603100
汇嘉时代(603101)  sh603101
横店影视(603103)  sh603103
恒银金融(603106)  sh603106
润达医疗(603108)  sh603108
东方材料(603110)  sh603110
康尼机电(603111)  sh603111
金能科技(603113)  sh603113
红蜻蜓(603116)  sh603116
万林股份(603117)  sh603117
共进股份(603118)  sh603118
翠微股份(603123)  sh603123
中材节能(603126)  sh603126
昭衍新药(603127)  sh603127
华贸物流(603128)  sh603128
春风动力(603129)  sh603129
上海沪工(603131)  sh603131
碳元科技(603133)  sh603133
天目湖(603136)  sh603136
海量数据(603138)  sh603138
康惠制药(603139)  sh603139
养元饮品(603156)  sh603156
拉夏贝尔(603157)  sh603157
腾龙股份(603158)  sh603158
上海亚虹(603159)  sh603159
汇顶科技(603160)  sh603160
科华控股(603161)  sh603161
荣晟环保(603165)  sh603165
福达股份(603166)  sh603166
渤海轮渡(603167)  sh603167
莎普爱思(603168)  sh603168
兰石重装(603169)  sh603169
德创环保(603177)  sh603177
圣龙股份(603178)  sh603178
新泉股份(603179)  sh603179
金牌厨柜(603180)  sh603180
皇马科技(603181)  sh603181
建研院(603183)  sh603183
华正新材(603186)  sh603186
亚邦股份(603188)  sh603188
网达软件(603189)  sh603189
日播时尚(603196)  sh603196
保隆科技(603197)  sh603197
迎驾贡酒(603198)  sh603198
九华旅游(603199)  sh603199
上海洗霸(603200)  sh603200
快克股份(603203)  sh603203
江山欧派(603208)  sh603208
日月股份(603218)  sh603218
济民制药(603222)  sh603222
恒通股份(603223)  sh603223
新凤鸣(603225)  sh603225
菲林格尔(603226)  sh603226
雪峰科技(603227)  sh603227
景旺电子(603228)  sh603228
奥翔药业(603229)  sh603229
格尔软件(603232)  sh603232
大参林(603233)  sh603233
诺邦股份(603238)  sh603238
浙江仙通(603239)  sh603239
电魂网络(603258)  sh603258
合盛硅业(603260)  sh603260
天龙股份(603266)  sh603266
松发股份(603268)  sh603268
海鸥股份(603269)  sh603269
银都股份(603277)  sh603277
大业股份(603278)  sh603278
赛腾股份(603283)  sh603283
日盈电子(603286)  sh603286
海天味业(603288)  sh603288
泰瑞机器(603289)  sh603289
杭叉集团(603298)  sh603298
井神股份(603299)  sh603299
华铁科技(603300)  sh603300
鑫广绿环(603302)  sh603302
得邦照明(603303)  sh603303
旭升股份(603305)  sh603305
华懋科技(603306)  sh603306
应流股份(603308)  sh603308
维力医疗(603309)  sh603309
金海环境(603311)  sh603311
梦百合(603313)  sh603313
福鞍股份(603315)  sh603315
诚邦股份(603316)  sh603316
派思股份(603318)  sh603318
湘油泵(603319)  sh603319
迪贝电气(603320)  sh603320
梅轮电梯(603321)  sh603321
超讯通信(603322)  sh603322
吴江银行(603323)  sh603323
我乐家居(603326)  sh603326
依顿电子(603328)  sh603328
上海雅仕(603329)  sh603329
上海天洋(603330)  sh603330
百达精工(603331)  sh603331
明星电缆(603333)  sh603333
迪生力(603335)  sh603335
宏辉果蔬(603336)  sh603336
杰克股份(603337)  sh603337
浙江鼎力(603338)  sh603338
四方冷链(603339)  sh603339
安井食品(603345)  sh603345
莱克电气(603355)  sh603355
华菱精工(603356)  sh603356
设计总院(603357)  sh603357
华达科技(603358)  sh603358
东珠景观(603359)  sh603359
百傲化学(603360)  sh603360
傲农生物(603363)  sh603363
水星家纺(603365)  sh603365
日出东方(603366)  sh603366
辰欣药业(603367)  sh603367
柳州医药(603368)  sh603368
今世缘(603369)  sh603369
东方时尚(603377)  sh603377
亚士创能(603378)  sh603378
易德龙(603380)  sh603380
顶点软件(603383)  sh603383
惠达卫浴(603385)  sh603385
广东骏亚(603386)  sh603386
基蛋生物(603387)  sh603387
元成股份(603388)  sh603388
亚振家居(603389)  sh603389
新天然气(603393)  sh603393
金辰股份(603396)  sh603396
邦宝益智(603398)  sh603398
吉翔股份(603399)  sh603399
信捷电气(603416)  sh603416
鼎信通讯(603421)  sh603421
集友股份(603429)  sh603429
吉比特(603444)  sh603444
九洲药业(603456)  sh603456
勘设股份(603458)  sh603458
风语筑(603466)  sh603466
振静股份(603477)  sh603477
展鹏科技(603488)  sh603488
恒为科技(603496)  sh603496
翔港科技(603499)  sh603499
祥和实业(603500)  sh603500
韦尔股份(603501)  sh603501
金石资源(603505)  sh603505
南都物业(603506)  sh603506
振江股份(603507)  sh603507
思维列控(603508)  sh603508
欧普照明(603515)  sh603515
淳中科技(603516)  sh603516
绝味食品(603517)  sh603517
维格娜丝(603518)  sh603518
立霸股份(603519)  sh603519
司太立(603520)  sh603520
众源新材(603527)  sh603527
多伦科技(603528)  sh603528
掌阅科技(603533)  sh603533
嘉诚国际(603535)  sh603535
惠发股份(603536)  sh603536
美诺华(603538)  sh603538
贵人鸟(603555)  sh603555
海兴电力(603556)  sh603556
起步股份(603557)  sh603557
健盛集团(603558)  sh603558
中通国脉(603559)  sh603559
普莱柯(603566)  sh603566
珍宝岛(603567)  sh603567
伟明环保(603568)  sh603568
长久物流(603569)  sh603569
汇金通(603577)  sh603577
三星新材(603578)  sh603578
荣泰健康(603579)  sh603579
艾艾精工(603580)  sh603580
苏利股份(603585)  sh603585
金麒麟(603586)  sh603586
地素时尚(603587)  sh603587
高能环境(603588)  sh603588
口子窖(603589)  sh603589
东尼电子(603595)  sh603595
引力传媒(603598)  sh603598
广信股份(603599)  sh603599
永艺股份(603600)  sh603600
再升科技(603601)  sh603601
纵横通信(603602)  sh603602
博天环境(603603)  sh603603
珀莱雅(603605)  sh603605
东方电缆(603606)  sh603606
京华激光(603607)  sh603607
天创时尚(603608)  sh603608
禾丰牧业(603609)  sh603609
诺力股份(603611)  sh603611
索通发展(603612)  sh603612
茶花股份(603615)  sh603615
韩建河山(603616)  sh603616
君禾股份(603617)  sh603617
杭电股份(603618)  sh603618
中曼石油(603619)  sh603619
科森科技(603626)  sh603626
清源股份(603628)  sh603628
拉芳家化(603630)  sh603630
徕木股份(603633)  sh603633
南威软件(603636)  sh603636
镇海股份(603637)  sh603637
艾迪精密(603638)  sh603638
海利尔(603639)  sh603639
畅联股份(603648)  sh603648
朗博科技(603655)  sh603655
泰禾光电(603656)  sh603656
安图生物(603658)  sh603658
璞泰来(603659)  sh603659
苏州科达(603660)  sh603660
恒林股份(603661)  sh603661
三祥新材(603663)  sh603663
康隆达(603665)  sh603665
五洲新春(603667)  sh603667
天马科技(603668)  sh603668
灵康药业(603669)  sh603669
卫信康(603676)  sh603676
奇精机械(603677)  sh603677
火炬电子(603678)  sh603678
华体科技(603679)  sh603679
今创集团(603680)  sh603680
晶华新材(603683)  sh603683
晨丰科技(603685)  sh603685
龙马环卫(603686)  sh603686
石英股份(603688)  sh603688
皖天然气(603689)  sh603689
至纯科技(603690)  sh603690
安记食品(603696)  sh603696
航天工程(603698)  sh603698
纽威股份(603699)  sh603699
德宏股份(603701)  sh603701
盛洋科技(603703)  sh603703
健友股份(603707)  sh603707
家家悦(603708)  sh603708
中源家居(603709)  sh603709
香飘飘(603711)  sh603711
七一二(603712)  sh603712
塞力斯(603716)  sh603716
天域生态(603717)  sh603717
海利生物(603718)  sh603718
中广天择(603721)  sh603721
阿科力(603722)  sh603722
天安新材(603725)  sh603725
朗迪集团(603726)  sh603726
博迈科(603727)  sh603727
鸣志电器(603728)  sh603728
龙韵股份(603729)  sh603729
岱美股份(603730)  sh603730
三棵树(603737)  sh603737
泰晶科技(603738)  sh603738
大元泵业(603757)  sh603757
秦安股份(603758)  sh603758
隆鑫通用(603766)  sh603766
中马传动(603767)  sh603767
常青股份(603768)  sh603768
永安行(603776)  sh603776
来伊份(603777)  sh603777
乾景园林(603778)  sh603778
威龙股份(603779)  sh603779
新日股份(603787)  sh603787
宁波高发(603788)  sh603788
星光农机(603789)  sh603789
联泰环保(603797)  sh603797
康普顿(603798)  sh603798
华友钴业(603799)  sh603799
道森股份(603800)  sh603800
志邦股份(603801)  sh603801
瑞斯康达(603803)  sh603803
福斯特(603806)  sh603806
歌力思(603808)  sh603808
豪能股份(603809)  sh603809
诚意药业(603811)  sh603811
原尚股份(603813)  sh603813
顾家家居(603816)  sh603816
海峡环保(603817)  sh603817
曲美家居(603818)  sh603818
神力股份(603819)  sh603819
嘉澳环保(603822)  sh603822
百合花(603823)  sh603823
华扬联众(603825)  sh603825
坤彩科技(603826)  sh603826
柯利达(603828)  sh603828
洛凯股份(603829)  sh603829
欧派家居(603833)  sh603833
四通股份(603838)  sh603838
安正时尚(603839)  sh603839
正平股份(603843)  sh603843
好太太(603848)  sh603848
华荣股份(603855)  sh603855
东宏股份(603856)  sh603856
步长制药(603858)  sh603858
能科股份(603859)  sh603859
中公高科(603860)  sh603860
白云电器(603861)  sh603861
桃李面包(603866)  sh603866
飞科电器(603868)  sh603868
北部湾旅(603869)  sh603869
嘉友国际(603871)  sh603871
太平鸟(603877)  sh603877
武进不锈(603878)  sh603878
永悦科技(603879)  sh603879
南卫股份(603880)  sh603880
数据港(603881)  sh603881
金域医学(603882)  sh603882
老百姓(603883)  sh603883
吉祥航空(603885)  sh603885
元祖股份(603886)  sh603886
城地股份(603887)  sh603887
新华网(603888)  sh603888
新澳股份(603889)  sh603889
春秋电子(603890)  sh603890
天永智能(603895)  sh603895
寿仙谷(603896)  sh603896
好莱客(603898)  sh603898
晨光文具(603899)  sh603899
莱绅通灵(603900)  sh603900
永创智能(603901)  sh603901
中持股份(603903)  sh603903
龙蟠科技(603906)  sh603906
牧高笛(603908)  sh603908
合诚股份(603909)  sh603909
佳力图(603912)  sh603912
苏博特(603916)  sh603916
合力科技(603917)  sh603917
金桥信息(603918)  sh603918
金徽酒(603919)  sh603919
世运电路(603920)  sh603920
金鸿顺(603922)  sh603922
铁流股份(603926)  sh603926
兴业股份(603928)  sh603928
亚翔集成(603929)  sh603929
睿能科技(603933)  sh603933
博敏电子(603936)  sh603936
丽岛新材(603937)  sh603937
三孚股份(603938)  sh603938
益丰药房(603939)  sh603939
大千生态(603955)  sh603955
哈森股份(603958)  sh603958
百利科技(603959)  sh603959
克来机电(603960)  sh603960
大理药业(603963)  sh603963
法兰泰克(603966)  sh603966
醋化股份(603968)  sh603968
银龙股份(603969)  sh603969
中农立华(603970)  sh603970
正川股份(603976)  sh603976
国泰集团(603977)  sh603977
深圳新星(603978)  sh603978
金诚信(603979)  sh603979
吉华集团(603980)  sh603980
恒润股份(603985)  sh603985
兆易创新(603986)  sh603986
康德莱(603987)  sh603987
中电电机(603988)  sh603988
艾华集团(603989)  sh603989
麦迪科技(603990)  sh603990
至正股份(603991)  sh603991
洛阳钼业(603993)  sh603993
中新科技(603996)  sh603996
继峰股份(603997)  sh603997
方盛制药(603998)  sh603998
读者传媒(603999)  sh603999
平安银行(000001)  sz000001
万科A(000002)  sz000002
PT金田A(000003)  sz000003
国农科技(000004)  sz000004
世纪星源(000005)  sz000005
深振业A(000006)  sz000006
全新好(000007)  sz000007
神州高铁(000008)  sz000008
中国宝安(000009)  sz000009
美丽生态(000010)  sz000010
深物业A(000011)  sz000011
南玻A(000012)  sz000012
沙河股份(000014)  sz000014
PT中浩A(000015)  sz000015
深康佳A(000016)  sz000016
深中华A(000017)  sz000017
神州长城(000018)  sz000018
深深宝A(000019)  sz000019
深华发A(000020)  sz000020
深科技(000021)  sz000021
深赤湾A(000022)  sz000022
深天地A(000023)  sz000023
招商地产(000024)  sz000024
特力A(000025)  sz000025
飞亚达A(000026)  sz000026
深圳能源(000027)  sz000027
国药一致(000028)  sz000028
深深房A(000029)  sz000029
富奥股份(000030)  sz000030
中粮地产(000031)  sz000031
深桑达A(000032)  sz000032
新都退(000033)  sz000033
神州数码(000034)  sz000034
中国天楹(000035)  sz000035
华联控股(000036)  sz000036
深南电A(000037)  sz000037
深大通(000038)  sz000038
中集集团(000039)  sz000039
东旭蓝天(000040)  sz000040
中洲控股(000042)  sz000042
中航地产(000043)  sz000043
深纺织A(000045)  sz000045
泛海控股(000046)  sz000046
康达尔(000048)  sz000048
德赛电池(000049)  sz000049
深天马A(000050)  sz000050
方大集团(000055)  sz000055
皇庭国际(000056)  sz000056
深赛格(000058)  sz000058
华锦股份(000059)  sz000059
中金岭南(000060)  sz000060
农产品(000061)  sz000061
深圳华强(000062)  sz000062
中兴通讯(000063)  sz000063
北方国际(000065)  sz000065
中国长城(000066)  sz000066
华控赛格(000068)  sz000068
华侨城A(000069)  sz000069
特发信息(000070)  sz000070
海王生物(000078)  sz000078
盐田港(000088)  sz000088
深圳机场(000089)  sz000089
天健集团(000090)  sz000090
广聚能源(000096)  sz000096
中信海直(000099)  sz000099
TCL集团(000100)  sz000100
宜华健康(000150)  sz000150
中成股份(000151)  sz000151
丰原药业(000153)  sz000153
川化股份(000155)  sz000155
华数传媒(000156)  sz000156
中联重科(000157)  sz000157
常山北明(000158)  sz000158
国际实业(000159)  sz000159
申万宏源(000166)  sz000166
东方市场(000301)  sz000301
美的集团(000333)  sz000333
潍柴动力(000338)  sz000338
许继电气(000400)  sz000400
冀东水泥(000401)  sz000401
金融街(000402)  sz000402
华意压缩(000404)  sz000404
石油大明(000406)  sz000406
胜利股份(000407)  sz000407
藏格控股(000408)  sz000408
山东地矿(000409)  sz000409
沈阳机床(000410)  sz000410
英特集团(000411)  sz000411
东旭光电(000413)  sz000413
渤海金控(000415)  sz000415
民生控股(000416)  sz000416
合肥百货(000417)  sz000417
小天鹅A(000418)  sz000418
通程控股(000419)  sz000419
吉林化纤(000420)  sz000420
南京公用(000421)  sz000421
湖北宜化(000422)  sz000422
东阿阿胶(000423)  sz000423
徐工机械(000425)  sz000425
兴业矿业(000426)  sz000426
华天酒店(000428)  sz000428
粤高速A(000429)  sz000429
张家界(000430)  sz000430
晨鸣纸业(000488)  sz000488
山东路桥(000498)  sz000498
鄂武商A(000501)  sz000501
绿景控股(000502)  sz000502
海虹控股(000503)  sz000503
南华生物(000504)  sz000504
珠江控股(000505)  sz000505
中润资源(000506)  sz000506
珠海港(000507)  sz000507
琼民源A(000508)  sz000508
华塑控股(000509)  sz000509
金路集团(000510)  sz000510
丽珠集团(000513)  sz000513
渝开发(000514)  sz000514
攀渝钛业(000515)  sz000515
国际医学(000516)  sz000516
荣安地产(000517)  sz000517
四环生物(000518)  sz000518
中兵红箭(000519)  sz000519
长航凤凰(000520)  sz000520
美菱电器(000521)  sz000521
白云山A(000522)  sz000522
广州浪奇(000523)  sz000523
岭南控股(000524)  sz000524
红太阳(000525)  sz000525
美的电器(000527)  sz000527
柳工(000528)  sz000528
广弘控股(000529)  sz000529
大冷股份(000530)  sz000530
穗恒运A(000531)  sz000531
华金资本(000532)  sz000532
万家乐(000533)  sz000533
万泽股份(000534)  sz000534
华映科技(000536)  sz000536
广宇发展(000537)  sz000537
云南白药(000538)  sz000538
粤电力A(000539)  sz000539
中天金融(000540)  sz000540
佛山照明(000541)  sz000541
TCL通讯(000542)  sz000542
皖能电力(000543)  sz000543
中原环保(000544)  sz000544
金浦钛业(000545)  sz000545
金圆股份(000546)  sz000546
航天发展(000547)  sz000547
湖南投资(000548)  sz000548
S湘火炬(000549)  sz000549
江铃汽车(000550)  sz000550
创元科技(000551)  sz000551
靖远煤电(000552)  sz000552
沙隆达A(000553)  sz000553
泰山石油(000554)  sz000554
神州信息(000555)  sz000555
PT南洋(000556)  sz000556
西部创业(000557)  sz000557
莱茵体育(000558)  sz000558
万向钱潮(000559)  sz000559
昆百大A(000560)  sz000560
烽火电子(000561)  sz000561
宏源证券(000562)  sz000562
陕国投A(000563)  sz000563
供销大集(000564)  sz000564
渝三峡A(000565)  sz000565
海南海药(000566)  sz000566
海德股份(000567)  sz000567
泸州老窖(000568)  sz000568
长城股份(000569)  sz000569
苏常柴A(000570)  sz000570
新大洲A(000571)  sz000571
海马汽车(000572)  sz000572
粤宏远A(000573)  sz000573
广东甘化(000576)  sz000576
盐湖集团(000578)  sz000578
威孚高科(000581)  sz000581
北部湾港(000582)  sz000582
哈工智能(000584)  sz000584
东北电气(000585)  sz000585
汇源通信(000586)  sz000586
金洲慈航(000587)  sz000587
PT粤金曼(000588)  sz000588
黔轮胎A(000589)  sz000589
启迪古汉(000590)  sz000590
太阳能(000591)  sz000591
平潭发展(000592)  sz000592
大通燃气(000593)  sz000593
国恒退(000594)  sz000594
古井贡酒(000596)  sz000596
东北制药(000597)  sz000597
兴蓉环境(000598)  sz000598
青岛双星(000599)  sz000599
建投能源(000600)  sz000600
韶能股份(000601)  sz000601
金马集团(000602)  sz000602
盛达矿业(000603)  sz000603
渤海股份(000605)  sz000605
神州易桥(000606)  sz000606
华媒控股(000607)  sz000607
阳光股份(000608)  sz000608
中迪投资(000609)  sz000609
西安旅游(000610)  sz000610
天首发展(000611)  sz000611
焦作万方(000612)  sz000612
京汉股份(000615)  sz000615
海航投资(000616)  sz000616
中油资本(000617)  sz000617
吉林化工(000618)  sz000618
海螺型材(000619)  sz000619
新华联(000620)  sz000620
恒立实业(000622)  sz000622
吉林敖东(000623)  sz000623
长安汽车(000625)  sz000625
远大控股(000626)  sz000626
天茂集团(000627)  sz000627
高新发展(000628)  sz000628
铜陵有色(000630)  sz000630
顺发恒业(000631)  sz000631
三木集团(000632)  sz000632
合金投资(000633)  sz000633
英力特(000635)  sz000635
风华高科(000636)  sz000636
茂化实华(000637)  sz000637
万方发展(000638)  sz000638
西王食品(000639)  sz000639
仁和药业(000650)  sz000650
格力电器(000651)  sz000651
泰达股份(000652)  sz000652
金岭矿业(000655)  sz000655
金科股份(000656)  sz000656
中钨高新(000657)  sz000657
长春高新(000661)  sz000661
天夏智慧(000662)  sz000662
永安林业(000663)  sz000663
湖北广电(000665)  sz000665
经纬纺机(000666)  sz000666
美好置业(000667)  sz000667
荣丰控股(000668)  sz000668
金鸿控股(000669)  sz000669
盈方微(000670)  sz000670
阳光城(000671)  sz000671
上峰水泥(000672)  sz000672
当代东方(000673)  sz000673
智度股份(000676)  sz000676
恒天海龙(000677)  sz000677
襄阳轴承(000678)  sz000678
大连友谊(000679)  sz000679
山推股份(000680)  sz000680
视觉中国(000681)  sz000681
东方电子(000682)  sz000682
远兴能源(000683)  sz000683
中山公用(000685)  sz000685
东北证券(000686)  sz000686
华讯方舟(000687)  sz000687
建新矿业(000688)  sz000688
宝新能源(000690)  sz000690
亚太实业(000691)  sz000691
惠天热电(000692)  sz000692
滨海能源(000695)  sz000695
炼石有色(000697)  sz000697
沈阳化工(000698)  sz000698
模塑科技(000700)  sz000700
厦门信达(000701)  sz000701
正虹科技(000702)  sz000702
恒逸石化(000703)  sz000703
浙江震元(000705)  sz000705
双环科技(000707)  sz000707
大冶特钢(000708)  sz000708
河钢股份(000709)  sz000709
贝瑞基因(000710)  sz000710
京蓝科技(000711)  sz000711
锦龙股份(000712)  sz000712
丰乐种业(000713)  sz000713
中兴商业(000715)  sz000715
黑芝麻(000716)  sz000716
韶钢松山(000717)  sz000717
苏宁环球(000718)  sz000718
中原传媒(000719)  sz000719
新能泰山(000720)  sz000720
西安饮食(000721)  sz000721
湖南发展(000722)  sz000722
美锦能源(000723)  sz000723
京东方A(000725)  sz000725
鲁泰A(000726)  sz000726
华东科技(000727)  sz000727
国元证券(000728)  sz000728
燕京啤酒(000729)  sz000729
四川美丰(000731)  sz000731
泰禾集团(000732)  sz000732
振华科技(000733)  sz000733
罗牛山(000735)  sz000735
中交地产(000736)  sz000736
航发控制(000738)  sz000738
普洛药业(000739)  sz000739
长城信息(000748)  sz000748
国海证券(000750)  sz000750
锌业股份(000751)  sz000751
西藏发展(000752)  sz000752
漳州发展(000753)  sz000753
新华制药(000756)  sz000756
浩物股份(000757)  sz000757
中色股份(000758)  sz000758
中百集团(000759)  sz000759
斯太尔(000760)  sz000760
本钢板材(000761)  sz000761
西藏矿业(000762)  sz000762
锦州石化(000763)  sz000763
通化金马(000766)  sz000766
漳泽电力(000767)  sz000767
中航飞机(000768)  sz000768
广发证券(000776)  sz000776
中核科技(000777)  sz000777
新兴铸管(000778)  sz000778
三毛派神(000779)  sz000779
美达股份(000782)  sz000782
长江证券(000783)  sz000783
武汉中商(000785)  sz000785
北新建材(000786)  sz000786
北大医药(000788)  sz000788
万年青(000789)  sz000789
泰合健康(000790)  sz000790
甘肃电投(000791)  sz000791
盐湖股份(000792)  sz000792
华闻传媒(000793)  sz000793
英洛华(000795)  sz000795
凯撒旅游(000796)  sz000796
中国武夷(000797)  sz000797
中水渔业(000798)  sz000798
酒鬼酒(000799)  sz000799
一汽轿车(000800)  sz000800
四川九洲(000801)  sz000801
北京文化(000802)  sz000802
银河生物(000806)  sz000806
云铝股份(000807)  sz000807
创维数字(000810)  sz000810
冰轮环境(000811)  sz000811
陕西金叶(000812)  sz000812
德展健康(000813)  sz000813
美利云(000815)  sz000815
智慧农业(000816)  sz000816
辽河油田(000817)  sz000817
方大化工(000818)  sz000818
岳阳兴长(000819)  sz000819
神雾节能(000820)  sz000820
京山轻机(000821)  sz000821
山东海化(000822)  sz000822
超声电子(000823)  sz000823
太钢不锈(000825)  sz000825
启迪桑德(000826)  sz000826
东莞控股(000828)  sz000828
天音控股(000829)  sz000829
鲁西化工(000830)  sz000830
五矿稀土(000831)  sz000831
贵糖股份(000833)  sz000833
长城动漫(000835)  sz000835
鑫茂科技(000836)  sz000836
秦川机床(000837)  sz000837
财信发展(000838)  sz000838
中信国安(000839)  sz000839
承德露露(000848)  sz000848
华茂股份(000850)  sz000850
高鸿股份(000851)  sz000851
石化机械(000852)  sz000852
冀东装备(000856)  sz000856
五粮液(000858)  sz000858
国风塑业(000859)  sz000859
顺鑫农业(000860)  sz000860
海印股份(000861)  sz000861
银星能源(000862)  sz000862
三湘印象(000863)  sz000863
扬子石化(000866)  sz000866
安凯客车(000868)  sz000868
张裕A(000869)  sz000869
吉电股份(000875)  sz000875
新希望(000876)  sz000876
天山股份(000877)  sz000877
云南铜业(000878)  sz000878
潍柴重机(000880)  sz000880
中广核技(000881)  sz000881
华联股份(000882)  sz000882
湖北能源(000883)  sz000883
同力水泥(000885)  sz000885
海南高速(000886)  sz000886
中鼎股份(000887)  sz000887
峨眉山A(000888)  sz000888
茂业通信(000889)  sz000889
法尔胜(000890)  sz000890
欢瑞世纪(000892)  sz000892
东凌国际(000893)  sz000893
双汇发展(000895)  sz000895
津滨发展(000897)  sz000897
鞍钢股份(000898)  sz000898
赣能股份(000899)  sz000899
现代投资(000900)  sz000900
航天科技(000901)  sz000901
新洋丰(000902)  sz000902
云内动力(000903)  sz000903
厦门港务(000905)  sz000905
浙商中拓(000906)  sz000906
景峰医药(000908)  sz000908
数源科技(000909)  sz000909
大亚圣象(000910)  sz000910
南宁糖业(000911)  sz000911
钱江摩托(000913)  sz000913
山大华特(000915)  sz000915
华北高速(000916)  sz000916
电广传媒(000917)  sz000917
嘉凯城(000918)  sz000918
金陵药业(000919)  sz000919
南方汇通(000920)  sz000920
海信科龙(000921)  sz000921
河北宣工(000923)  sz000923
众合科技(000925)  sz000925
福星股份(000926)  sz000926
一汽夏利(000927)  sz000927
中钢国际(000928)  sz000928
兰州黄河(000929)  sz000929
中粮生化(000930)  sz000930
中关村(000931)  sz000931
神火股份(000933)  sz000933
四川双马(000935)  sz000935
华西股份(000936)  sz000936
冀中能源(000937)  sz000937
紫光股份(000938)  sz000938
凯迪生态(000939)  sz000939
南天信息(000948)  sz000948
新乡化纤(000949)  sz000949
中国重汽(000951)  sz000951
广济药业(000952)  sz000952
欣龙控股(000955)  sz000955
中原油气(000956)  sz000956
中通客车(000957)  sz000957
东方能源(000958)  sz000958
首钢股份(000959)  sz000959
锡业股份(000960)  sz000960
中南建设(000961)  sz000961
东方钽业(000962)  sz000962
华东医药(000963)  sz000963
天保基建(000965)  sz000965
长源电力(000966)  sz000966
盈峰环境(000967)  sz000967
蓝焰控股(000968)  sz000968
安泰科技(000969)  sz000969
中科三环(000970)  sz000970
高升控股(000971)  sz000971
佛塑科技(000973)  sz000973
银泰资源(000975)  sz000975
华铁股份(000976)  sz000976
浪潮信息(000977)  sz000977
桂林旅游(000978)  sz000978
中弘股份(000979)  sz000979
众泰汽车(000980)  sz000980
银亿股份(000981)  sz000981
西山煤电(000983)  sz000983
大庆华科(000985)  sz000985
越秀金控(000987)  sz000987
华工科技(000988)  sz000988
九芝堂(000989)  sz000989
诚志股份(000990)  sz000990
通海高科(000991)  sz000991
闽东电力(000993)  sz000993
皇台酒业(000995)  sz000995
中国中期(000996)  sz000996
新大陆(000997)  sz000997
隆平高科(000998)  sz000998
华润三九(000999)  sz000999
宗申动力(001696)  sz001696
豫能控股(001896)  sz001896
招商公路(001965)  sz001965
招商蛇口(001979)  sz001979
新和成(002001)  sz002001
