10倍pe总计：55只:
64.保利地产 17.19(pe) 1.42(pb)
65.隆鑫通用 17.25(pe) 1.01(pb)
66.劲嘉股份 17.25(pe) 2.57(pb)
67.步 17.26(pe) 1.66(pb)
68.江苏索普 17.27(pe) 6.67(pb)
69.江淮汽车 17.3(pe) 1.35(pb)
70.上海建工 17.36(pe) 1.13(pb)
71.首商股份 17.36(pe) 1.65(pb)
72.海信电器 17.38(pe) 1.38(pb)
73.惠而浦 17.38(pe) 1.81(pb)
74.中国重汽 17.4(pe) 2.31(pb)
75.新华百货 17.43(pe) 2.52(pb)
76.红 17.44(pe) 2.24(pb)
77.温氏股份 17.46(pe) 2.68(pb)
78.神火股份 17.5(pe) 3.42(pb)
79.新集能源 17.52(pe) 2.68(pb)
80.唐山港 17.55(pe) 1.71(pb)
81.小天鹅Ａ 17.56(pe) 4.38(pb)
82.科达洁能 17.7(pe) 2.96(pb)
83.会稽山 17.7(pe) 1.96(pb)
84.西山煤电 17.71(pe) 1.93(pb)
85.穗恒运Ａ 17.74(pe) 1.54(pb)
86.白云机场 17.82(pe) 1.44(pb)
87.富临运业 17.84(pe) 2.96(pb)
88.皖通高速 17.91(pe) 2.34(pb)
89.伊力特 17.91(pe) 3.92(pb)
90.天康生物 17.91(pe) 2.81(pb)
91.众业达 17.94(pe) 1.71(pb)
92.永太科技 17.95(pe) 4.41(pb)
93.东阿阿胶 17.97(pe) 4.85(pb)
94.广电运通 17.98(pe) 1.43(pb)
95.上海医药 18.02(pe) 2.20(pb)
96.国泰君安 18.03(pe) 1.63(pb)
97.厦门空港 18.06(pe) 2.16(pb)
98.口子窖 18.06(pe) 5.17(pb)
99.康力电梯 18.06(pe) 2.44(pb)
100.华光股份 18.15(pe) 2.36(pb)
101.伊利股份 18.18(pe) 5.08(pb)
102.湖北能源 18.21(pe) 1.33(pb)
103.海亮股份 18.22(pe) 3.25(pb)
104.河钢股份 18.28(pe) 1.04(pb)
105.烟台冰轮 18.28(pe) 1.79(pb)
106.中煤能源 18.34(pe) 0.98(pb)
107.健康元 18.36(pe) 2.46(pb)
108.百联股份 18.36(pe) 1.58(pb)
109.常熟银行 18.36(pe) 2.30(pb)
110.摩登大道 18.41(pe) 3.74(pb)
111.天津港 18.45(pe) 1.31(pb)
112.新奥股份 18.45(pe) 2.86(pb)
113.葛洲坝 18.46(pe) 1.41(pb)
114.天神娱乐 18.55(pe) 0.98(pb)
115.福能股份 18.57(pe) 1.46(pb)
116.万业企业 18.6(pe) 1.95(pb)
117.中国中冶 18.61(pe) 1.40(pb)
118.中国电建 18.61(pe) 1.80(pb)
119.老凤祥 18.7(pe) 4.34(pb)
120.青青稞酒 18.71(pe) 2.96(pb)
121.万和电气 18.73(pe) 3.09(pb)
122.亚翔集成 18.76(pe) 4.45(pb)
123.招商蛇口 18.77(pe) 2.72(pb)
124.易见股份 18.79(pe) 2.26(pb)
125.华润三九 18.81(pe) 3.14(pb)
126.开滦股份 18.82(pe) 1.22(pb)
127.中鼎股份 18.82(pe) 3.49(pb)
128.联发股份 18.9(pe) 1.56(pb)
129.明家联合 18.93(pe) 2.26(pb)
130.轻纺城 19.03(pe) 1.40(pb)
131.海峡股份 19.05(pe) 2.04(pb)
132.生益科技 19.1(pe) 4.04(pb)
133.青岛啤酒 19.15(pe) 2.63(pb)
134.星辉娱乐 19.2(pe) 3.65(pb)
135.浙江东方 19.24(pe) 2.06(pb)
136.物产中大 19.24(pe) 0.98(pb)
137.海通证券 19.45(pe) 1.55(pb)
138.靖远煤电 19.52(pe) 1.40(pb)
139.兴业证券 19.57(pe) 1.64(pb)
140.中国中铁 19.6(pe) 1.43(pb)
141.阳光照明 19.65(pe) 2.79(pb)
