标题,阅读,评论,字数,影响力,时间
601328:交通银行H股公告(建议委任董事及年度股,6486,5,1402,0,2017/6/6 19:46
交通银行拟选举何兆斌接替刘长顺出任非执行董事,7405,5,356,0,2017/6/6 18:03
601328:交通银行关于2016年度股东大会增加临时,16349,7,1536,0,2017/6/6 16:47
交行吹起冲锋号,10102,10,145,0,2017/6/6 14:29
主升浪至少也要到7元,11418,119,130,3,2017/6/5 14:11
粤水电(OO2O6O)未来国企改革是是肯定潜力______,10437,22,485,4.5,2017/6/5 13:58
随波逐流,8470,32,129,1.5,2017/5/24 10:09
交通银行，规避下跌风险的上佳选择,18223,21,264,4,2017/5/23 16:16
601328:交通银行关于交银国际控股有限公司上市,28628,5,781,0,2017/5/19 19:53
市场信心开始恢复，行情有望进入修复阶段[微笑],4140,11,195,3,2017/5/19 19:16
交通银行幕后黑衣人出彩！603000人民网逆势涨停,6640,12,101,3.5,2017/5/11 11:30
每经回应交行质疑声明：报道不存在内容失实,21519,24,579,0,2017/5/11 9:14
交通银行：高管薪酬大幅增长等报道不实,17819,19,297,0,2017/5/10 18:39
今天资金杀进保险股,2982,12,174,3,2017/5/10 16:31
交通银行澄清：“高管薪酬大幅增长”相关报道失,7246,11,701,0,2017/5/10 15:24
不是要把银行股拉上天吗？怎么现在软了,7025,30,146,3.5,2017/5/9 9:18
A股13家全国性银行排名 交通银行净资产收益率连,33713,14,16667,0,2017/5/9 1:42
三月,1699,24,114,0,2017/5/8 17:31
靠我大交行拉,3713,11,130,0,2017/5/8 15:28
几十年来落后物价百倍中国股市吃人不吐骨头原因,5297,25,136,4,2017/5/8 13:34
抢！瞎子也狂笑 业绩翻倍 季报再增长300%翻倍搖,25775,44,2385,4.5,2017/5/7 18:59
首E家银行资金存管正式上线 跻身存管平台阵营 ,1886,20,871,0,2017/5/7 16:03
这个价位的银行股，应该越跌越买，慢慢买，不要,3826,0,26,3,2017/5/5 13:39
只要银行不拉，雄安股就会一直炒下去,2720,9,128,4,2017/5/4 13:21
价值投资在中国就是个笑话！,5722,12,136,3.5,2017/5/3 23:58
建议民营老板们买点银行股,50153,69,233,4,2017/5/2 10:24
大家早上好！[兴奋]今天是2017年4月21日星期五,2600,41,185,2,2017/4/21 7:41
中国股市有投资价值吗?请问监管层，交通银行有没,23214,38,184,3,2017/4/20 22:26
6.46啊，啥时候能逃走啊，请明人指路,8719,10,148,0,2017/4/18 16:24
交通银行合资格H股股东每持500股可认购1股交银,17818,7,604,0,2017/4/10 17:54
601328:交通银行H股公告(股份发行人的证券变动,11964,12,889,0,2017/4/5 18:24
机构荐股一年，000665湖北广电还在装睡 定增价,3277,5,1671,3,2017/4/5 16:48
4.0工业革命凸起黑科技受惠的上市公司（转发）,9601,15,3115,3.5,2017/4/3 12:29
凭多年入市经验，非常看好:601328交通银行，主,86647,129,387,0,2017/3/31 13:25
交通银行年度净利增1.03%至672.1亿元  每股派息,28495,10,808,0,2017/3/28 17:23
这么简单的事也变成很难决定事的，符合规定的上,3829,52,210,2,2017/3/24 11:35
分红预案：10股转增2股派2.7元,23192,12,17,3,2017/3/21 13:58
在两大黑科技中率先得实惠的上市公司,7130,8,1374,3.5,2017/3/15 17:39
601328:交通银行H股公告(股份发行人的证券变动,21029,10,889,0,2017/3/2 18:35
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,19929,37,803,4.5,2017/3/1 10:25
交行踏上回归17元征途，冲啊!!!,17005,22,144,3,2017/2/23 10:48
16股破净 7只市净率低于0.9,32007,12,790,0,2017/2/21 16:30
交行经营＂外汇期货＂诈骗,59311,110,815,0,2017/2/21 4:21
实战炒股口决： 十四工作线，不破不走人。短线,39868,56,672,4,2017/2/20 10:31
交行的净值到底是8.29元还是7.49元？,25462,36,323,2.5,2017/2/9 20:00
2017年交通银行第三次突破6元大关，2016年两次,32023,21,252,2,2017/1/30 15:46
交鸡太贱了，长期高买低卖，累及基民。,10794,6,299,4,2017/1/23 17:58
交通银行技术图形已全面走好，开始回归净资产,61748,65,338,4,2017/1/13 13:33
11号逆势加仓交行。,11388,19,304,4,2017/1/11 17:54
《大腕》交通银行版,18378,34,740,3.5,2017/1/10 11:14
若中国估值最低的银行股不上涨，股市就没有希望,15401,19,697,3.5,2017/1/4 18:03
交行是美国的汉奸搞阴谋妄图搞垮中国金融。,76401,71,8307,0,2016/12/23 7:52
还是来玩大盘股吧,7441,11,152,3,2016/12/12 9:40
过年翻2番妖股行情，大牛胚子啊，好行情龙头带,19834,28,176,3,2016/12/11 10:25
交通银行(601328)大宗交易数据一览(12-05),13345,8,475,0,2016/12/5 18:09
601328:交通银行关于收购巴西BBM银行股份完成交,29208,15,980,0,2016/12/1 18:34
交通银行完成股权交割控股巴西BBM银行,9940,2,473,0,2016/12/1 17:50
善有善报之券商去年救市重仓中字头获利千亿级？,17953,26,317,4,2016/12/1 13:25
今天回归交行挂个号，欢迎交庄送钱入我口袋。,10728,13,267,4,2016/11/28 17:58
试论交通银行的未来估值中枢,12111,16,1846,3,2016/11/28 16:34
今天5.92全仓交通，一进去就跌[哭][哭][哭],8108,11,151,3,2016/11/28 15:21
601328:交通银行关于成功发行绿色金融债券的公,16002,6,664,0,2016/11/22 19:40
交通银行,19107,17,321,3,2016/11/22 18:27
突破心理障碍，才能超越自己。,7919,23,138,2.5,2016/11/18 14:10
601328:交通银行关于卢森堡分行开业的公告,15723,8,360,0,2016/11/17 18:58
交通银行：巴黎分行11月15日正式开业,3293,3,19,0,2016/11/15 18:08
交通银行国际化布局连落五子 海外利润占比提升,10486,4,1345,0,2016/11/12 10:35
601328:交通银行关于伦敦分行开业的公告,20911,10,365,0,2016/11/9 19:35
拓展主业务风光独好 冲刺黑科技金光灿烂（转载,23804,34,3629,3.5,2016/11/1 16:26
交行港股涨幅第一，这里还好意思打压吗,6095,15,18,2.5,2016/10/31 10:44
图解交行三季报：拨备率微涨,7769,2,88,3.5,2016/10/29 16:20
三季报业绩应该是0.75元，看看三季报净资产7.49,12835,24,195,2.5,2016/10/29 8:00
交通银行，上升有望,34987,70,191,3.5,2016/10/26 6:59
交通银行业务总监吕本献辞任,7637,3,225,0,2016/10/18 8:38
……调整充分混改交行或随时务实补涨30%以上：,13890,19,933,3,2016/10/17 17:13
停牌王 000553 沙隆达 本月17日复牌 沙隆达十大,10413,36,502,2.5,2016/10/16 17:51
交通银行获准发行不超过67300亿元绿色金融债券,7424,12,251,0,2016/10/12 19:52
601328:交通银行关于获准发行绿色金融债券的公,19446,15,788,0,2016/10/12 17:00
601328:交通银行关于召开2016年第一次临时股东,20124,8,1493,0,2016/10/10 16:37
美国股市的银行股市盈率,14630,11,1942,4,2016/10/6 9:08
交通银行：4.5亿股优先股拟于9月29日挂牌上交所,15140,10,247,0,2016/9/23 20:51
摩通：交行目标价看高至5.5元 维持评级“减持”,20914,19,349,0,2016/9/22 11:37
交通银行筹备参与不良资产证券化试点,8335,4,474,0,2016/9/20 3:57
交通银行于2015年度期初不良贷款余额达430.17亿,12746,7,804,0,2016/9/19 19:04
601328:交通银行公告,25516,6,920,0,2016/9/19 18:50
常熟银行主要股东为交行，交通银行持有常熟银行,6394,3,109,0,2016/9/19 17:26
601328快速下跌是好事！现在只能买入，不能卖出,7044,8,216,3.5,2016/9/14 20:25
交行破净太离谱了！半年报数据让人 醍醐灌顶 茅,17876,14,1043,3.5,2016/9/2 9:08
交行拟分拆交银国际在港上市 银行业务分拆或成,23405,4,880,0,2016/8/28 7:47
社保和证金公司大规模增持交行,30487,25,1262,0,2016/8/26 4:56
交行将分拆交银国际来港上市,17398,6,655,0,2016/8/25 18:44
大智慧告诉我们：九成以上股民没有大智慧。,7728,16,451,3.5,2016/8/14 10:50
不是银行股没价值，而是你被股评洗脑了。,14826,22,544,3.5,2016/8/11 11:56
601328:交通银行第八届董事会第二次会议决议公,31230,12,629,0,2016/7/29 17:09
基金抱团炒个股是中国式庞氏骗局，隐患危害大32,46993,41,333,4,2016/7/21 14:54
交通银行企业文化部原总经理胡晏斌涉嫌受贿被公,10263,4,388,0,2016/7/20 23:54
注意 东方财富经典版已将*ST金源悄然调出有色金,2608,22,158,0,2016/7/11 12:35
请教！,10992,13,211,2.5,2016/7/6 22:16
成本6.462，还有一起站岗的小伙伴吗？等钱装修,8732,13,166,1,2016/7/6 11:45
老股民喋血忠告本吧股友：绝不买万科！绝不！,8097,12,508,3.5,2016/7/6 8:11
601328:交通银行A股2015年度分红派息实施方案公,91931,12,1931,0,2016/7/5 19:03
601328:交通银行关于境内非公开发行优先股申请,28428,19,789,0,2016/6/22 18:34
5.50买入。有机会吗？,4951,29,134,2.5,2016/6/6 9:29
历史，有时就是会惊人的相似，交通银行，我主动,21972,13,390,3,2016/5/27 11:01
交通银行的分析 2016 5月 26,14031,11,389,3,2016/5/26 20:59
交通银行-低估值蓝筹股No1。,90412,201,130,3.5,2016/5/20 13:05
601328:交通银行关于召开2015年度股东大会的通,29039,6,1347,0,2016/5/12 18:56
交通银行(601328)大宗交易数据一览(05-12),35667,41,475,0,2016/5/12 18:51
没想到自己的“心头好”被贱庄这样玩法，满面泪,12968,54,255,4,2016/5/10 18:11
坚决买入交通银行，涨不起来就等分红，同意这观,7909,16,162,3,2016/5/9 11:07
交行情何以堪？每股净资产7.25元，一季度每股收,12177,16,209,4,2016/5/8 8:36
交行2016年一季度业绩实现“三稳两优”,12904,7,1502,0,2016/5/6 11:41
601328:交通银行2016年第一季度报告,29250,14,1065,0,2016/4/28 20:04
全球迅猛布局黑科技产业链仅此一家 黑科技巨头,5252,91,2543,3.5,2016/4/26 15:10
交通银行(601328)大宗交易数据一览(04-20),28151,17,491,0,2016/4/20 17:56
601328:交通银行H股-2015年年度报告,33855,5,1946,0,2016/4/19 20:02
交通银行(601328)大宗交易数据一览(04-15),35312,39,475,0,2016/4/15 18:37
看不良指标，别被银行的报表骗了,12416,10,832,3.5,2016/4/14 21:23
我发现建设银行601939比交通银行分红好，股票价,15348,32,172,4,2016/4/14 10:23
交通银行境内发行优先股申请获证监会审核通过,17546,20,315,0,2016/4/13 19:58
601328:交通银行关于境内非公开发行优先股申请,36921,29,471,0,2016/4/13 19:37
第一目标位就是攻击净资产7.20元！,7539,9,355,4.5,2016/4/13 11:51
小交的主力看看。小交自从认识了你。我就深深的,28445,48,184,4.5,2016/4/12 16:50
交通银行成就混合所有制改革第一股！,11759,41,228,3.5,2016/4/12 9:34
今天再回归我的行运之神：心头好交行。,7924,15,181,4,2016/4/11 13:02
郁闷：低于净资产30%！,6792,11,412,3,2016/4/11 9:10
一季度新增信贷或超4.3万亿 新开工项目将成全年,11465,5,2401,0,2016/4/11 1:49
今天买在山腰上了。套了。能说说什么时候给我解,40151,52,158,4.5,2016/4/8 16:30
交行企化部两负责人涉嫌受贿被查 金额或达千万,14241,10,1720,0,2016/4/8 2:30
国有银行私有化议程预计会卷土重来！！！,13979,25,411,3,2016/4/7 8:05
交通你怎么了。直接上图。看看今年的成绩。亏损,34907,27,160,4.5,2016/3/31 19:56
交通银行(601328)大宗交易数据一览(03-31),39200,27,477,0,2016/3/31 18:09
外管局扫货“风暴”扩散 中金公司建议超配股票,47514,43,1875,0,2016/3/31 3:14
交通银行去年利增1% 拟10派2.7元,23562,2,649,0,2016/3/30 13:29
交通银行行长：力争成首批实现员工持股的国有银,21164,29,935,0,2016/3/30 11:16
规模扩张稳健，资产质量压力持续,29840,4,1809,0,2016/3/30 10:15
3月30日股市早盘内参：2016年首例清盘公募基金,111438,308,3443,0,2016/3/30 0:14
港股交行才4.87港币,16461,21,145,2.5,2016/3/29 22:24
交通银行年报净利润665亿同比增长1% 拟10派2.7,36699,16,589,0,2016/3/29 20:14
国家外汇局开始炒A股？全资子公司悄然跻身两家,58082,590,1123,0,2016/3/29 20:03
601328:交通银行2015年年报,64511,5,1965,0,2016/3/29 19:45
601328:交通银行2015年年报摘要,44678,10,1479,0,2016/3/29 19:44
601328:交通银行H股公告(截至2015年12月31日止,12503,5,1248,0,2016/3/29 19:29
深化改革后首份年报 交行“三稳三进”,19040,12,2130,0,2016/3/29 17:40
港股交行目前价位4.9元港币，今日目前跌幅2.58%,5594,10,223,4,2016/3/28 11:21
218只个股连续下跌超过三日,15431,9,766,0,2016/3/24 15:40
幽灵！一个黑色幽灵！一种黑科技将在东方大国兴,12017,25,2080,3.5,2016/3/23 21:49
14只个股连续下跌超过三日,29545,7,605,0,2016/3/23 15:50
601328交通银行即将大涨！3月23日,27748,34,196,3.5,2016/3/23 7:33
1只个股连续下跌超过三日,19374,11,269,0,2016/3/21 15:56
5。60买了10000股明天涨一个点就卖！,8283,15,152,3,2016/3/21 14:58
