标题,阅读,评论,字数,影响力,时间
量支持蓝筹持久性吗？南都电源可以看看嘛,5595,37,19,3.5,2017-08-07 10:17:09
继续持仓待涨，主板成交量逐渐放大，进来的傻子,7846,60,218,2.0,2017-08-07 10:24:14
坐看招行拉尾盘护盘,5422,35,128,3.5,2017-07-28 14:50:08
妈卖批，招商银行一涨，题材股就跌，我买啥啥跌,6331,38,191,3.0,2017-07-28 10:14:28
VVV不要让一日游的创业板动摇咱们持有的信息VVV,4984,33,159,3.5,2017-07-28 05:37:16
看看银行都跌废了招行护下午夜跳,5892,33,140,3.5,2017-08-09 10:54:54
正所谓成也萧何，败也萧何，没有蓝筹股的上涨，,5944,41,222,1.0,2017-08-03 11:04:49
次新股0.98元业绩江苏银行仅此1家股价不到10块,51148,80,184,2.5,2017-04-27 21:42:38
证券时报 又一个低估值行业持续爆发 部分股票面,5553,24,1564,3.5,2017-09-14 21:32:13
护盘主力开始拉尾盘了,10059,67,130,3.5,2017-08-08 14:08:16
==奇虎360借壳中国中期,5010,14,136,3.0,2017-08-11 09:42:06
7月底天天喊哥们融卷，你融了吗,5586,26,167,2.0,2017-08-11 13:47:00
恐慌指数上天台、国家队抄底断无猜！笑看庄家辱,4620,12,33,3.0,2017-08-11 13:24:40
证监会：请执法必严！查处庄操纵股价的不法行为,15580,31,376,3.5,2016-07-28 13:35:08
招商银行完成发行金融债券120亿元,7934,11,290,0.0,2017-09-15 10:41:26
愿招行中报后创新高[鼓掌][赚大了][献花],40933,159,141,3.5,2017-08-17 11:18:40
证监会通报操纵股价的四种方式：关联账户，自买,42522,42,897,4.5,2016-09-26 09:03:52
[胜利牛]女士们先生们朋友们！战胜内心的恐惧，,5988,13,349,3.5,2017-07-23 18:27:14
银行股上涨除估值相对较低外， 另一个原因是大,60502,365,217,2.5,2017-07-12 13:03:31
揭穿价值投资的鬼话，如果真要价值投资，招商银,43299,110,619,3.0,2017-06-27 21:25:20
核心内参泄露（002199东晶电子）要大涨,8793,68,291,3.0,2017-09-11 17:00:24
招商银行(600036)融资融券信息(09-11),4263,16,548,0.0,2017-09-12 07:37:42
二十倍冻结乐视资产，让人寒心！,6293,12,137,4.5,2017-09-12 08:27:19
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,81041,96,374,4.5,2016-03-22 12:48:53
招商银行(600036)大宗交易数据一览(09-12),14890,12,465,0.0,2017-09-12 18:17:28
[满仓]险资定调四季度投资策略 提前“埋伏”十,4488,2,359,3.0,2017-09-10 09:08:04
招商涨到100元，兴业跌倒10元！,4252,9,144,3.0,2017-08-08 09:10:20
独自做决定，独自担责任。,38314,378,142,0.0,2017-09-01 15:51:12
陕西煤业三天之内应有涨停！欢迎光临！！,4657,13,847,0.0,2017-06-19 21:45:20
招商银行(600036)大宗交易数据一览(09-04),18439,20,469,0.0,2017-09-04 18:38:41
招商银行(600036)大宗交易数据一览(08-31),19293,7,471,0.0,2017-08-31 19:16:31
招商银行(600036)大宗交易数据一览(08-30),15159,9,471,0.0,2017-08-30 18:26:00
招行私行海外布局今年连下两城  香港中心正式开,12995,12,646,0.0,2017-08-28 19:15:17
