标题,阅读,评论,字数,影响力,时间
散户必看炒股格言，现金策略！     孙子云：先,43342,59,633,4.0,2017-02-25 13:29:20
在这种宏观背景下,14212,91,141,0.0,2017-07-11 10:53:29
[微笑][微笑],18082,26,8,3.5,2017-07-06 19:40:22
基金抱团炒个股是中国式庞氏骗局，隐患危害大54,21846,37,333,4.0,2016-07-21 15:06:28
布局有色、黄金类个股,68065,78,1011,3.5,2016-11-27 15:34:31
感谢主力在31以上将傻逼散户套死2000万股了，千,23522,9,247,3.5,2017-07-17 10:52:53
600547:山东黄金独立董事关于公司发行H股并上市,71657,7,201,0.0,2017-07-20 15:59:28
600547:山东黄金第四届董事会第四十次会议决议,43604,8,1805,0.0,2017-07-20 15:57:26
山金会到25左右，千万不要买。,11574,28,140,4.0,2017-06-23 23:17:25
仙命女王：黄金原油,35981,229,189,0.0,2017-05-04 09:23:32
回忆西杭,4372,19,118,0.0,2017-07-14 21:04:07
抗议山金耍大牌,8794,10,122,4.5,2017-07-03 21:28:53
600547:山东黄金关于终止筹划非公开发行股票事,131382,35,1924,0.0,2017-05-17 18:34:33
日线收十字星,10514,41,125,0.0,2017-07-08 05:17:07
下半年山金要是不崩盘，朕送你黄金一两,18844,18,133,4.5,2017-07-02 12:54:50
用力砸啊收盘前买点,3647,11,128,1.0,2017-03-15 13:48:58
金要涨了,3514,25,118,0.0,2017-01-09 14:56:34
山金特大利好半年上50元！！！！今天是买入黄金,6106,35,168,0.0,2017-06-14 09:56:58
看看金贵银业怎么走的！！,4425,2,134,2.5,2017-06-30 13:41:50
对“金”的一周回顾和展望,7008,8,1305,2.5,2017-07-01 14:11:01
【联讯有色公司点评】山东黄金：最优黄金资源龙,104514,18,1971,0.0,2017-03-30 18:19:02
周二坐看天齐拖怎么唱,4474,9,130,3.0,2016-08-22 13:19:30
600547大家互相转告锁仓做长线300419一600533一,6118,24,184,4.0,2017-07-01 19:03:50
开始技术性调整。盘中多,3310,31,132,0.0,2017-01-07 10:41:09
600547:山东黄金关于收购阿根廷贝拉德罗(Velade,73459,30,670,0.0,2017-07-03 15:40:02
真的想骂人啊！就你一绿帽子！,2306,13,138,3.5,2017-05-19 09:53:14
再谈中国建筑（601668）是否该道再见 (附黄金概,33559,10,1548,0.0,2016-12-21 20:21:00
联储加息前现不祥之兆 黄金企稳再次等待升空,2792,34,158,1.5,2017-06-12 18:41:13
三点三结论：1.社会去产能任重道远2.股票发行，,3664,34,214,2.5,2017-06-12 17:48:16
买入的人就像赴汤蹈火上战场，卖出的人从阵地突,6298,37,232,0.5,2017-06-13 10:22:01
房价蹭蹭上涨，普通老百姓究竟是该买房产还是买,12673,18,505,1.5,2016-08-23 09:23:07
一线城市地主股遭资金哄抢 安邦系增持金融街逼,4698,12,392,3.5,2016-08-21 13:15:02
大家不要买山东黄金，进入垃圾时段。不要听股吧,3103,10,191,2.5,2016-08-22 11:46:23
能上涨吗,3996,17,118,1.0,2016-08-22 10:34:12
跟着大帝再次抄底，全仓杀入，目标200元。,8169,16,21,3.0,2016-08-22 10:44:05
今天可以买山东黄金！,15981,156,130,2.0,2016-08-23 09:12:57
金光,4223,13,147,3.0,2016-08-22 16:12:27
大盘暴跌它才会涨！,4647,13,128,2.5,2016-08-22 10:17:50
周一巨阳包数阴,18643,21,187,4.5,2016-08-20 17:01:02
是否,3543,17,116,1.0,2016-08-08 13:12:09
黄金股的中级调整正在进行,9877,10,258,2.5,2016-08-22 19:29:49
600547:山东黄金关于召开2017年第三次临时股东,27626,10,1597,0.0,2017-06-27 16:55:56
山东黄金 ，今天压力位 41.46 ，支撑位 39.84 ,64456,81,393,0.0,2016-11-16 09:25:21
实在看不下去很多人乱说。回回海一句话解释。 1,43871,50,350,2.5,2017-05-16 17:14:57
股市是单向盈利，只有上涨了才可能获利，股市不,34053,100,231,0.0,2017-04-20 07:34:11
600547:山东黄金2017年第二次临时股东大会决议,42160,8,1347,0.0,2017-06-19 19:26:19
符合预料，不符期望。 原来的帖子对涨跌都有预,11188,14,646,2.5,2017-05-20 17:18:35
黄金股涨得怀疑人生！美股崩溃了今晚！,14919,35,146,3.5,2017-06-12 14:07:09
山东黄金怎么样？,18821,32,128,1.0,2015-10-27 11:19:08
600547:山东黄金关于收购阿根廷贝拉德罗(Velade,77378,31,1018,0.0,2017-06-16 16:03:52
2017谨防37.5之上诱多。,25151,50,574,4.0,2017-02-15 01:58:31
几件小事的补遗,9364,14,2566,2.5,2017-06-09 19:44:46
急跌，弱反弹。再跌，起稳，杀跌，进场～  再过,3799,18,169,1.0,2017-05-25 17:49:11
山东黄金近期暴跌之谜 别给庄家利用,31327,22,2905,0.0,2017-05-26 19:19:21
600547:山东黄金2017年第二次临时股东大会会议,43617,10,1664,0.0,2017-06-12 15:55:32
山金的勇士们，冲冲冲买入等待H股公告定上38元,5824,21,156,0.0,2017-05-26 09:53:26
600547:山东黄金第四届董事会第三十八次会议决,50382,16,1892,0.0,2017-06-01 16:02:52
美国三大股指,2191,12,122,0.0,2017-01-06 12:48:17
就你这个傻股不涨,6768,13,126,0.0,2017-06-07 13:23:57
狗庄你还洗盘？,7161,12,124,2.0,2017-06-07 13:23:47
这股坑爹啊,5088,13,120,1.0,2017-06-07 13:19:51
祈求一个平开的机会,10760,8,139,4.5,2017-05-18 09:08:58
黄金多头川普被捕,9959,6,149,4.5,2017-05-18 16:30:38
27元来抄底,14059,12,120,4.5,2017-01-08 22:15:02
28块97卖了，不知对错？,10941,17,136,0.0,2017-06-05 13:13:55
明天跌多少？,15667,39,125,3.5,2017-05-18 23:35:14
山东黄金：香港子公司拟向境外银行贷款12.6亿美,37022,6,261,0.0,2017-06-01 16:37:13
不跌破28能转势的话,15276,22,133,4.5,2017-03-11 20:37:32
明天三金爆涨。,24110,164,124,0.0,2017-05-30 17:41:55
控告GRD山东黄金,11302,16,165,0.0,2017-05-19 14:55:28
600547:山东黄金关于公司股票复牌的提示性公告,174639,100,1140,0.0,2017-05-17 16:47:19
600547:山东黄金2016年年度权益分派实施公告,93250,28,1751,0.0,2017-05-25 18:40:54
啥时候到20？,7557,12,124,0.0,2017-05-28 17:28:48
这栋别墅外观怎样,7471,26,126,0.0,2017-05-29 09:46:48
600547:山东黄金重大事项停牌公告,179914,42,486,0.0,2017-04-05 20:40:36
600547:山东黄金关于终止筹划非公开发行股票事,101951,37,1783,0.0,2017-05-16 16:01:42
著名经济学家沙黾农先生在他的博客中写道：“60,7498,16,1757,3.5,2017-05-26 14:45:52
早清仓，别彷徨！ 十年炒股两茫茫，先亏车，再,8268,11,331,0.0,2017-05-26 10:28:14
山东黄金(600547)大宗交易数据一览(05-26),39001,13,478,0.0,2017-05-26 18:15:30
在玩什么呢？没气了吗？,4431,14,132,2.5,2017-05-26 14:40:34
宁波港601018重大事项复牌联手山东,60869,84,91,4.0,2016-04-07 11:17:46
50.98元就是2016年的最高点,30864,47,179,3.0,2016-07-28 12:37:22
山东黄金复牌暴跌之谜 山东黄金年报时公告发现,20940,15,2938,0.0,2017-05-24 22:08:47
请大家善意赐教          山金到座了吗？？ 为,19895,36,239,4.0,2017-05-22 17:21:20
山东黄金(600547)大宗交易数据一览(05-23),53234,13,478,0.0,2017-05-23 18:48:13
[成交]IPO常态化，养老金入市长期化，漂亮50永远,3136,3,931,3.5,2017-05-21 22:21:44
紧急通告：立即抢购处于历史低价的金钼股份6019,24869,42,294,3.0,2016-02-05 10:22:55
山东黄金终止定增不影响收购阿根廷金矿,57413,26,1212,0.0,2017-05-17 04:03:07
600547:山东黄金出售资产暨关联交易公告,23018,14,1831,0.0,2016-10-27 22:22:12
山金          从50.98暴跌至今天的30.3,28657,16,182,4.0,2017-05-21 00:39:31
600547:山东黄金关于筹划非公开发行股票事项进,71095,23,1572,0.0,2017-05-04 16:00:50
做山金这种长线股，最关键……,19021,23,374,4.5,2016-10-10 23:57:27
底部确认,12591,22,159,4.5,2017-03-23 14:40:06
黄金人民币报价三年内到500元之上！那时山东黄,44784,58,663,1.5,2016-09-04 13:55:59
三十多元一股，每股才分一毛钱?再跌一半都太贵,8779,40,156,0.0,2017-05-19 17:09:38
服自己啊，竟然上午没卖，下午不好看了，竟然停,15694,22,173,3.5,2017-05-18 16:09:58
我朋友说这次大盘能跌到800点为什么有些股民不,4433,10,162,2.5,2017-05-07 16:16:09
山东黄金36的本5000股何时能解套啊？此股还能持,20478,12,83,0.0,2017-05-19 15:55:09
白宫政治危机致6月加息概率大跌  伯南克称特朗,8080,9,231,4.0,2017-05-19 14:09:23
特朗普深陷弹劾危机 金价“火箭式”飙升  2017,1655,54,206,3.0,2017-05-19 09:27:16
山黄，忽悠式收购，很黄很暴力。,4884,27,140,2.0,2017-05-18 16:00:47
山东黄金(600547)融资融券信息(05-18),17372,6,526,0.0,2017-05-19 07:43:17
34.3卖，32.51买回。,8097,23,138,2.5,2017-05-18 14:19:40
等跌停了。，,2507,1,122,3.0,2017-05-19 13:52:23
黄金之轮回,25660,47,1048,2.5,2017-04-29 11:53:10
我的成本39.9[哭][哭]加仓了还这么高,12610,16,146,3.0,2017-05-18 11:14:58
山东黄金(600547)融资融券信息(05-17),18868,5,480,0.0,2017-05-18 07:44:12
山东黄金终止定增收购阿根廷金矿,53695,5,886,0.0,2017-05-17 10:52:16
最新数据：我国从去年10月至今黄金储备已停滞,13574,18,206,2.0,2017-04-07 16:49:07
符合预期:提前半年，看空黄金，看多铜铝大宗商,17889,20,521,4.5,2017-01-14 12:13:11
山东黄金：明天复牌了！,13041,12,325,3.5,2017-05-17 22:33:02
停牌当天金价最低1243.8USD,18316,19,201,4.5,2017-05-17 18:15:47
请大家稍安勿躁，重点关注,23702,8,506,2.5,2017-04-14 16:43:01
估计还得停一个月,10915,5,229,1.5,2017-04-25 15:41:12
请记住下星期15号投议案3反对一票！！要求复牌,23030,24,221,3.0,2017-05-12 18:39:25
600547:山东黄金关于召开终止筹划非公开发行股,57240,15,1204,0.0,2017-05-16 16:01:42
山东黄金周三若复牌至少涨20%,40876,42,359,1.5,2017-05-15 22:42:48
600547:山东黄金《关于筹划非公开发行股票事项,89157,44,701,0.0,2017-05-15 21:03:03
山东黄金：终止定增收购阿根廷金矿 尽快启动H股,38802,16,306,0.0,2017-05-16 16:19:28
山东黄金终止定增收购阿根廷金矿 称将尽快启动H,50884,8,445,0.0,2017-05-16 16:39:41
现在最有潜力的黄金股是紫金矿业,12479,12,269,3.0,2017-03-20 11:06:12
明天开始数板！,11485,9,124,3.5,2017-05-16 16:29:13
600547:山东黄金2017年第一次临时股东大会决议,49213,6,1216,0.0,2017-05-15 20:58:41
重磅！山东黄金将斥资9.6亿美元收购巴里克金矿,40312,11,649,0.0,2017-04-07 05:50:20
600547:山东黄金关于筹划非公开发行股票事项进,70868,18,1622,0.0,2017-05-11 15:37:15
山东黄金短线变长线，做好当股东的心里准备哦！,16903,5,139,2.0,2017-05-10 22:37:46
600547:山东黄金2017年第一次临时股东大会会议,40330,19,1707,0.0,2017-05-09 18:44:09
≈华泰证券+美国金融科技企业颠覆“金融系统”,315170,1092,1548,4.0,2016-05-07 05:40:16
啥时候复盘，给个信啊,6808,6,130,0.0,2017-05-08 11:54:11
仰天大笑出门去！我辈岂是蓬蒿人？,104101,164,142,4.0,2016-03-08 07:54:02
me OS的市场份额达到58%。,5132,17,142,0.0,2017-05-03 16:07:02
老子打电话问的，后天复牌，傻逼们竟然不相信,26705,26,152,0.0,2017-04-11 14:00:43
伟大的山金，四月后走势早知道,26506,13,129,4.5,2017-03-31 21:51:20
600547:山东黄金关于筹划非公开发行股票事项进,78940,28,1501,0.0,2017-04-26 16:09:13
明天山金涨停,22771,16,155,4.5,2017-04-04 12:13:19
今晚开战打流氓，黄金持续暴涨,29517,17,74,4.5,2017-04-09 18:26:03
2017年全仓买进黄金股的九大理由：,103180,96,634,3.0,2016-12-30 07:19:38
山东黄金一季度利润增6成 资产重组注入公司业绩,48636,4,419,0.0,2017-04-26 18:10:17
财神点金：金价跌破1280关口  后市只看空,10436,23,441,0.0,2017-04-19 08:45:22
600547:山东黄金关于筹划非公开发行股票事项停,128074,42,1245,0.0,2017-04-19 16:24:23
600547:山东黄金:山东省国资委关于贯彻落实《国,54310,9,377,0.0,2017-04-24 19:12:29
600547:山东黄金关于非公开发行股票审批事项的,59868,13,958,0.0,2017-04-24 19:12:21
600547:山东黄金2013年公司债券(第一期)受托管,31050,10,343,0.0,2017-04-21 17:06:40
强烈要求19号之前复牌。支持的顶一下,23013,17,130,3.5,2017-04-14 11:52:02
山东黄金将超过茅台成为两市最贵的股票。中国人,26276,7,317,1.5,2017-04-08 16:56:38
简单说说局势,12042,13,1149,2.5,2017-04-04 22:39:36
600547:山东黄金关于筹划非公开发行股票停牌进,170950,45,745,0.0,2017-04-12 15:42:29
复牌时美黄金只要在1280以上，山黄三个板至少的,21274,17,136,1.5,2017-04-17 23:05:43
疯狂涌出买黄金,2393,13,124,2.0,2016-06-24 15:29:11
今个老百姓呀真丫真呀真高兴！,36656,68,138,3.0,2016-04-08 16:52:43
祈求别再延期,17139,20,509,0.0,2017-04-07 12:30:54
奶奶的，到底怎么说的了东方财富尊敬的……，您,11963,8,291,3.5,2017-04-17 23:14:07
