标题,阅读,评论,字数,影响力,时间
[买入]光大证券一个月内见到31元,16494,28,81,3.0,2017-09-20 00:04:29
光大--全球顶级抗癌药，中国拥有自主研发产权,16338,18,2608,0.0,2017-05-12 22:18:13
光大证券(601788)融资融券信息(09-27),4053,5,508,0.0,2017-09-28 08:02:30
王宝庆辞任光大证券副总裁,8288,46,167,0.0,2017-09-27 10:47:02
光大.分享 皇城金枝玉叶 却是贱奴使女身价,9588,20,218,4.0,2017-09-11 08:59:30
王宝庆辞去光大证券副总裁职务,11329,12,305,0.0,2017-09-26 19:49:43
大三浪: 国家队掘金哪些超跌题材股？,5367,8,1413,4.0,2017-09-20 13:22:07
光大证券(601788)融资融券信息(08-28),3709,6,540,0.0,2017-08-29 07:59:18
光大证券(601788)融资融券信息(09-14),4127,6,522,0.0,2017-09-15 07:47:54
买股票最基本的原则,5115,18,144,0.0,2017-09-09 16:35:11
光大证券(601788)融资融券信息(09-12),4952,5,538,0.0,2017-09-13 07:48:48
券商股值得逐步全仓买入和拼命捂住的根本原因,52178,39,814,2.5,2017-05-11 18:58:27
铁心陪股友走完光大证券从现价到30元全程,58323,65,322,2.5,2017-04-27 10:09:03
缩量下跌放量上涨明显主力资金进场信号，一个“,22346,35,210,3.0,2017-05-27 08:37:05
立贴为证：人造慢牛国家意志！大国崛起大牛启动,20620,28,206,3.0,2017-03-23 12:17:42
光大证券(601788)融资融券信息(09-22),7750,42,536,0.0,2017-09-23 07:48:08
我操，居然10毛钱都有人在t＋0。真是活该被套,5621,19,156,0.0,2017-08-16 14:17:34
管理层得不到市场认可，除非换人,5627,24,126,1.0,2017-09-08 09:34:41
光大证券(601788)大宗交易数据一览(09-11),17664,26,1756,0.0,2017-09-11 19:18:00
光大证券现21笔大宗交易 被同一家营业部卖出9.2,20512,15,275,0.0,2017-09-11 20:53:44
致瑞传媒IPO被否：光大证券保荐 实控人曾占用公,12644,10,1339,0.0,2017-09-11 15:51:02
光大证券(601788)融资融券信息(09-21),4521,5,536,0.0,2017-09-22 07:47:09
立贴为证：大国崛起大牛市启动:第一目标剑指340,28227,37,524,3.0,2017-03-31 19:53:12
不管别人怎么涨，这货每天都按部就班的往绿色区,4810,22,144,1.0,2017-09-08 11:02:00
光大证券(601788)融资融券信息(09-20),4176,6,528,0.0,2017-09-21 07:47:29
光大证券完成发行30亿元1年期4.88%公司债,7645,7,361,0.0,2017-09-20 18:46:38
光大证券(601788)融资融券信息(09-19),2878,2,514,0.0,2017-09-20 07:47:58
奇怪的大宗交易？初步算下，近九亿人民币，全是,7044,8,259,3.0,2017-09-18 23:36:36
我真的快撑不下去了，去年十一月，到目前，力排,6785,18,218,1.5,2017-09-15 14:28:41
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,19476,36,764,4.5,2017-04-07 14:03:46
光大证券一个月内见到31元,10919,16,77,3.5,2017-09-15 19:51:11
光大证券8月净利3.4亿人民币 增72%,17333,8,197,0.0,2017-09-08 09:30:02
光大证券(601788)融资融券信息(09-15),4598,13,534,0.0,2017-09-16 07:48:11
光明就在眼前：市场已进入周线量级别的反弹趋势,19528,74,327,0.0,2017-05-30 11:36:41
