标题,阅读,评论,字数,影响力,时间
试问谁能理论过骗子呢，看见骗子就是一顿锤，大,9656,64,230,3.5,2017-05-22 15:14:31
理性分析白富美守护神为什么是骗子,9859,65,362,0.0,2017-05-25 12:34:07
白富说守护神打脸打的他啪啪啪的就是骗子一个,10797,69,212,0.0,2017-05-03 14:25:12
白富美守护神我就跟你这骗子对着干了,13905,82,186,0.0,2017-05-11 13:51:40
看到白富美守护神这骗子在那自吹自擂，还恩人，,8208,59,225,0.0,2017-05-23 08:10:52
白富美守护神，你个骗人的你怕我什么？把我设置,7266,48,173,0.0,2017-05-26 08:10:28
白富美守护神打这骗子的脸打的他啪啪啪的响,9977,56,210,0.0,2017-05-03 14:26:54
上海老梁VS白富美守护神,8478,48,136,0.0,2017-05-25 10:08:36
白富美说长期不看好房地产,7202,54,130,0.0,2017-05-25 09:48:30
白富美守护神好好乖乖的不要出来骗人，不然哥就,2769,15,176,0.0,2017-06-13 14:26:03
白富美守护神你除了老叫别人看你以前的贴子就没,8571,56,165,0.0,2017-05-23 08:34:17
大家记住一点,10755,67,147,0.0,2017-05-05 10:01:44
看看白富美的贴，又回复叫大家卖了，他不会错.,5034,21,171,0.0,2017-05-31 14:52:10
如果这个群没有那几个常客，估计就会涨了，天天,4652,36,178,0.0,2017-06-13 10:13:11
老梁早上说今天大阳，收盘说主力跟大家捉迷藏，,11552,44,201,2.5,2017-05-31 18:14:13
这吧里只要不再有骂老梁和白富美的贴了，就安静,7299,29,191,0.0,2017-05-25 22:13:34
Ladies and gentlemen 路过不要错过,8105,31,210,0.0,2017-05-26 15:41:51
第一创业已涨了8个多点,9014,44,149,3.0,2017-05-25 14:03:06
东兴证券和第一创业获准设立分支机构,68221,15,278,0.0,2017-06-08 19:24:13
601198:东兴证券2016年年度股东大会文件,16540,5,1760,0.0,2017-06-07 18:23:58
601198:东兴证券2017年5月财务数据简报,28025,8,471,0.0,2017-06-06 18:23:15
又补仓了,12138,21,58,0.0,2017-04-28 14:53:50
上海老梁那个傻逼又在吹牛逼了，说有机构威胁他,13088,28,225,2.5,2017-05-20 07:05:14
上海老梁  你好牛逼啊,9706,19,399,0.0,2017-05-26 16:09:55
601198:东兴证券公司债券2017年跟踪评级报告,18720,7,1488,0.0,2017-05-31 16:19:42
601198：利空出尽，加快低吸,3777,13,135,2.5,2017-05-25 00:34:42
现在不是底部，下半年东兴看到18元，6月2日,24938,37,236,3.5,2016-06-02 23:23:08
上海老梁那个傻逼终于骗不下去了，说要关闭微博,4699,7,197,2.5,2017-05-24 10:27:46
超短王者之节后战术贴！短期最后一贴！散户朋友,17668,43,508,0.0,2017-04-04 23:14:24
东兴证券(601198)盘中即时分析12/24,355825,410,1234,3.5,2015-12-23 18:24:42
完了上海老梁傻逼一说话开盘就大跌,8633,24,134,3.5,2017-05-21 22:12:28
我说上海老梁是个人渣大家同意么！      看看今,17706,107,324,0.5,2017-05-03 19:44:31
601198:东兴证券首次公开发行限售股上市流通公,40558,11,1849,0.0,2017-05-23 18:54:16
恭祝2017年东兴证券全体高管后代活不过22岁,27981,74,156,2.0,2017-02-15 13:30:01
等你18.5以下满仓,29944,66,186,2.0,2017-03-30 08:55:08
东兴解禁：危与机仅在咫尺之间,17055,52,126,0.0,2017-05-19 13:29:59
东兴证券(601198)大宗交易数据一览(05-19),49800,10,477,0.0,2017-05-19 18:28:01
上海老梁那个二逼又在画大饼呢，说3016就是大底,6963,12,192,2.5,2017-05-17 17:47:23
大王来寻票，国九哥CDS，同蔚祥为同一个人,14193,50,195,0.0,2017-04-23 23:01:30
↔601688华泰证券+互联网金融+绩优成长蓝筹股,442920,1222,1645,3.0,2015-09-10 06:17:37
东兴证券：解禁是造谣，加速满仓杀进！,10055,12,199,2.5,2017-05-16 23:21:32
定增增厚资本，股东优势明显,30668,7,2177,0.0,2017-04-25 23:07:44
老梁是劵商股的大功臣,8858,14,169,0.0,2017-05-08 07:37:00
东兴证券(601198)大宗交易数据一览(05-10),43813,14,480,0.0,2017-05-10 18:15:40
发一贴，让上海老梁大傻逼再升升热度，让他别再,8009,31,166,2.0,2017-05-08 11:48:40
601198:东兴证券2017年4月财务数据简报,43058,10,471,0.0,2017-05-05 18:39:18
有意思，提前止跌了，可能券商龙头就是他,11750,17,148,3.5,2017-05-05 14:01:01
讲讲自己被老梁所骗的经过  转西部证券吧,5180,10,1138,0.0,2017-05-07 23:41:01
老梁那个傻逼不知道今天收盘又说什么，哈哈哈,6460,24,152,2.5,2017-05-05 09:56:22
敢不敢量大点？张五个点我就卖给你100手,2718,0,150,3.0,2017-05-05 14:18:50
老梁，东兴想你了，你曾经的二妹啊，现在不问了,7837,31,205,2.0,2017-05-03 15:43:43
建议大家向北京的证监会举报本股票机构常年做空,16208,28,1059,2.0,2017-02-15 10:34:23
上海老梁又在微博里面说券商板块逆势走强呢，殊,12513,34,263,2.5,2017-04-24 17:05:56
上海老梁中午又发出怒吼，下午券商要带领大盘反,8924,24,205,2.5,2017-04-27 14:48:21
下跌中继，不要信人间四月天，也不要信最美是五,5849,16,156,2.5,2017-05-02 17:23:43
开始涨了,14224,42,129,3.5,2017-04-21 22:28:25
小学生的水平又发帖了，不会看盘就不要害人,4467,20,150,2.5,2017-05-02 14:41:13
601198:东兴证券:华融证券股份有限公司关于“14,25855,4,1078,0.0,2017-05-02 16:12:01
老狗  你又蒙错了,7366,10,345,0.0,2017-04-27 10:42:02
辩证看待强控的“金融风险”，银行在委外上，在,5507,5,400,3.0,2017-05-01 14:13:25
20块钱加仓的“上海老梁”，赚的不老少了吧！,44179,230,152,2.0,2017-04-07 08:37:31
妈的老梁又说5月3300了，nnd之前说3月3300，最,15126,102,200,2.0,2017-04-21 14:09:05
为什么还不发复牌公告？,20734,15,140,2.0,2015-11-16 22:24:01
老狗最近也不出来吹牛逼了。。,4227,10,150,0.0,2017-04-24 21:00:04
股东协同强化，资本实力扩充,11382,5,1576,0.0,2017-04-25 09:44:49
超短王者下周重要机会提示贴，本周最后一贴，赠,10459,35,168,0.0,2017-04-21 15:23:04
东兴证券拟10派1.50元,33504,8,324,0.0,2017-04-24 10:20:27
老梁手里还会有东兴吗？用你们的脚趾头想想吧！,8226,23,160,0.0,2017-04-19 12:44:58
紧急告示：立即抢购处于历史低价的金钼股份6019,42109,48,263,2.5,2015-12-29 12:57:52
2016年业绩快报点评：业绩优于行业平均水平，“,18565,9,1060,0.0,2017-04-21 21:13:08
