标题,阅读,评论,字数,影响力,时间
601229:上海银行关于上海尚诚消费金融股份有限,31930,7,567,0.0,2017-08-15 18:33:20
601229:上海银行关于董事任职资格获监管机构核,22045,7,544,0.0,2017-08-09 18:48:12
601229:上海银行关于收到《中国证监会行政许可,36570,12,565,0.0,2017-08-08 18:14:31
601229:上海银行关于优先股发行方案及公司章程,51043,36,655,0.0,2017-07-27 19:00:11
601229:上海银行2016年年度权益分派实施公告,33261,7,1537,0.0,2017-07-11 18:26:20
601229:上海银行2016年年度权益分派实施公告,210365,25,1537,0.0,2017-07-11 18:26:20
601229:上海银行监事会五届一次会议决议公告,21081,6,790,0.0,2017-06-23 19:36:28
601229:上海银行董事会五届一次会议决议公告,33495,8,1793,0.0,2017-06-23 19:36:28
601229:上海银行独立董事独立意见,9930,4,542,0.0,2017-06-23 19:36:28
601229:上海银行2016年度股东大会决议公告,74866,10,1259,0.0,2017-06-23 19:35:21
601229:上海银行关于召开2016年度股东大会的提,50841,15,1362,0.0,2017-06-15 18:40:46
601229:上海银行2016年度股东大会会议材料,47692,23,1708,0.0,2017-06-12 19:11:40
601229:上海银行关于选举产生第五届监事会职工,24290,12,788,0.0,2017-06-05 19:05:53
谁恶意做空，婊子请回答？,6012,17,128,3.0,2017-03-29 15:13:46
上海银行(601229)融资融券信息(08-11),7293,7,518,0.0,2017-08-12 07:47:58
社保加仓: 怎么跌的就会怎么涨上去（荐股）,6069,5,1015,4.0,2017-07-27 17:39:27
时间之窗明天开启，看看老夫水平 如何~ @ ~,8930,14,77,3.0,2017-07-03 21:04:39
2017.6.23号：据说上海银行有QF11？我喜欢。,25311,69,167,3.0,2017-06-23 10:22:47
明天不抄底，日后必遭天谴——穷困一生~~,8389,20,132,3.0,2017-08-03 17:28:21
上海银行真是奇葩！,8828,10,149,4.0,2016-11-24 16:09:03
上海银行(601229)融资融券信息(06-06),8376,5,502,0.0,2017-06-07 07:45:07
上海银行(601229)融资融券信息(06-02),10637,5,472,0.0,2017-06-03 07:47:58
上海银行(601229)融资融券信息(05-17),8349,6,466,0.0,2017-05-18 07:48:43
[金爷怒吼]一醉舞东方杂种全家不死绝，上海银行,8031,30,187,3.5,2017-08-03 15:14:51
热烈欢迎仙灯回归上银吧！！！,7574,16,138,3.0,2017-08-01 17:05:54
此时不满仓，难道 等天雷劈乎~~ ~？,6938,14,19,3.0,2017-08-03 13:48:12
上海银行你看跌何不回家休息 ？,68440,243,421,0.0,2017-06-10 09:04:32
上海银行上市告诉了我们——,25852,30,69,3.0,2017-01-07 22:01:00
上海银行非公开发行200亿元优先股获批,26042,15,435,0.0,2017-08-01 13:20:31
今天不涨停大家去上海银行营业厅拉屎,4060,5,144,2.5,2017-08-01 07:36:04
明天不见长阳，老夫决定金盆洗手——从此 醉江,15915,24,80,3.0,2017-07-20 21:23:56
上海银行大股东全家人死光。坑人,10834,21,140,0.0,2017-07-20 10:07:12
上海银行2亿优先股发行获银监局批复,30929,12,268,0.0,2017-07-28 03:44:02
仙神明灯，尼玛贵姓吖？！！,10949,24,13,3.0,2017-06-19 09:58:12
一季度现金流为何是-3.92元？这是什么情况？请,12376,14,176,3.0,2017-07-17 00:51:07
现在开始让我们见证上银慢慢填权之路,9490,12,146,2.0,2017-07-25 16:27:22
资产质量企稳 突破增长瓶颈可期,51145,8,961,0.0,2017-04-25 08:56:39
瘪三银行再次赤裸裸散发出A股市场的所有无耻,9504,23,83,3.0,2017-03-13 22:01:50
[爱心提示]:上海银行二次暴力满仓抄底的时机又,12117,15,851,4.0,2017-05-03 13:17:20
上海银行 铿锵三人行、、、,14725,26,74,3.0,2017-01-07 22:05:00
22地成功建仓上银出来举举手！！！,18101,32,139,2.0,2017-05-25 15:43:51
运作上银三万股，从最多亏十五万到今天清仓赚八,15523,20,198,2.0,2017-07-17 21:03:17
上海银行(601229)融资融券信息(04-18),8063,6,466,0.0,2017-04-19 07:48:41
无锡银行欢迎神灯先生的光临。,9219,23,165,4.0,2017-06-07 14:17:43
除权价 20.43元,16044,22,132,0.0,2017-07-19 15:18:46
除权除息价的计算公式::一千股:收盘价减分现金,20731,6,223,4.0,2017-07-19 19:27:25
上海银行将复制牛股走势，收复新高，坐等吃肉了,9934,6,97,0.0,2017-06-07 17:16:11
上海银行为什么会成为6、7月银行主力 股,1366272,38,212,2.0,2017-05-28 22:29:27
我是对的，没有抛错。,20367,30,130,3.5,2017-06-18 11:06:01
明天是最后出局机会！,10739,18,130,3.5,2017-07-18 18:15:29
张家港行成中国第一高价银行股是谁的耻乳,20330,28,166,2.0,2017-03-04 00:26:46
上海银行的功效：兑新 保值 增值（每年分红高于,6686,4,159,3.5,2017-07-12 10:44:53
[敬请投资者注意]：女士们先生们朋友们！财富号,15108,19,392,4.0,2017-06-24 06:32:27
上海银行：今日跌了1.12%,11272,36,170,4.0,2017-05-18 17:29:40
上海银行信用卡经营存漏洞 17人各留3万坏账玩隐,24804,15,989,0.0,2017-07-13 11:08:22
今天全部卖出上海银行（有图有真相）,12465,24,144,2.0,2017-07-11 14:13:47
跌破26元，即爆仓。欢迎围观。,41541,119,140,4.5,2016-11-24 18:13:46
张家港农村信用社竟然26.83元超过上海银行啦,61741,250,23,3.0,2017-03-16 08:38:34
传说中的老鸭头惊现上海银行！,18776,17,138,3.0,2017-06-23 16:54:30
上海银行内动力强劲,15542,19,472,3.5,2017-06-21 11:48:26
提前庆祝上海银行明天突破25元，提前庆祝股市第,10586,22,198,3.0,2017-06-21 15:37:20
下周一上银涨停怎么办，今天买不买？？,30518,43,135,2.0,2017-01-12 13:23:35
呵呵 还有7万股融券的傻叉? 天哪!,8493,35,180,3.0,2017-06-23 09:21:06
上海银行：去年净利增一成 拟10转3股派5元,43127,44,236,0.0,2017-04-23 15:55:22
