标题,阅读,评论,字数,影响力,时间
那个啥 闲庭信步YW3...自己不赚银子怪 散户买多,7668,26,164,3,2017/9/4 20:01
一大批千万亿万大户守在浦发兴业等吃落地桃子，,8347,10,144,4,2017/9/4 19:28
千万大户在浦发特别多，小蟑螂你不该去奏热闹,6628,11,134,4,2017/9/4 19:22
涨一分钱也不错啊。看我的。,7934,27,166,4,2017/9/4 16:41
真是见鬼了，平安银行这垃圾都涨上去了，这傻强,9074,35,172,3,2017/9/4 15:00
巴菲特5分钟看懂财报就买，有人多年看不懂,5893,21,243,4,2017/9/4 11:28
难不成这个月也不用看浦发？12.72,10240,18,176,4,2017/9/4 11:07
浦发银行对公业务饥不择食。连乐视这种烂货也要,2944,21,97,3,2017/9/3 22:12
笑谈浦发与招行2017年中资产质量,30907,56,3794,2.5,2017/9/3 15:34
煤业ROE高%又无像银行回头提几百几万亿坏帐;现,2642,23,214,3.5,2017/9/2 15:31
星期一还是不乐观，12.77,6421,26,219,4,2017/9/2 11:57
瞎说说大盘,12941,30,120,3,2017/9/2 6:02
这一届领导层已经毁了浦发过去良好的声誉！,3706,14,159,3,2017/9/1 10:35
大盘短期回调，会大暴跌？,2454,23,125,4,2017/9/1 9:33
往市场4000点之前，可大胆进行低吸的10只潜力个,15091,37,1548,3.5,2017/8/31 13:12
浦发银行最差的银行股,3824,23,71,2,2017/8/31 10:55
刚才在中国信达溜了一下，买点中国信达。12.78,7147,11,154,4,2017/8/31 10:18
炒股炒2017年证券新股601881一600909一002500另,16475,107,240,4,2017/8/31 8:03
不负众望，勇过难关,24560,45,350,3.5,2017/8/31 0:07
从现在改革.社会..到你的身边你怎么看目前的 银,4570,27,162,3,2017/8/30 15:56
永悦科技会超俺20元下买如通涨过57，牛，动山，,2114,20,121,4,2017/8/30 11:00
社会欠了应该还给浦发的 64% 的涨幅 ! ! !,135809,426,498,3,2017/8/30 10:17
浦发全面倒退 任何的自我安慰都是毫无意义的 浦,3001,25,40,2,2017/8/30 9:48
浦发银行(600000)融资融券信息(08-29),5810,4,548,0,2017/8/30 7:36
这个比较直观点，它们能领先浦发这么多吗？12.9,16281,20,184,4,2017/8/29 23:16
浦发银行不良率跳涨至2.09% 高管称“今年就是要,39913,10,1206,0,2017/8/29 23:02
不差也不好,3160,20,120,3.5,2017/8/29 22:13
老谷如何看浦发与招行股价相差一倍？？,17241,28,196,4,2017/8/29 21:08
都害怕银行股的坏账,20202,63,166,3,2017/8/29 21:03
不管是过去还是现在,13506,40,162,3,2017/8/29 20:22
浦发银行，交通银行，民生银行，三个股票的股值,23024,34,401,2.5,2017/8/29 20:18
中报速递：浦发银行2017年上半年盈利281.65亿元,25866,6,233,0,2017/8/29 20:01
浦发在吞对公业务的苦果！,20730,54,134,3.5,2017/8/29 19:49
浦发银行：上半年净利同比增5.21% 证金公司小幅,34040,7,276,0,2017/8/29 19:45
如果明天机构没瞎眼的话 浦发应该涨停的！ 业绩,5286,21,194,3,2017/8/29 19:36
600000:浦发银行2017年半年度报告,35912,10,1307,0,2017/8/29 19:18
600000:浦发银行2017年半年度报告摘要,33070,3,1214,0,2017/8/29 19:15
坐等浦发兴业中报，呵呵,12592,11,195,3,2017/8/29 16:52
本年度截止目前已净资收益率64.5%,15670,38,144,4,2017/8/29 10:45
中报速递贵阳银行2017年上半年盈利19.02亿元，,3463,24,148,4,2017/8/29 9:28
嘉欣丝绸总分红率远高过贵州茅台！,2916,20,292,3.5,2017/8/29 0:54
生意难做，卖公司，买浦发银行，躺着挣钱。,5027,23,150,2.5,2017/8/29 0:12
我的生意大不如前了,7916,48,135,0,2017/8/28 19:50
上证综指月K线突破所有均线,7872,8,133,4,2017/8/28 15:39
今晚会出公告，已增发完成？12.84,15364,22,163,4,2017/8/28 12:53
与股友们讨论一只股票。说明我不持有。12.78,8280,46,242,4,2017/8/27 19:47
对于定增价格原则的理解,10322,25,160,0,2017/8/26 14:22
请问要持有多少股浦发才能在浦发吧里算是中等位,12851,30,206,4,2017/8/26 12:36
1个月内见到22元,16322,20,128,3.5,2017/8/25 21:29
浦发会在利空打击下逐步崛起？会是例外吗？,17519,27,386,3,2017/8/25 20:44
什么价格都不卖,4664,17,201,3,2017/8/25 19:17
溅人小秘书就是煽情,5174,7,126,3.5,2017/8/25 15:27
谁高价抢了我的筹码？12.78,17235,34,154,4,2017/8/25 14:58
