标题,阅读,评论,字数,影响力,时间
如果到现在还认为大蓝筹只是在护盘，你就真的该,6840,4,321,3,2017/7/12 12:24
我建议不会炒股的朋友去“抢”银行。,4647,9,144,3,2017/7/12 9:59
有种就来个涨停。不要这样勾引我,3733,12,140,3,2017/7/11 13:20
建行不行了，换股马上赚回来，信者赚！,8985,16,168,3.5,2017/7/10 13:22
正在为有效跌破六元做最后的准备,3819,9,140,3,2017/7/10 11:02
预测 明天建行平开 在6。07至6.09之间窄幅震荡,4273,8,196,3,2017/7/9 17:49
主力担心客源流失，今天 怒涨二分,3995,8,128,3,2017/7/7 14:24
[图片],5579,10,118,3,2017/7/6 21:32
贱行这图做的    服,4427,10,122,3,2017/7/6 10:37
本人要求不高，跑赢上证50或者沪深300就够了，,2801,4,206,3.5,2017/7/6 8:14
收盘后。。媒体又能吹牛逼了,3292,10,136,3,2017/7/5 14:37
主力。。你们真淡定,6025,30,128,3,2017/7/5 14:23
傻呼呼站岗。不如买铜陵有色 里面全是价值投资,3224,9,155,3,2017/7/5 9:47
唐僧初遇猪八戒那一天，唐僧说：八戒你跑两圈给,3980,5,223,3,2017/7/5 8:14
从腰斩的角度， 建行要见3.5,4500,11,139,3,2017/7/4 11:53
随便告诉散户，有钱的散户不用急于抄建行的底，,2796,7,216,3.5,2017/7/4 11:49
主力割韭菜手艺炉火纯青 估计50不一定会用闪崩,4236,12,159,3,2017/7/3 19:47
鼓吹价值投资是忽悠人的言沦就是一种忽悠,11872,18,935,4,2017/7/2 20:18
黄国东：A股下半年预测   推荐建设银行,27267,34,645,4,2017/7/2 16:27
我将继续长期持有建设银行！,14382,26,136,2,2017/7/2 10:24
买建行想亏钱都难，长线持有，买入不动，三年后,6560,11,213,0,2017/6/30 23:06
建行吧里除了“秋天里的叶子”算得上价值投资者,12686,44,246,2.5,2017/6/30 12:55
分红已经投出去了,7374,23,131,0,2017/6/30 10:36
讨个吉利，我6.11挂单等啦，红利全打了，给不给,12441,28,166,3.5,2017/6/30 10:25
*ST五稀:关于中国五矿集团公司组建大型稀土企业,6047,20,576,3,2017/6/30 9:59
股息已经到账。我已入住中国银行。 百年风雨百,6309,16,159,3,2017/6/29 21:54
我今天赌了一把，收盘抛出了3/4的筹码，看明日,11718,42,180,3.5,2017/6/29 15:35
一年下来觉得这个理财产品不错，不但有6%的收益,5247,21,193,3.5,2017/6/29 10:20
要涨停的走势,4614,10,122,3,2017/6/29 10:11
众机构紧急通知除光抛尽茅台平安万科银行!买广,4364,10,33,4,2017/6/28 10:57
低？何谓低？何谓高？何谓贵？一目了然,4791,6,411,3,2017/6/28 10:30
恩  好,5346,17,115,3,2017/6/27 16:39
银行厚积薄发，已经长成参天大树了,26807,34,422,2,2017/6/27 15:54
各位，我明天准备把建行卖了，不参加分红了。大,20317,48,182,0,2017/6/27 15:04
黑马相,3442,9,58,3,2017/6/26 20:22
本人持有建行银行，民生银行，长安汽车，雅戈尔,6037,4,218,3.5,2017/6/26 17:41
今日关注石墨烯江海股份，中超控股,5042,35,142,3.5,2017/6/26 12:20
恩  服,11532,44,115,3,2017/6/26 10:42
咯咯咯咯狂笑，三年利润之和超现公司市值。 今,6256,12,556,4.5,2017/6/25 22:28
4月份中国从澳大利亚? 5、24看大金融股的力? [,5112,34,158,0,2017/6/25 22:18
A股分红派息实施公告,13400,12,469,4,2017/6/25 21:06
对比07年和17年，美股和A股十大市值公司名单。,9261,23,343,0,2017/6/25 15:27
双环铂--全球顶级抗癌药，中国拥有自主研发产权,10349,17,2614,0,2017/6/23 18:46
持有低市盈率低市净率高分红个股高抛低吸就是炒,3740,5,184,3.5,2017/6/20 10:57
狼的文化中狼是比较成功的一种。,6233,15,1043,4,2017/6/19 21:56
有人说要入魔。。。我们认为。入个莫。。我们认,5599,17,182,3,2017/6/18 21:43
黑嘴们诋毁银行股,7891,12,272,3,2017/6/17 16:56
大单对倒目的增加交易额,3086,1,123,2.5,2017/6/16 14:18
6元以上买的,3380,10,133,3,2017/6/14 20:53
我们价值投资者大力支持ipo， 本人承诺只要新股,2374,8,199,3.5,2017/6/14 17:57
韩自国是什么样的经济学家？ 1、2007年8月23日,17561,47,1555,3,2017/6/13 19:02
股价加速上涨“漂亮50”性价比缩水 2017年06月1,3011,8,290,3.5,2017/6/13 14:32
银行股是培养站岗兵的摇篮,3757,13,134,3,2017/6/13 10:16
等我的建行涨到18元，再说买不买茅台,6162,7,146,3.5,2017/6/11 20:31
十年前买建行的股民还在等解放军，你在等什么？,12043,31,158,0,2017/6/11 16:55
新股发行不能停的重要理由：让凯撒归凯撒市场归,10479,21,552,3,2017/6/11 13:08
一点真相,10623,24,782,2,2017/6/10 22:00
不要与人争执来证明自己的正确,6832,11,390,2,2017/6/10 15:01
银行股暴跌，小盘股才有春天,3228,7,136,3,2017/6/9 13:57
宁波港祝贺建设银行,24027,67,144,1,2017/6/9 13:31
套人的花招,9852,64,120,3,2017/6/9 11:51
对于中小创黑五类这类传销股游戏，唯有拿了筹码,2814,4,399,3.5,2017/6/7 15:41
减少IPO发行，市场马上出现变化。说市场下跌和I,7879,22,188,0,2017/6/7 10:34
去年分红前，每天涨1分，今年起码保持每天0.02,18089,81,166,3.5,2017/6/7 10:15
我持有建行唯一怕的就是他涨，本人之所以大力唱,3005,3,200,3.5,2017/6/6 21:04
长安汽车分红又带来24亿的增量资金，大部分应该,3086,4,115,3.5,2017/6/6 21:02
对于这类传销股游戏，唯有拿了筹码近似为零成本,4249,6,344,3.5,2017/6/6 12:47
50白马休息，沪深300白马起来了,3664,15,144,3.5,2017/6/5 15:36
放缓新股发行是在保护谁？ 一是已经上市的中小,3895,5,346,3.5,2017/6/5 15:28
中小创做空，国家队可以护盘，国家队做空则无可,2828,5,160,3,2017/6/5 10:58
我也为李志林教授上一课,8980,16,332,3,2017/6/3 21:48
[cp]这篇文章很有意思：逼狼去吃草，太经典了！,9678,13,1087,3,2017/6/3 21:19
鲁迅说：“假如上半年混的不好，千万不要气馁。,7442,13,247,3,2017/6/3 18:57
今天  我和我的小伙伴们都惊呆了,9566,15,133,3,2017/5/26 10:27
到现在为止  心里还是美滋滋的  是吧,4093,4,130,3,2017/5/26 10:12
建设银行(601939)融资融券信息(05-25),6447,6,538,0,2017/5/26 7:54
大家千万别买次新股，次新股是目前垃圾股主力们,2606,2,221,3.5,2017/5/25 19:58
如果蓝筹股行情继续延续，新股破发也该不远了,5323,14,152,3.5,2017/5/25 17:20
浦发的涨停意义非凡，很简单的道理，浦发筹码未,5604,8,210,3.5,2017/5/25 17:10
获利盘出完了么  看看还能拉回去么,2428,19,143,2.5,2017/5/25 14:47
你们就托吧，把大盘托上天，然后再大跌到2800点,1788,19,187,3,2017/5/25 13:24
长了50%了，剩下的别人赚吧，太贪了会赔进去,7662,25,137,2.5,2017/5/25 10:42
特别通告：601958 金钼股份正创历史新低，青菜,5658,10,231,2,2017/5/24 13:51
券商能翻3倍知足矣?MSCI将于6月20日公布是否纳,5756,8,1163,4,2017/5/23 12:37
用6.17的建行换了7.77的民主银行,19450,27,142,4,2017/5/23 10:49
建仓完毕   唉  真累啊,5705,21,125,3,2017/5/22 10:13
渤海轮渡603167将走自己的独立上涨行情！建议买,4173,7,137,4,2017/5/19 14:00
建行未来二年的每股收益,18773,16,1188,4,2017/5/18 10:03
抢入即将三浪主升到13.6,13524,27,136,0,2017/5/16 21:05
一些投资界大V天天指责国家队，其狼子野心昭然,5297,5,315,3,2017/5/13 11:31
低市盈率，高分红的股票是今后行情的主流，这就,7803,3,228,3.5,2017/5/12 10:34
虽然我在6元出了部分建行，一样希望建行坚定站,8552,14,164,3.5,2017/5/11 17:02
我挂了6.00元，出一部分，手握现金,16678,57,18,3.5,2017/5/11 9:54
五大行里唯一被压成柿饼的票,4322,7,131,1.5,2017/5/8 15:06
抢 瞎子也狂笑 业绩翻倍 季报再增长300%翻倍搖,19916,43,2385,4.5,2017/5/7 18:52
浅分析建行不涨的原因： 建行说是大盘股，其实,13233,39,981,3,2017/5/6 12:01
[满仓抄底]截止2017-03-31上海银行十大流通股东,8350,12,843,4,2017/4/30 10:11
2017年一季报每股收益0.28元,8355,8,137,4,2017/4/28 7:57
601939:建设银行2017年第一季度报告,16422,2,1014,0,2017/4/27 23:49
建设银行：一季度净利润700亿元 不良贷款率达1.,22638,7,587,0,2017/4/27 22:45
建行为何不涨？因为建行依然处于建仓期 为何我,8455,3,183,3.5,2017/4/22 13:21
如果现在A股市场上所有的股票都按每股0.3元分给,6561,25,188,3.5,2017/4/22 13:09
温水煮青蛙！,4146,43,122,3.5,2017/4/20 14:00
建设银行2016年报点评：综合化经营优势凸显，资,15646,9,2100,0,2017/4/19 19:12
