
 ------- 1990/1----------------

 ------- 1990/2----------------

 ------- 1990/3----------------

 ------- 1990/4----------------

 ------- 1991/1----------------

 ------- 1991/2----------------

 ------- 1991/3----------------

 ------- 1991/4----------------

 ------- 1992/1----------------

 ------- 1992/2----------------

 ------- 1992/3----------------

 ------- 1992/4----------------

 ------- 1993/1----------------

 ------- 1993/2----------------

 ------- 1993/3----------------

 ------- 1993/4----------------

 ------- 1994/1----------------

 ------- 1994/2----------------

 ------- 1994/3----------------

 ------- 1994/4----------------

 ------- 1995/1----------------

 ------- 1995/2----------------

 ------- 1995/3----------------

 ------- 1995/4----------------

 ------- 1996/1----------------

 ------- 1996/2----------------

 ------- 1996/3----------------

 ------- 1996/4----------------

 ------- 1997/1----------------

 ------- 1997/2----------------

 ------- 1997/3----------------

 ------- 1997/4----------------

 ------- 1998/1----------------

 ------- 1998/2----------------

 ------- 1998/3----------------

 ------- 1998/4----------------

 ------- 1999/1----------------

 ------- 1999/2----------------

 ------- 1999/3----------------

 ------- 1999/4----------------

 ------- 2000/1----------------

 ------- 2000/2----------------

 ------- 2000/3----------------

 ------- 2000/4----------------

 ------- 2001/1----------------

 ------- 2001/2----------------

 ------- 2001/3----------------

 ------- 2001/4----------------
20020329|1,313.47|1,313.47|1,313.47|1,313.47|-39.06|-2.89|0.00|0.00
20020328|1,352.53|1,352.53|1,352.53|1,352.53|-1.57|-0.12|0.00|0.00
20020327|1,354.10|1,354.10|1,354.10|1,354.10|4.09|0.30|0.00|0.00
20020326|1,350.01|1,350.01|1,350.01|1,350.01|-23.00|-1.68|0.00|0.00
20020325|1,373.01|1,373.01|1,373.01|1,373.01|3.11|0.23|0.00|0.00
20020322|1,369.90|1,369.90|1,369.90|1,369.90|-15.89|-1.15|0.00|0.00
20020321|1,385.79|1,385.79|1,385.79|1,385.79|3.37|0.24|0.00|0.00
20020320|1,382.42|1,382.42|1,382.42|1,382.42|14.04|1.03|0.00|0.00
20020319|1,368.38|1,368.38|1,368.38|1,368.38|26.47|1.97|0.00|0.00
20020318|1,341.91|1,341.91|1,341.91|1,341.91|3.21|0.24|0.00|0.00
20020315|1,338.70|1,338.70|1,338.70|1,338.70|-37.63|-2.73|0.00|0.00
20020314|1,376.33|1,376.33|1,376.33|1,376.33|33.19|2.47|0.00|0.00
20020313|1,343.14|1,343.14|1,343.14|1,343.14|-19.26|-1.41|0.00|0.00
