1991/01/07,131.99,132.06,131.45,132.06,0.62,0.47,217.00,141000.00
1991/01/04,131.27,131.44,130.14,131.44,1.30,1.00,420.00,261000.00
1991/01/03,128.84,130.14,128.84,130.14,1.30,1.01,141.00,93000.00
1991/01/02,127.61,128.84,127.61,128.84,1.23,0.96,91.00,59000.00
1991/06/28,137.41,137.56,136.19,137.56,1.37,1.01,4935.00,3032000.00
1991/06/27,136.04,136.19,134.83,136.19,1.36,1.01,4497.00,2521000.00
1991/06/26,134.83,134.83,133.49,134.83,1.34,1.00,3409.00,2149000.00
1991/06/25,133.48,133.49,132.17,133.49,1.32,1.00,1624.00,1296000.00
1991/06/24,132.10,132.17,131.80,132.17,1.31,1.00,1960.00,1657000.00
1991/06/21,130.72,130.86,128.81,130.86,1.29,1.00,13613.00,7746000.00
1991/06/20,129.55,129.57,129.21,129.57,1.28,1.00,2299.00,1321000.00
1991/06/19,128.12,128.29,127.03,128.29,1.26,0.99,1481.00,744000.00
1991/06/18,127.03,127.03,126.67,127.03,1.26,1.00,2030.00,1015000.00
1991/06/17,125.63,125.77,123.54,125.77,1.24,1.00,6933.00,4056000.00
1991/06/14,124.47,126.34,124.47,124.53,-0.81,-0.65,6633.00,3541000.00
1991/06/13,125.33,125.34,123.65,125.34,1.23,0.99,20868.00,11563000.00
1991/06/12,123.90,124.11,122.89,124.11,1.22,0.99,1372.00,735000.00
1991/06/11,122.89,122.89,121.67,122.89,1.22,1.00,543.00,375000.00
1991/06/10,121.65,121.67,120.47,121.67,1.20,1.00,400.00,458000.00
1991/06/07,120.46,120.47,119.35,120.47,2.30,0.94,100.00,83000.00
1991/06/06,119.26,119.35,118.17,119.35,1.18,1.00,266.00,160000.00
1991/06/05,118.17,118.17,117.14,118.17,1.05,0.90,308.00,279000.00
1991/06/04,117.12,117.12,116.83,117.12,1.15,0.99,3603.00,2018000.00
1991/06/03,115.90,115.97,114.89,115.97,1.14,0.99,954.00,1643000.00
1991/05/31,114.83,114.83,113.84,114.83,1.01,0.89,1211.00,1470000.00
1991/05/30,113.74,113.82,112.77,113.82,1.07,0.95,388.00,753000.00
1991/05/29,112.75,112.75,111.67,112.75,1.07,0.96,530.00,1320000.00
1991/05/28,111.61,111.68,111.36,111.68,1.02,0.92,1630.00,970000.00
1991/05/27,111.05,111.07,109.47,110.66,0.58,0.53,8619.00,3827000.00
1991/05/24,110.07,110.08,109.82,110.08,1.00,0.92,1024.00,661000.00
1991/05/23,107.52,109.16,107.35,109.08,0.83,0.77,5609.00,2770000.00
1991/05/22,109.71,109.82,108.11,108.25,-0.56,-0.51,18677.00,7967000.00
1991/05/21,108.89,108.89,108.62,108.81,0.99,0.92,771.00,1309000.00
1991/05/20,107.76,107.82,106.71,107.82,1.07,1.00,863.00,924000.00
1991/05/17,105.12,106.75,104.96,106.75,0.98,0.93,20192.00,7633000.00
1991/05/16,105.83,105.86,105.69,105.77,-0.80,-0.75,3108.00,1445000.00
1991/05/15,106.56,106.60,106.42,106.57,-0.62,-0.58,390.00,307000.00
1991/05/14,107.21,107.84,107.06,107.19,-0.65,-0.60,267.00,185000.00
1991/05/13,107.88,107.88,107.74,107.84,-0.69,-0.64,235.00,182000.00
1991/05/10,108.61,109.40,108.53,108.53,-1.50,-0.70,249.00,313000.00
1991/05/09,109.36,110.12,109.29,109.29,-0.74,-0.67,2266.00,--
1991/05/08,110.16,110.82,110.00,110.03,-0.79,-0.71,423.00,375000.00
1991/05/07,110.80,110.90,110.80,110.82,-0.79,-0.71,1875.00,907000.00
1991/05/06,111.65,112.41,111.57,111.61,-0.80,-0.71,2764.00,1423000.00
1991/05/03,112.46,113.17,112.30,112.41,-0.75,-0.66,4230.00,2386000.00
1991/05/02,113.04,113.20,113.03,113.16,-0.78,-0.68,1465.00,1124000.00
1991/04/30,113.89,114.87,113.89,113.94,-0.81,-0.71,4850.00,2734000.00
1991/04/29,114.86,116.29,114.75,114.75,-0.81,-0.70,8411.00,3610000.00
1991/04/26,116.31,116.31,114.52,115.56,0.20,0.17,13354.00,5806000.00
1991/04/25,115.38,115.79,115.33,115.36,-0.43,-0.37,1495.00,998000.00
1991/04/24,115.70,116.19,115.70,115.79,-0.40,-0.34,148.00,121000.00
1991/04/23,116.21,116.63,116.15,116.19,-0.44,-0.38,282.00,264000.00
1991/04/22,116.63,117.08,116.58,116.63,-0.45,-0.38,430.00,321000.00
1991/04/19,117.08,117.50,117.05,117.08,-0.37,-0.32,646.00,424000.00
1991/04/18,117.45,117.93,117.45,117.45,-0.45,-0.38,178.00,133000.00
1991/04/17,117.92,118.34,117.89,117.90,-0.44,-0.37,201.00,259000.00
1991/04/16,118.36,118.77,118.34,118.34,-0.43,-0.36,105.00,177000.00
1991/04/15,118.73,119.22,118.72,118.77,-0.44,-0.37,301.00,386000.00
1991/04/12,119.20,119.65,119.15,119.21,-0.43,-0.36,399.00,301000.00
1991/04/11,119.64,120.16,119.62,119.64,-0.52,-0.43,239.00,576000.00
1991/04/10,120.15,120.62,120.09,120.16,-0.46,-0.38,466.00,281000.00
1991/04/09,120.60,121.10,120.60,120.62,-0.47,-0.39,320.00,297000.00
1991/04/08,121.11,121.11,121.05,121.09,-0.45,-0.37,1862.00,1675000.00
1991/04/05,121.07,121.73,121.03,121.54,-0.18,-0.15,11589.00,6035000.00
1991/04/04,122.20,122.20,121.24,121.72,0.01,0.01,10517.00,5045000.00
1991/04/03,121.71,121.71,121.21,121.71,0.50,0.41,2063.00,977000.00
1991/04/02,121.21,121.29,120.73,121.21,0.48,0.40,816.00,387000.00
1991/04/01,120.69,120.73,119.68,120.73,0.54,0.45,11999.00,5666000.00
1991/09/30,180.28,181.95,180.27,180.92,-0.90,-0.50,25594.00,22336000.00
1991/09/27,183.12,183.89,181.19,181.82,-0.51,-0.28,33728.00,20416000.00
1991/09/26,182.21,183.19,181.93,182.33,-0.86,-0.47,6541.00,4620000.00
1991/09/25,182.80,184.08,182.80,183.19,-0.89,-0.48,1389.00,934000.00
1991/09/24,183.96,185.04,183.69,184.08,-0.92,-0.50,1426.00,1002000.00
1991/09/23,185.00,185.92,184.71,185.00,-0.92,-0.49,4034.00,2806000.00
1991/09/20,185.77,187.21,185.66,185.92,-0.96,-0.51,12075.00,7417000.00
1991/09/19,187.65,189.21,186.49,186.88,-0.75,-0.40,23439.00,14607000.00
1991/09/18,187.26,188.59,187.18,187.63,-1.02,-0.54,15822.00,11015000.00
1991/09/17,191.16,191.18,188.28,188.65,-1.01,-0.53,28829.00,18623000.00
1991/09/16,189.55,189.66,187.79,189.66,1.87,1.00,9933.00,6343000.00
1991/09/13,188.00,188.04,185.01,187.79,1.57,0.84,37434.00,24035000.00
1991/09/12,186.22,187.40,186.07,186.22,-1.00,-0.53,19699.00,16265000.00
1991/09/11,187.29,187.29,186.86,187.22,-1.11,-0.59,21392.00,14677000.00
1991/09/10,190.98,190.98,188.19,188.33,-0.91,-0.48,33434.00,21507000.00
1991/09/09,189.10,189.24,187.36,189.24,1.88,1.00,3552.00,2349000.00
1991/09/06,187.09,187.36,185.51,187.36,1.85,1.00,2765.00,1761000.00
1991/09/05,185.48,185.51,183.69,185.51,1.82,0.99,1514.00,1095000.00
1991/09/04,183.66,183.69,181.97,183.69,1.72,0.95,650.00,470000.00
1991/09/03,181.71,181.97,180.22,181.97,1.75,0.97,1475.00,940000.00
1991/09/02,180.08,180.22,178.43,180.22,1.79,1.00,1408.00,886000.00
1991/08/30,178.20,178.43,176.66,178.43,1.77,1.00,6759.00,4219000.00
1991/08/29,176.53,176.66,174.92,176.66,1.74,0.99,2608.00,1629000.00
1991/08/28,174.82,174.92,173.19,174.92,1.73,1.00,804.00,511000.00
1991/08/27,173.06,173.19,171.51,173.19,1.68,0.98,796.00,520000.00
1991/08/26,171.51,171.51,169.81,171.51,1.70,1.00,643.00,518000.00
1991/08/23,169.81,169.81,168.16,169.81,1.65,0.98,605.00,502000.00
1991/08/22,167.81,168.16,166.49,168.16,1.67,1.00,1296.00,845000.00
1991/08/21,166.49,166.49,164.84,166.49,1.65,1.00,3411.00,2106000.00
1991/08/20,164.74,164.84,163.21,164.84,1.63,1.00,573.00,388000.00
1991/08/19,163.21,163.21,161.60,163.21,1.61,1.00,985.00,614000.00
1991/08/16,161.56,161.60,160.21,161.60,1.39,0.87,984.00,581000.00
1991/08/15,159.92,160.21,158.63,160.21,1.58,1.00,1537.00,850000.00
1991/08/14,158.30,158.63,158.11,158.63,1.56,0.99,5480.00,2929000.00
1991/08/13,156.87,157.07,155.54,157.07,1.53,0.98,20039.00,10529000.00
1991/08/12,155.34,155.54,154.10,155.54,1.44,0.93,3919.00,2154000.00
1991/08/09,153.90,154.10,152.61,154.10,1.49,0.98,3715.00,1990000.00
1991/08/08,152.57,152.61,151.12,152.61,1.49,0.99,1951.00,1045000.00
1991/08/07,150.93,151.12,149.62,151.12,1.50,1.00,1107.00,580000.00
1991/08/06,149.62,149.62,148.15,149.62,1.47,0.99,2001.00,1065000.00
