日期,情感
2017-07-10,0.001487827449328183
2017-09-04,0.14904983040982756
2016-10-26,0.9136090299572424
2017-06-30,0.2653736700729714
2017-07-28,0.674946362431484
2017-06-27,0.41065834117322353
2017-06-11,0.7549790888123484
2017-08-26,0.2991690054392981
2017-08-30,0.3834603434826394
119334,0.0
2017-04-30,0.6002233310873315
2017-08-11,0.49822905075527785
2017-08-15,0.5182270513987827
2016-10-12,0.47013757036117965
2017-05-19,0.6350040716636703
2017-08-27,0.5689356704661298
2017-08-25,0.21249988111145734
2017-06-21,0.5216980749881501
2017-08-21,0.8386141169355378
2017-08-06,0.50315820118849
2017-07-23,0.6613805883144962
2017-05-21,0.6269815479174319
2017-03-22,0.6231557406234411
2017-08-29,0.15613157069362069
2017-08-22,0.28926609869937137
2017-06-10,0.5473153591826041
2017-08-19,0.7269793583578604
2017-09-01,0.47345621332362564
2017-05-15,0.13877842094494433
2017-05-23,0.40025729378684594
2016-01-22,0.6919280442387566
2017-08-23,0.3517713138215519
2017-04-22,0.47818530637943735
2016-07-28,0.7718293044017943
2017-03-28,0.3410354088211731
2017-07-17,0.556982667620132
2017-08-07,0.5998161064996964
2017-08-09,0.49315576988113785
2017-04-18,0.6675111809636481
2017-07-27,0.3454088944796706
2017-08-17,0.4780778871150827
2017-08-24,0.42863322789822017
2017-07-25,0.4306799837147283
2017-08-18,0.39191431633970286
2017-07-04,0.6175861134211573
2017-06-23,0.8139931863002984
2017-07-31,0.2498176138619008
3970,0.0
2017-08-20,0.6836533788408992
2017-02-15,0.18184912278963927
2017-04-24,0.380962193447103
2017-03-21,0.5122815135042615
2017-05-27,0.568775165758778
2017-07-30,0.49785358686187164
2017-08-05,0.6315748283229784
2017-05-29,0.7398037687428143
3870,0.0
2017-07-03,0.42102028730915136
2017-06-12,0.41612673782002507
2017-07-24,0.5187144569012719
2017-05-28,0.5057543751136375
2017-07-20,0.16301403303931217
2017-08-14,0.48209964844894915
2017-08-01,0.28350182961043874
2017-08-13,0.957342895008745
2017-08-16,0.32418468920576243
2017-06-02,0.41703643718041483
2017-06-03,0.448355543551419
2017-06-06,0.4204914155130475
2017-06-08,0.4284605080814631
2017-06-09,0.5731365424362053
2017-06-13,0.35138881812564543
2017-06-14,0.5350221266977053
2017-07-08,0.5912766518648997
2017-07-05,0.5054439552149561
2017-07-26,0.27377116278708835
2017-08-10,0.361998039921757
2016-07-01,0.5142670187764784
2017-04-26,0.5168373131267311
2017-05-24,0.5229945055730637
2017-08-04,0.6703186484998861
2017-01-13,0.5386581759677822
2017-06-26,0.4899699263436756
2016-11-16,0.5576042581707906
2017-05-22,0.518730571842276
2017-04-23,0.870418285251558
2017-08-12,0.059133839693180756
2017-04-02,0.30728451696862713
2017-06-28,0.29672199826655965
2017-07-01,0.8774939271623845
2017-08-08,0.27409683947747393
2017-01-04,0.5178442344080706
2017-08-02,0.4282031969101764
2017-07-21,0.988483538835158
2017-07-07,0.3392916115811888
2016-10-28,0.583765353193541
2016-12-15,0.491112950562671
2017-05-14,0.9690877777340509
2017-06-01,0.4179363173377544
6194,0.0
2017-08-03,0.7026735105042416
2017-07-18,0.2301321745752206
2016-12-05,0.7540392002795994
2128,0.0
2017-07-29,0.7696997739287665
2017-01-09,0.18249934332248335
2016-09-26,0.543160418520614
1826,0.0
2017-05-01,0.647437158858112
2017-03-20,0.49357872718874435
2016-05-11,0.521781814305912
2016-06-14,0.24573094404038703
2016-12-14,0.6539094035151466
2017-06-17,0.000527601001577449
2017-02-19,0.9709021935884605
2016-07-29,0.6883852542220912
2017-04-25,0.5826791850290524
2015-11-13,0.7227015452285107
2017-03-10,0.28655799442538527
2017-06-24,0.6997648667399643
2016-12-30,0.060346060512863786
2017-07-22,0.06284746280273423
2016-07-26,0.1410668122045869
2016-05-08,0.3895089792429853
2016-09-04,0.8268617070935922
2017-07-12,0.8324644711628181
2016-07-21,0.7368583621986129
13986,0.0
2016-03-25,0.4840848518529706
2017-07-16,0.5879804982368261
2017-07-09,0.5209572066219051
2017-06-16,0.5987868189888741
2017-07-15,0.02952306672980254
2016-08-19,0.5959548650934213
2017-07-11,0.8632037897895719
2017-06-29,0.6410014820965853
2674,0.0
2016-12-27,0.6958285307782264
2017-07-06,0.3558868088197148
2017-07-02,0.6461300040749198
2017-03-18,0.8261814638273534
2017-05-31,0.5679357959642845
2017-06-20,0.43343620019617923
2017-04-19,0.6897931975456636
2017-01-08,0.27338403566162495
2016-07-11,0.5414025473354013
2016-03-05,0.045566451257465446
2016-07-14,0.4529456012733285
2017-04-15,0.4010514949353137
2016-12-16,0.3528209229609054
2016-11-22,0.8397287074979298
2017-06-22,0.36203531363506425
2017-06-19,0.3864782552053296
2017-04-14,0.3679294832802793
支撑位 310.55 ,54093.0
2017-06-05,0.7397204417316644
4037,0.0
,3697.0
2017-05-09,0.9994325645957659
4907,0.0
2016-05-05,0.5456000826911248
2017-06-15,0.06624254065936941
2017-04-17,0.6642860826395541
2890,0.0
3960,0.0
2017-03-04,0.6281183648314942
2016-02-10,0.31036804471551593
2974,0.0
2438,0.0
7115,0.0
2830,0.0
3387,0.0
3643,0.0
2016-12-13,0.770440106324682
2017-05-16,0.44321114556202773
2017-05-20,0.38440180940968655
2017-05-10,0.6644996090955492
2017-05-30,0.4887000206972193
2017-06-04,0.7198992663608668
2015-11-09,0.7120297762484978
2015-12-22,0.8862780401578648
2017-06-07,0.9667649481277473
2017-05-25,0.37256339599926447
2017-05-26,0.5799305609501679
2016-03-23,0.3209495206690364
2016-04-20,0.5583498856045958
