日期,情感
2017-06-30,0.5679506439899338
2017-07-26,0.0017699662002763628
2017-04-22,0.08329665475196413
2017-05-24,0.9978345109256873
2017-09-02,0.7307780998768133
2017-02-11,0.3024796925096507
2017-06-27,0.9949797111528718
2017-08-28,0.5791178459694085
2017-08-30,0.7689430863720574
2017-07-09,0.5030444651405629
2017-08-28,0.9299591817582655
2017-04-17,0.810537175017836
2017-03-23,0.9023355220351286
2017-01-10,0.5463727330487278
2015-09-01,0.90108768004091
2017-09-02,0.911794487144466
2017-07-29,0.9947778290133038
2015-11-18,0.3716835789043048
2017-06-09,0.43153807315047954
2017-08-27,0.9426704355975198
2017-06-24,0.9997878165850281
2017-08-30,0.9947881940489188
2017-08-12,0.9315669100106516
2017-08-29,0.4531219817079033
2017-08-21,0.6123520833042545
2017-08-29,0.8728873734800378
2017-08-28,0.25052595876306116
2017-08-29,0.8941390397670492
2017-08-28,0.19439416044018776
2017-08-22,0.5262715379388408
2017-07-23,0.9988746192907831
2017-08-03,0.3234404978063379
2017-08-03,0.46739831474783233
2017-08-01,0.9467739227921155
2017-08-25,0.3188738727251793
2017-08-25,0.5085697669618258
2017-08-17,0.9329381872978557
2017-08-26,0.911794487144466
2016-05-14,0.4110122081426758
2017-08-25,0.07860554443840173
2017-07-22,0.14911625238201476
2017-04-21,0.1644900824044171
2017-05-29,0.3942117591612475
2017-05-20,0.2323073918937032
2017-05-03,0.4590838188951477
8）____,9092
2017-08-22,0.07747210621477196
2017-08-21,0.8412117561869645
2017-08-21,0.1574204532211153
2017-08-21,0.9592460104169006
2017-08-17,0.9194238583313283
2017-08-17,0.9357312514156879
2017-08-19,0.911794487144466
2017-08-18,0.9932421759086787
2017-07-03,0.9997151511106501
2017-08-17,0.9221615927749703
2017-08-17,0.9050528604916057
2017-03-31,0.6117156216949052
2017-05-02,0.9421886082706867
2017-05-02,0.9976727194008542
2017-05-08,0.4665048157142607
2017-05-09,0.9816812363056128
2017-06-02,0.9408629867575243
2017-05-10,0.9942412332527827
2017-05-10,0.9735531356950898
2017-05-15,0.3390357967680757
2017-06-29,0.007071971930142529
2017-06-29,0.5513598670500669
2017-06-02,0.9623063392512056
2017-06-30,0.2874522292819808
2017-07-03,0.9466860935493331
2017-08-17,0.8453390420961574
2016-01-25,0.8559268466956144
2017-08-17,0.911794487144466
2017-08-16,0.5207236305454234
2017-08-03,0.6313461422856339
2017-05-05,0.8227265233814469
2017-08-11,0.18530103734875059
2017-08-02,0.9819523580677665
2017-08-11,0.0160038235862624
2017-08-11,0.04548780913817585
2017-08-12,0.911794487144466
2017-08-10,0.9826766601384961
2017-08-01,0.17799512551816876
2017-08-11,0.7907329873341207
2017-08-10,0.017111764368791693
2017-08-10,0.0710126982271081
2017-08-10,0.06841997405590328
2017-08-09,0.6836883280339406
2017-08-08,0.359820125974492
2017-08-03,0.786179255860677
2016-01-08,0.5114535744183313
2016-07-24,0.08776899057621335
2016-01-28,0.23653610169172823
3204,2017-07-30
2017-04-07,0.02646304617441464
2017-08-08,0.9988982987504139
2017-07-20,0.5185305333240484
2017-05-12,0.9923171409669256
2017-04-09,0.9717559927302805
2017-07-26,0.6274274399760291
2017-08-04,0.8630171884284927
2017-08-03,0.6195968270562697
2017-07-18,0.911794487144466
2017-07-30,0.6934119147819502
2017-05-01,0.9752260739241759
2017-07-26,0.6006766640211473
2017-04-01,0.7474828637179571
2015-09-25,0.9974401192811734
2017-07-26,0.8035817116206103
2017-07-27,0.4249558045394959
2017-07-25,0.4212634372893437
2017-07-25,0.877195715134846
2017-07-27,0.9973125484148232
2016-07-22,0.9262069561756864
2016-07-04,0.6744933383605519
2016-09-02,0.6303478003198858
9006,2017-05-21
2015-10-22,0.015488145756498373
2017-07-21,0.9607928317826921
2017-06-12,0.9469871174320216
2017-07-06,0.31216333740494806
2017-06-22,0.5212727046216564
2017-04-08,0.8286706795691884
2015-12-28,0.9864288924998893
2017-07-12,0.020958061452696408
2017-07-16,0.9989147242179173
2015-12-13,0.8250139158703927
2017-07-04,0.4679374573201529
2015-10-22,0.8703784610501777
2017-06-22,0.018567300823486566
2017-06-26,0.9928174980939666
2017-03-28,0.4136718386286061
2017-06-29,0.03304318677619855
2017-06-27,0.9814929074504102
2016-11-22,0.6228204795862627
2017-06-21,0.6180544471159648
2017-07-05,0.16622398439738706
2017-06-22,0.341705359872037
2017-06-21,0.8380624280512188
2017-06-22,0.2737147987937103
2017-06-22,0.5
2017-02-11,0.6896960605352923
2017-05-01,0.9227372280572863
2017-02-10,0.4630203610959218
2017-07-04,0.18306863844027432
2017-05-31,0.45083447085425765
2017-07-06,0.8367973428663563
2017-07-05,0.3857453834146918
2017-07-05,0.07260111343725051
2016-04-04,0.99995488204809
2015-10-22,0.4912809864750952
2017-07-03,0.6528235532580713
2015-10-22,0.21478372279368774
2017-06-29,0.11719544336420473
2017-06-22,0.48237156589252284
2017-06-22,0.7558189180990442
2017-06-22,0.12429951141287965
2017-03-05,0.3889982030796528
2015-10-22,0.4832785085894814
2015-10-22,0.9785716387810014
2015-10-22,0.22115614832502561
2017-06-26,0.9734629878445262
2017-06-11,0.9814929074504102
2017-06-23,0.6813449456828681
2017-06-22,0.5537982542900366
2017-06-09,0.262836926900334
2017-06-24,0.9978128647010478
2017-06-24,0.3986781015529315
2017-05-22,0.9667526150902267
2017-06-25,0.9886090436762017
2017-06-21,0.3708674724857106
2017-06-15,0.19169748238983197
2017-05-22,0.973352182161133
2016-12-02,0.22317443240389856
2017-06-02,0.9190233252078992
2017-06-16,0.09951541553247034
