1.中国银行:
标题,阅读,评论,字数,影响力,时间
89.42%是汇金公司的，户均30多万股，难道进点打,17115,15,213,0.0,2017-03-06 20:39:40
再收中阴线，短线怎么看？       继昨日失守生,9420,23,740,4.0,2017-03-30 16:39:42
石墨烯、量子通信两大黑科技领域先得实惠上市公,8612,8,1380,3.5,2017-03-15 17:26:00
国际化战略深入推进；资产质量好于同业,17559,6,1233,0.0,2017-03-08 09:23:34
趁现在还来得及，埋伏银行股 ,57425,22,1982,4.0,2017-02-10 15:20:19
中国银行派发每股5.5元优先股股息,30543,11,227,0.0,2017-03-03 18:07:05
[哭]瞧着中国银行的月K线，牛爷我真的哭晕在厕,595005,94,858,3.5,2017-02-04 17:44:09
加仓买进,9269,24,118,4.0,2017-03-01 10:30:51
为促进在东盟地区发展 中国银行拟议资产重组,13140,8,642,0.0,2017-02-28 18:17:40
601988:中国银行H股公告(股份发行人的证券变动,20377,4,911,0.0,2017-03-01 18:16:02
狂人日记：“预测黄金坑”,30609,41,1405,3.5,2017-01-22 13:54:33
大摩：中国银行60日内股价将上升 评级“增持”,25960,8,286,0.0,2017-02-15 10:54:49
中国银行有一宗大手成交  涉资7，510万元,12447,5,176,0.0,2017-02-10 09:58:59
[鼓掌][拜神顶格打新满仓中签601229:上海银行],11346,7,463,4.0,2017-01-22 07:30:22
《大腕》中国银行版,24980,29,740,3.5,2017-01-10 10:40:48
昨日尾盘净流入资金个股深度分析，决定今天走势,7132,62,337,0.0,2016-12-13 13:58:49
中国银行有没有投资价值？五年后他的净资产会是,23671,29,384,4.0,2016-10-13 11:46:06
中行在新加坡成立全球大宗商品业务中心,46563,361,662,3.0,2015-11-06 23:57:12
中国银行“一带一路”布局新加坡,50712,347,873,3.0,2015-11-08 00:27:38
601988:中国银行关于转让中国银行(泰国)股份有,32252,6,591,0.0,2017-01-06 16:55:46
回答中油兄、goodwill826 、cdh2768 股友,62865,295,222,3.0,2016-11-18 15:19:25
601988:中国银行董事会决议公告,26320,5,1058,0.0,2016-12-21 18:55:56
中国银行：{中字]品牌   高看一线 (附股),13552,14,1180,4.0,2016-12-04 20:39:04
目前 还能 建仓不？,3057,23,130,0.0,2015-08-03 11:12:56
银行那么多利好，干妈还要继续跌[滴汗],10072,42,144,3.0,2016-12-16 21:55:10
上涨根本不带量，主力惯用的诱多手法[哭][哭][,3326,17,174,3.0,2016-12-16 13:43:50
中行全面铺开投贷联动 为科技创新提供金融支持,9265,6,616,0.0,2016-12-16 21:16:37
优质银行股建行、中行债转股项目加速落地 未来,7814,15,340,4.0,2016-12-14 20:40:37
也不知道谁比谁傻，不知道同股同权的差价为何这,4559,19,718,2.5,2015-09-06 20:39:04
银行股直线拉升 中国银行涨近4%,20242,10,186,0.0,2016-12-12 10:33:01
拓展主业务风光独好 冲刺黑科技金光灿烂（转）,19377,36,3628,3.5,2016-11-01 16:19:59
