1.建设银行:
标题,阅读,评论,字数,影响力,时间
恩  服,11505,44,115,3.0,2017-06-26 10:42:07
建行调降乐视员工信用卡额度真相 新系统“过度,87702,34,1537,0.0,2017-07-29 06:29:37
全世界再也找不到像中国机构这么笨的投资者,7718,14,333,3.5,2016-12-20 22:22:45
传销板大涨，持有银行的咋办？,9616,14,138,3.5,2017-08-14 13:31:12
建设银行(601939)融资融券信息(08-18),8019,44,552,0.0,2017-08-19 08:39:20
美帝这股市。。。在崩盘的预期下。。。啪啪打脸,5559,21,154,3.0,2017-07-12 22:01:12
主力啊。。。你就互相伤害吧。。,7470,19,140,3.0,2017-07-13 09:48:10
银行厚积薄发，已经长成参天大树了,26731,34,422,2.0,2017-06-27 15:54:40
建设银行(601939)融资融券信息(08-29),3053,2,526,0.0,2017-08-30 08:00:43
数学好的进来！,40155,66,202,2.0,2016-03-15 12:45:50
奉劝今年已亏500万网友少做点缺德事,9427,15,157,4.0,2017-08-25 11:35:42
1个月内见到15元,8697,18,128,3.5,2017-08-25 21:41:13
朋友们。大家好。。张婷诱惑今天起面壁思过。休,15318,59,211,3.0,2017-07-19 17:57:58
[牛满仓]女士们先生们朋友们！战胜内心的恐惧，,6583,14,408,3.5,2017-07-23 18:20:27
建设银行(601939)融资融券信息(08-25),5884,15,528,0.0,2017-08-26 10:08:20
黄国东：A股下半年预测   推荐建设银行,27259,34,645,4.0,2017-07-02 16:27:21
建设银行(601939)融资融券信息(08-24),4727,6,530,0.0,2017-08-25 07:48:18
现投建行3000股，6年后变现40000元，祥看计算,18359,48,173,3.0,2016-03-20 22:18:30
建设银行董事长王洪章辞任,8266,9,181,0.0,2017-08-18 10:15:05
建行拟筹最少1000亿人币支持一带一路投资,11178,12,303,0.0,2017-08-22 15:38:45
建设银行要钱不要脸，乱收费，竟然还收年费手续,4755,8,127,3.5,2017-08-20 14:49:14
这叫什么价值投资，连国家队都在高抛低吸,9290,20,148,3.5,2017-08-11 12:40:08
建行将于10月召开临时股东大会 选举田国立担任,8142,6,422,0.0,2017-08-18 20:54:34
涨停几时有，把酒问青天，不知大盘走势，还能牛,12164,17,277,1.0,2017-02-07 15:08:02
一笔损失6300亿美元《责任谁付？呜呼建设银行》,7924,15,203,3.5,2017-08-03 13:21:39
