股票,日期,收盘价,上证指数,简单情感指数
浦发银行,2015-09-01,15.33,3166.62,0.15415067982725836
浦发银行,2015-09-02,14.89,3160.17,-0.40546510810816444
浦发银行,2015-09-07,14.50,3080.42,-2.1972245773362196
浦发银行,2015-09-08,15.06,3170.45,-0.3364722366212129
浦发银行,2015-09-09,15.16,3243.09,-0.1823215567939546
浦发银行,2015-09-10,15.25,3197.89,-0.916290731874155
浦发银行,2015-09-11,15.56,3200.23,-0.6931471805599453
浦发银行,2015-09-14,15.93,3114.8,-0.8754687373538999
浦发银行,2015-09-15,15.46,3005.17,-0.2876820724517809
浦发银行,2015-09-16,15.43,3152.26,-0.6931471805599453
浦发银行,2015-09-17,15.11,3086.06,-0.916290731874155
浦发银行,2015-09-18,15.03,3097.92,-1.9459101490553135
浦发银行,2015-09-21,14.97,3156.54,0.0
浦发银行,2015-09-22,15.05,3185.62,-0.6931471805599453
浦发银行,2015-09-23,14.95,3115.89,-0.2876820724517809
浦发银行,2015-09-24,15.27,3142.69,-1.0986122886681098
浦发银行,2015-09-25,15.59,3092.35,0.0
浦发银行,2015-09-28,15.92,3100.76,-1.252762968495368
浦发银行,2015-09-29,15.97,3038.14,-0.9808292530117262
浦发银行,2015-09-30,16.63,3052.78,-0.8109302162163288
浦发银行,2015-10-08,15.87,3143.36,-0.6931471805599453
浦发银行,2015-10-09,15.90,3183.15,-0.1823215567939546
浦发银行,2015-10-12,16.06,3287.66,-0.5108256237659907
浦发银行,2015-10-13,15.97,3293.23,0.6931471805599453
浦发银行,2015-10-14,15.90,3262.44,-0.6931471805599453
浦发银行,2015-10-26,16.28,3429.58,-0.40546510810816444
浦发银行,2015-10-27,16.32,3434.34,-1.3862943611198906
浦发银行,2015-10-28,16.31,3375.2,0.0
浦发银行,2015-10-29,16.59,3387.32,-1.252762968495368
浦发银行,2015-10-30,16.39,3382.56,-0.6931471805599453
浦发银行,2015-11-02,16.41,3325.08,-0.40546510810816444
浦发银行,2015-11-03,16.46,3316.7,-1.3862943611198906
浦发银行,2015-11-04,16.84,3459.64,-0.916290731874155
浦发银行,2015-11-05,17.71,3522.82,-0.6931471805599453
浦发银行,2015-11-06,17.88,3590.03,-0.5108256237659907
浦发银行,2015-11-09,18.15,3646.88,-0.5108256237659907
浦发银行,2015-11-10,18.37,3640.49,0.3364722366212129
浦发银行,2015-11-11,17.73,3650.25,-1.0116009116784799
浦发银行,2015-11-12,17.36,3632.9,-0.916290731874155
浦发银行,2015-11-13,17.58,3580.84,-0.5108256237659907
浦发银行,2015-11-16,17.42,3606.96,0.0
浦发银行,2015-11-17,17.44,3604.8,-0.6931471805599453
浦发银行,2015-11-18,17.39,3568.47,-0.2876820724517809
浦发银行,2015-11-19,17.90,3617.06,0.0
浦发银行,2015-11-20,18.47,3630.5,-0.40546510810816444
浦发银行,2015-11-23,19.06,3610.31,-0.8472978603872037
浦发银行,2015-11-24,19.05,3616.11,0.4054651081081644
浦发银行,2015-11-25,19.67,3647.93,0.0
浦发银行,2015-11-26,19.37,3635.55,-0.1823215567939546
浦发银行,2015-11-27,18.53,3436.3,0.0
浦发银行,2015-11-30,18.65,3445.4,-0.1823215567939546
浦发银行,2015-12-01,18.66,3456.31,0.9162907318741551
浦发银行,2015-12-02,19.85,3536.91,-0.9808292530117262
浦发银行,2015-12-03,19.25,3584.82,-0.2876820724517809
浦发银行,2015-12-04,18.71,3524.99,0.0
浦发银行,2015-12-07,19.45,3536.93,-0.6931471805599453
浦发银行,2015-12-08,20.10,3470.07,-0.0953101798043249
浦发银行,2015-12-09,19.23,3472.44,0.15415067982725836
浦发银行,2015-12-10,19.27,3455.5,-1.9459101490553135
浦发银行,2015-12-11,18.60,3434.58,-0.5596157879354228
浦发银行,2015-12-14,18.45,3520.67,0.0
浦发银行,2015-12-15,18.31,3510.35,-0.1823215567939546
浦发银行,2015-12-16,18.18,3516.19,-0.40546510810816444
