标题,阅读,评论,字数,影响力,时间
国泰君安一个月内见到38元,34120,44,77,3.5,2017-09-15 19:49:36
==华泰证券第一梯队大券商绩优成长互联网券商龙,98153,414,1590,3.5,2017-05-28 18:24:16
国泰君安：“双积分”有利新能源汽车发展 吁买,3780,3,422,0.0,2017-10-04 11:04:02
真心希望国泰君安,55667,54,763,3.0,2017-01-02 20:34:20
华泰证券马上就会超过国泰君安了！还差0.6元左,27521,65,121,0.0,2017-08-02 09:50:22
狂笑 狂笑 连续4年业绩翻倍，三年利润之和将超,31786,65,566,4.5,2017-07-09 14:58:42
国泰君安你是业绩老大，老大要有老大的样子赶紧,26552,62,107,2.5,2017-07-20 10:42:34
切不要随便卖出国泰和中信,21216,39,129,1.0,2017-06-26 19:36:44
君安.分享 皇城金枝玉叶 却是贱奴使女身价,8998,21,218,4.0,2017-09-11 09:08:27
实战炒股口决： 十四工作线，来回做波段；突破,46189,67,778,4.0,2017-05-27 19:55:23
国泰君安(601211)融资融券信息(09-22),10240,42,532,0.0,2017-09-23 07:47:04
散户必看炒股格言和现金策略！     孙子云：先,64834,106,718,4.0,2017-03-17 08:46:02
2016年，国泰君安的底部，是送给我们的历史性大,40971,36,274,3.0,2016-02-02 12:17:10
国泰君安(601211)融资融券信息(09-21),7546,5,534,0.0,2017-09-22 07:46:05
国泰君安(601211)融资融券信息(09-19),5080,4,534,0.0,2017-09-20 07:46:26
鹏辉能源相对低位的锂电概念股和业绩增，涨价股,15104,29,657,3.5,2017-07-16 22:45:25
国泰君安(601211)融资融券信息(09-20),6940,4,530,0.0,2017-09-21 07:46:26
国泰君安：“14国君05”将于9月29日付息兑付及,5523,8,322,0.0,2017-09-19 17:40:03
国泰君安(601211)融资融券信息(09-18),3164,6,542,0.0,2017-09-19 07:54:13
国泰君安(601211)融资融券信息(09-15),4894,8,548,0.0,2017-09-16 07:47:21
小盘2.6亿次新股发行价14.39杭州银行业绩1.7元,52205,91,192,2.0,2017-03-24 22:08:16
国泰君安拟于9月21日支付“16国君G5”公利息,7046,10,255,0.0,2017-09-13 17:49:18
国泰君安“16国君G5”将于9月21日付息,5014,16,232,0.0,2017-09-13 17:39:13
国泰君安(601211)融资融券信息(09-12),3020,4,534,0.0,2017-09-13 07:47:39
国泰君安完成发行20亿元短期融资券,6822,13,242,0.0,2017-09-11 17:56:59
国泰君安(601211)融资融券信息(09-11),3597,4,536,0.0,2017-09-12 07:56:10
国泰君安(601211)融资融券信息(09-08),6801,40,538,0.0,2017-09-09 07:45:53
国泰君安8月份非合并净利润5.25亿元,9623,3,291,0.0,2017-09-07 13:53:57
2016券商投资建议空前一致 成长与改革是关键,66299,43,1662,0.0,2015-12-10 09:17:17
601211:国泰君安2017年8月份财务数据简报,60429,12,709,0.0,2017-09-06 18:33:13
下周绝佳进场机会 .现在进场了一只准备全面拉升,5663,5,413,3.5,2017-08-18 18:04:20
国泰君安8月28日盘中涨幅达5%,6212,7,184,0.0,2017-08-28 10:00:35
中报速递：国泰君安2017年上半年盈利47.56亿元,15807,6,232,0.0,2017-08-25 19:38:16
君安出现周倍量柱,125388,333,121,3.5,2017-05-26 11:41:42
≤券商迎历史性大经济业务和大投行业务变革—华,218408,653,1315,4.0,2016-05-25 21:20:38
最新半年报，证金公司疯狂进场国泰君安3.34亿股,11197,9,189,4.5,2017-08-25 19:36:15
[加油满仓]漂亮50必将长期走牛！沪深300必将长,7863,7,491,3.5,2017-07-18 19:28:26
国泰君安中报业绩同比降5% 二季度证金大幅增持,22728,17,307,0.0,2017-08-25 23:25:11
国泰君安(601211)融资融券信息(08-25),5155,12,530,0.0,2017-08-26 10:05:48
国泰君安：上半年净利同比降5% 证金公司二季度,22755,14,323,0.0,2017-08-25 20:50:55
国泰君安半年多赚25.5%至6.7亿 派4.5仙,15058,3,215,0.0,2017-08-24 10:10:30
国泰君安国际中期溢利增长25.5%至6.74亿港元每,13503,3,331,0.0,2017-08-23 19:54:09
开一帖就离开，谈谈国君走势,16938,69,180,2.5,2017-07-12 11:16:31
国泰君安(601211)大宗交易数据一览(08-22),14239,12,443,0.0,2017-08-22 18:42:22
国泰君安国际为附属贷款80亿港元做保证人,7171,7,357,0.0,2017-08-21 17:12:58
国泰君安(601211)融资融券信息(08-18),6103,30,534,0.0,2017-08-19 08:37:44
涨停几时有，把酒问青天，不知大盘走势，还能牛,9852,24,277,1.0,2017-02-07 15:05:55
国泰君安(601211)融资融券信息(08-17),5168,5,542,0.0,2017-08-18 07:48:20
国泰君安国际授出23.4亿港元的贷款融资,10506,17,238,0.0,2017-08-16 18:02:55
国泰君安(601211)融资融券信息(08-16),4630,6,526,0.0,2017-08-17 07:45:20
无人相信会有牛市这就是最大的利好，这就是宿命,17020,20,202,3.0,2017-02-22 08:29:25
国泰君安(601211)融资融券信息(08-11),5799,4,528,0.0,2017-08-12 07:48:05
我的投资记录与心得,60163,70,312,0.0,2017-03-22 14:11:00
211现在不会拉,16766,19,244,2.5,2017-07-29 10:13:29
（1）奇虎360借壳中国中期,15901,83,138,3.0,2017-07-17 09:50:48
601211:国泰君安关于控股股东及其一致行动人减,52171,15,1167,0.0,2017-07-24 18:46:21
国泰君安7月份净利润5.52亿人民币,21362,3,195,0.0,2017-08-04 19:58:30
601211:国泰君安2016年7月份财务数据简报,36596,9,706,0.0,2016-08-04 18:19:00
2017年半年度业绩快报报点评：经常损益导致业绩,51850,6,1106,0.0,2017-07-26 19:08:13
19.3以下建仓国泰君安，目标价155。 国泰君安自,10817,13,201,0.0,2017-02-19 21:51:37
可转债，千万不要买,22672,21,224,0.0,2017-07-07 09:12:27
请大家不要放弃优先配售可转债,53091,65,171,3.0,2017-07-07 07:20:38
601211:国泰君安2017年半年度业绩快报公告,95173,12,1094,0.0,2017-07-23 15:39:58
601211:国泰君安公开发行A股可转换公司债券网上,47784,12,856,0.0,2017-07-12 16:00:17
解析“国泰君安”:经过长达一年半的破发整理，2,13422,24,308,3.0,2017-06-30 16:21:53
基金抱团炒个股是中国式庞氏骗局，隐患危害大21,24343,36,303,4.0,2016-07-21 14:26:54
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,43132,94,375,4.5,2016-03-22 12:26:36
国泰君安模拟操作,53332,62,672,2.5,2016-07-09 06:55:56
配售成功的可转债，要到上市日才会显示,20402,11,218,3.0,2017-07-07 20:46:57
期待券商王者归来，雄霸天下[赞],13242,17,139,3.5,2017-06-19 15:03:00
任泽平现身国泰君安策略会：未来风格转变需具备,107221,30,3973,0.0,2015-11-25 09:40:05
如果正股不涨，不降低转股价。 可转债80块钱都,19781,75,171,0.0,2017-07-07 12:39:46
回望君万之争：22年过去了 王石的战术如出一辙,576848,1361,4675,0.0,2016-07-24 00:21:36
抢筹资金退场，稳在21元出货,10058,19,129,0.0,2017-07-11 11:57:15
601211:国泰君安2017年6月份财务数据简报,56403,9,712,0.0,2017-07-10 18:39:18
